Destination ID,Attraction,Hotel Name,Location,Review (short),Rating (approx.),Price,Province
30,Taplejung,Hotel Pathibhara (EV Charging point),Phungling,Simple rooms with good hill views.,4.1,High (~$90+),1
31,Ilam,HOTEL TAMU ILAM,Ilam,Cottage-style stay inside tea-garden surroundings.,4.1,Low (~$10–20),1
31,Ilam,Hotel Green View,Ilam,Popular guesthouse for tea garden visitors.,4.2,Medium (~$35–60),1
31,Ilam,Anmol Hotel and Lodge,Ilam,Cozy stays near the sunrise viewpoint and trails.,4,High (~$90+),1
32,Dhankuta,Hotel Kanjirowa,"28F7+8JP, Pakhribas 56806","Convenient, clean and family-run; good base for Hile.",4,Low (~$10–20),1
32,Dhankuta,Horizon Mountain Resort,"28WC+VMC, Dhankuta 56806",Budget-to-mid option with friendly staff.,3.9,Medium (~$35–60),1
32,Dhankuta,Hotel Makalu View Hile,Hile,Hilltop rooms and morning views; popular with weekenders.,4.1,High (~$90+),1
33,Sankhuwasabha,Hotel Barun , Sankhuwasabha,Larger hotel in the district HQ; good services.,4.1,Low (~$10–20),1
33,Sankhuwasabha,Hotel Horizon and lodge,Khandbari,Local guesthouse used by visitors and trekkers.,3.9,Medium (~$35–60),1
33,Sankhuwasabha,Arati Hotel,Khandbari,Riversides rooms and easy trail access.,4,High (~$90+),1
34,Ilaka Bazaar & Homestays (Bhojpur),HOTEL TAMU ILAM,Ilam,Network of local homestays offering authentic meals.,4.2,Low (~$10–20),1
34,Ilaka Bazaar & Homestays (Bhojpur),Hotel Green View,Ilam,Local guesthouse near marketplace and transport.,4,Medium (~$35–60),1
34,Ilaka Bazaar & Homestays (Bhojpur),Anmol Hotel and Lodge,Ilam,Quiet riverside homestay with local hosts.,4.1,High (~$90+),1
35,Khoping Pokhari,Hotel Sungava,4GGP+PH Myanglung,Simple lodge near the pokhari (pond) and trails.,3.9,Low (~$10–20),1
35,Khoping Pokhari,Downhill Agro Resort,"4GQ9+HP9, Myanglung 57500",Budget cottage with easy access to the site.,3.7,Medium (~$35–60),1
35,Khoping Pokhari,Deurali Hotel,"4GGP+GJ2, Unnamed Road, Myanglung 57500",Homestay experience with local hosts.,4,High (~$90+),1
36,Himalayan Hot Springs (Taplejung Sankhuwasabha),Hotel Hotspring Inn,"FMW3+HJG, Tatopani 33200",Lodge catering to hot-spring visitors; small spa services.,4.2,Low (~$10–20),1
36,Himalayan Hot Springs (Taplejung Sankhuwasabha),Hotel Natural Spring Pvt. Ltd.,"FMW3+XHP, Tatopani 33200",Cottage-style stay with easy spring access.,4,Medium (~$35–60),1
36,Himalayan Hot Springs (Taplejung Sankhuwasabha),Hotel Himalaya,Tatopani Myagdi 33200,Practical and friendly for day-trip visitors.,3.9,High (~$90+),1
37,Jhyau Pokhari ,Darjeeling Hotel & Lodge,"Gufa Pkhari Marga, Sherjong 56900",Small homely guesthouse used by local visitors.,3.8,Low (~$10–20),1
37,Jhyau Pokhari , Yak Hotel & Lodge Gufa Pokhari ,"Gufa Pkhari Marga, Sherjong 56900",Hilltop rooms and local food; good access to trails.,4,Medium (~$35–60),1
37,Jhyau Pokhari ,hotel makalu ,"Gufa Pokhari, 44600",Budget homestay with authentic meals.,4.1,High (~$90+),1
38,Nundhaki,NO,NO,NO,NO,NO,1
38,Nundhaki,NO,NO,NO,NO,NO,1
38,Nundhaki,NO,NO,NO,NO,NO,1
39,Mawadin,NO,NO,NO,NO,NO,1
39,Mawadin,NO,NO,NO,NO,NO,1
39,Mawadin,NO,NO,NO,NO,NO,1
40,Dudh Koshi River (Solukhumbu),NO,NO,NO,NO,NO,1
40,Dudh Koshi River (Solukhumbu),NO,NO,NO,NO,NO,1
40,Dudh Koshi River (Solukhumbu),NO,NO,NO,NO,NO,1
41,Namobuddha Monastery (BhojpurKhotang),CCRP NAMOBUDHA GUEST HOUSE,"HH9J+Q45, Simalchaur Syampati 45200",Small lodge used by pilgrims and visitors.,4,Low (~$10–20),1
41,Namobuddha Monastery (BhojpurKhotang),Hotel Swornim Namobuddha,"dhulikhel, Simalchaur Syampati 45200",Simple clean rooms and local meals.,3.9,Medium (~$35–60),1
41,Namobuddha Monastery (BhojpurKhotang),Hotel Sonam,Simalchaur Syampati 45210,Authentic home-hosted stay for pilgrims.,4.1,High (~$90+),1
42,Bantawa Village (Dhankuta),Hotel Sungava,4GGP+PH Myanglung,Cultural homestay showcasing Bantawa traditions.,4.3,Low (~$10–20),1
42,Bantawa Village (Dhankuta),Downhill Agro Resort,"4GQ9+HP9, Myanglung 57500",Simple stay with local hosts and meals.,4.1,Medium (~$35–60),1
42,Bantawa Village (Dhankuta),Deurali Hotel,"4GGP+GJ2, Unnamed Road, Myanglung 57500",Great for cultural immersion and local cuisine.,4.2,High (~$90+),1
43,Sherpa Villages (Solukhumbu),Sherpa lodge and shop namkheli,"H94V+95, Chaulakharka 45400",Popular guesthouse in Sherpa capital with good services.,4.2,Low (~$10–20),1
43,Sherpa Villages (Solukhumbu),Sherpa home stay,"Bhandar, Dokharpa Umakunda-2",Good base for short village visits and views.,4.1,Medium (~$35–60),1
43,Sherpa Villages (Solukhumbu),Himalayan Sherpa Guest House (Dukpa),"M8JQ+P95, 45500",Comfortable homestay-style lodge for cultural stays.,4,High (~$90+),1
44,Limbu Villages (PanchtharTaplejung),Sinam Village Homestay -Sinam Homestay collective,Sinam (Taplejung district),Community homestay with cultural programs.,4.2,Low (~$10–20),1
44,Limbu Villages (PanchtharTaplejung),Koldanda Community Homestay (Limbu area),Nearby Limbu village (community homestay network),Community-run homestay with local guides.,4.1,Medium (~$35–60),1
44,Limbu Villages (PanchtharTaplejung), Kanchenjunga Guest House,Taplejung (trailheads for Limbu areas),Practical base for Limbu-culture visits.,4,High (~$90+),1
45,TempuHelambu Trek (SindhupalchokSolukhumbu border),Hotel namaste & lodge,Helambu,Simple trekkers’ lodge used on Helambu routes.,4,Low (~$10–20),1
45,TempuHelambu Trek (SindhupalchokSolukhumbu border),Mantra (Home Stay),Bolgaun,Common stop for multi-day trekkers.,4.1,Medium (~$35–60),1
45,TempuHelambu Trek (SindhupalchokSolukhumbu border),Helambu Riverside Resort and Organic Farm House,"WG5M+M3, Ichok",Budget-friendly with meals and guide contacts.,3.9,High (~$90+),1
46,"Dantakali Temple (Sunsari, Dharan)",Hotel Gajur Palace,Dharan (near Dantakali),Mid-range option convenient for temple visits.,4.2,Low (~$10–20),1
46,"Dantakali Temple (Sunsari, Dharan)",Hotel Nava Yug,Dharan,Budget-to-mid with useful services for pilgrims.,3.9,Medium (~$35–60),1
46,"Dantakali Temple (Sunsari, Dharan)",Hotel Ambassador - The Ambassador (Dharan),Dharan,Popular local hotel with access to the temple route.,4,High (~$90+),1
47,Hile (Dhankuta),Hotel Hile View,Hile (Dhankuta),Hilltop hotel with good views and friendly staff.,4,Low (~$10–20),1
47,Hile (Dhankuta),Hotel Makalu View Hile,Hile,"Clean rooms, common lounge and decent food.",4.1,Medium (~$35–60),1
47,Hile (Dhankuta),Hotel Kanjirowa,Hile,"Budget-friendly, good for short stays.",3.7,High (~$90+),1
48,Ethnic Villages (SankhuwasabhaBhojpur),Hotel Barun , Sankhuwasabha,Community homestays with cultural programs.,4.2,Low (~$10–20),1
48,Ethnic Villages (SankhuwasabhaBhojpur),Hotel Horizon and lodge,Khandbari,Comfortable and locally run guesthouse.,4,Medium (~$35–60),1
48,Ethnic Villages (SankhuwasabhaBhojpur),Arati Hotel,Khandbari,Authentic local living experience.,4.1,High (~$90+),1
49,Gokyo Lakes,Machermo Lodge & Bakery,"Gokyo Lake Marg, Khumjung 56000",Popular lodge among trekkers to Gokyo Lakes; great views.,4.3,Low (~$10–20),1
49,Gokyo Lakes,Tashi Friendship Lodge,"WPRC+FFJ, Khumjung 56000",Simple but comfy; food and warm rooms important at altitude.,4.1,Medium (~$35–60),1
49,Gokyo Lakes,Thanka Inn Gokyo,"XM3V+8F3, Khumjung 56000",Good sunrise viewpoint access and warm meals.,4.2,High (~$90+),1
50,Namche Bazaar,Hill Top Lodge & Restaurant,"RP37+V9M, Namche Marg, Namche 56000",One of the better-known lodges offering comfort at altitude.,4.3,Low (~$10–20),1
50,Namche Bazaar,Panorama Lodge and Restaurant,"Namche Marg, Namche 56000",Well-known guesthouse with great views and food.,4.3,Medium (~$35–60),1
50,Namche Bazaar,Mountain Lodges of Nepal - Namche,"Namche Marg, Namche 56000",Historic panorama hotel with Everest views.,4.1,High (~$90+),1
51,Kanyam Tea Garden,Hotel Deurali point,"V37J+WM7, Suryodaya 57312",Cottages close to tea trails and viewpoints.,4.1,Low (~$10–20),1
51,Kanyam Tea Garden,Hotel Hillside Kanyam,Suryodaya 57312,Homestay-style cottages among tea bushes.,4,Medium (~$35–60),1
51,Kanyam Tea Garden,Hotel Dreamland Villa,Suryodaya 57312,Close to sunrise viewpoint and tea gardens.,4,High (~$90+),1
52,Sherpa Villages ,Sherpa lodge and shop namkheli,"H94V+95, Chaulakharka 45400",Comfortable homestay-style lodge for cultural stays.,4,Low (~$10–20),1
52,Sherpa Villages ,Sherpa home stay,"Bhandar, Dokharpa Umakunda-2",Popular guesthouse in Sherpa capital.,4.2,Medium (~$35–60),1
52,Sherpa Villages ,Himalayan Sherpa Guest House (Dukpa),"M8JQ+P95, 45500",Practical for village visits and short treks.,4,High (~$90+),1
53,Sangu,NO,NO,NO,NO,NO,1
53,Sangu,NO,NO,NO,NO,NO,1
53,Sangu,NO,NO,NO,NO,NO,1
54,Dudh Koshi River Rafting,NO,NO,NO,NO,NO,1
54,Dudh Koshi River Rafting,NO,NO,NO,NO,NO,1
54,Dudh Koshi River Rafting,NO,NO,NO,NO,NO,1
55,Antu Danda,Antu Pokhari Kanchan View Homestay,"LH Rd 21, Shree Antu 57300",Close to sunrise viewpoint and rhododendron spots.,4,Low (~$10–20),1
55,Antu Danda,Abhyasi Hotel De Cafe,"4 LH Rd 21, Shree Antu 57300",Budget-friendly with terrace views.,3.9,Medium (~$35–60),1
55,Antu Danda,"Zero Points The Lahure cottage ShreeAntu (ILAM)","V4GP+X8C, Shree Antu 57300",Cozy cottage favored by photographers and hikers.,4.1,High (~$90+),1
56,Maipokhari,Hotel Chamu,"Mechi 2180’m, ilam Chameita, Bazar 57307",Simple lodge at access point for the sacred lake.,4,Low (~$10–20),1
56,Maipokhari,Hotel Aadarsha sargam,"4QW9+VGG, Hulak line, Phidim 57400",Budget homestay-style accommodation.,3.8,Medium (~$35–60),1
56,Maipokhari,"Chintapu Homestay, Ilam, Sandakpur","Maipatal Sandakpur-03, 57300",Quiet cottage close to the pond and trails.,4.1,High (~$90+),1
57,Kanchenjunga Conservation Area,Hill Side Lodge,Tapethok ,Base accommodations for Kanchenjunga approaches.,4,Low (~$10–20),1
57,Kanchenjunga Conservation Area,Sekathum Itahari Guest House,Sekathum ,Mountain views and trekking services.,4.1,Medium (~$35–60),1
57,Kanchenjunga Conservation Area,Hotel Shingi Namjong,Lelep ,Used by organized trekking groups.,4.2,High (~$90+),1
58,Sandakpur,Hotel Chamu,"Mechi 2180’m, ilam Chameita, Bazar 57307",Popular with photographers and sunrise watchers.,4.2,Low (~$10–20),1
58,Sandakpur,Hotel Aadarsha sargam,"4QW9+VGG, Hulak line, Phidim 57400","Homestay among tea gardens, scenic.",4.1,Medium (~$35–60),1
58,Sandakpur,"Chintapu Homestay, Ilam, Sandakpur","Maipatal Sandakpur-03, 57300",Budget-friendly with excellent views.,4,High (~$90+),1
59,"TMJ Ridge (Tinjure, Milke, Jaljale)",Hotel Basantapur View,4CM4+9XF,Lodge popular during rhododendron season; good sunrise views.,4.2,Low (~$10–20),1
59,"TMJ Ridge (Tinjure, Milke, Jaljale)",AB hotel & lodge,"4CM5+434, 57500",Community homestay used by trekkers on TMJ route.,4.1,Medium (~$35–60),1
59,"TMJ Ridge (Tinjure, Milke, Jaljale)",Hotel Taplejung,"F40, 57104",Rustic guest cottage close to trails and viewpoints.,4,High (~$90+),1
60,Halesi Mahadev Temple,Hotel Halesi Village,"Diktel Sadak, Mahadevsthan 56200",Garden resort close to the temple; comfortable and family-friendly.,4.1,Low (~$10–20),1
60,Halesi Mahadev Temple,Zambala Resort. (Halesi Nepal),"Sagarmatha, Mahadevsthan 56200",Small guesthouse steps from the shrine; convenient for pilgrims.,4,Medium (~$35–60),1
60,Halesi Mahadev Temple,Halesi Royal Hotel,"5JRC+6J9, Mahadevsthan 56200",Popular local option with basic amenities and guides.,4,High (~$90+),1
61,Dharan (Budhasubba & Pindeshwor),Star Hotel and Lodge,Dharan 56700,One of Dharan’s better-known hotels; comfortable rooms and restaurant.,4.2,Low (~$10–20),1
61,Dharan (Budhasubba & Pindeshwor),Hotel Brick,"10 Sainik Chowk, Dharan 56700",Budget–mid hotel used by pilgrims and business travellers.,4,Medium (~$35–60),1
61,Dharan (Budhasubba & Pindeshwor),"Hotel Star Purwi - Dharan	Hotel Star Purwi, Chatara Line, Dharan 56700",,Local mid-range hotel with dependable service.,4,High (~$90+),1
62,Pathibhara Devi Temple ,NO,NO,NO,NO,NO,1
62,Pathibhara Devi Temple ,NO,NO,NO,NO,NO,1
62,Pathibhara Devi Temple ,NO,NO,NO,NO,NO,1
63,Barahachhetra,HOTEL KOSHI PALACE,"7MR9V44X+WJ Belaka-08, 56300",Simple guesthouse used by pilgrims visiting the holy confluence.,3.9,Low (~$10–20),1
63,Barahachhetra,Hotel pahuna and lodge,"koshi pul, chatara ghat, Barahakshetra 56703",Riverside rooms and easy access to the site.,4,Medium (~$35–60),1
63,Barahachhetra,Belaka Rivers Beach Resort,"Sombare, 56300",Budget stay with local hospitality for pilgrims.,3.8,High (~$90+),1
64,Ilaka Bazaar & Village Homestays ,HOTEL TAMU ILAM,Ilam,Network of family homestays offering home-cooked meals.,4.2,Low (~$10–20),1
64,Ilaka Bazaar & Village Homestays ,Hotel Green View,Ilam,Local guesthouse near market and transport.,4,Medium (~$35–60),1
64,Ilaka Bazaar & Village Homestays ,Anmol Hotel and Lodge,Ilam,Quiet homestay by the river; authentic experience.,4.1,High (~$90+),1
65,Gorja,NO,NO,NO,NO,NO,1
65,Gorja,NO,NO,NO,NO,NO,1
65,Gorja,NO,NO,NO,NO,NO,1
66,Chhankhola Waterfall,NO,NO,NO,NO,NO,1
66,Chhankhola Waterfall,NO,NO,NO,NO,NO,1
66,Chhankhola Waterfall,NO,NO,NO,NO,NO,1
67,Mehele,NO,NO,NO,NO,NO,1
67,Mehele,NO,NO,NO,NO,NO,1
67,Mehele,NO,NO,NO,NO,NO,1
68,Okhre,NO,NO,NO,NO,NO,1
68,Okhre,NO,NO,NO,NO,NO,1
68,Okhre,NO,NO,NO,NO,NO,1
69,Gairi Pangma,NO,NO,NO,NO,NO,1
69,Gairi Pangma,NO,NO,NO,NO,NO,1
69,Gairi Pangma,NO,NO,NO,NO,NO,1
