Destination ID,Destination ,District,Best Season,Tags,Main Category,Activities,Difficulty Level,Accessibility,Latitude,Longitude,Province
21,Makalu Viewpoint,Sankhuwasabha,"Apr–May, Oct–Nov","Mountain, Trekking, Viewpoint",Trekking & Adventure,"Trekking, Photography, Camping",Hard,Flight + Trekking,27.9,87.15,1
22,Sabhapokhari,Sankhuwasabha,Apr to Oct,Rural mountain municipality; natural pond (Pokhari); scenic views; religious / spiritual significance; local community culture; mountain landscapes.,Natural Attractions,Visiting ponds; sightseeing & nature walks; local culture & community interaction; observing mountain and valley landscapes; possibly pilgrimage to local religious sites,Moderate,"Road Accessible, possibly walking trails in remote wards",27.45,87.3,1
23,"Rhododendron Trail (Tinjure, Milke, Jaljale)",Tehrathum,Mar–May,"Trekking, Rhododendron, Nature",Natural Attractions,"Trekking, Rhododendron Viewing, Photography",Moderate,Road + Trekking,27.2,87.45,1
24,Local Mountain Viewpoints (Tehrathum/Panchthar),Tehrathum/Panchthar,Oct–Mar,Viewpoint; Mountain; Nature,Natural Attractions,Photography; Sightseeing; Short Hikes,Easy,Road + Short Hike,27.2,87.45,1
25,Bantawa Village,Tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Local Experiences; Photography,Easy,Road Accessible,27.2,87.45,1
26,Seasonal Waterfalls (Ilam Taplejung),Ilam/Taplejung,Mar–May,Waterfall; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road + Short Hike,26.95,87.95,1
27,Himalayan Viewpoint,Taplejung,"Mar–May, Sep–Nov","Mountain, Trekking",Trekking & Adventure,"Trekking, Photography, Local Culture Exploration",Moderate,Road + Short Trek,27.7,87.75,1
28,Phakumba,Taplejung,Apr to Oct,Rural community; Mountain hamlet; Indigenous culture (Rai ethnic majority); Moderate elevation; Scenic landscapes; Agriculture; Off-beat locale,Natural Attractions,Nature walks; Cultural immersion / visiting Rai community; Exploring rural/mountain scenery; Possibly trekking or routes to nearby hills; Bird and natural observation; Local agriculture life observation,Moderate,Road accessible,27.37738,87.54431,1
29,Biratnagar,Morang,Oct–Feb,"City, Cultural",Cultural & Religious Sites,Sightseeing,Easy,Road accessible,26.4525,87.2718,1
30,Taplejung,Taplejung,Oct–Nov,"Scenic, Trekking",Trekking & Adventure,"Sightseeing, Trekking",Moderate,Road + Trek,27.691,87.677,1
31,Ilam,Ilam,Sep–Nov,"Tea Gardens, Scenic",Natural Attractions,"Tea Tours, Walking",Easy,Road accessible,26.908,87.925,1
32,Dhankuta,Dhankuta,Oct–Feb,"Scenic, Culture",Natural Attractions,"Village Walks, Sightseeing",Easy,Road accessible,26.983,87.283,1
33,Sankhuwasabha,Sankhuwasabha,Oct–Nov,"Mountains, Trekking",Trekking & Adventure,"Trekking, Photography",Hard,Trek route,27.616,87.25,1
34,Ilaka Bazaar & Homestays (Bhojpur),Bhojpur,Mar–May,"Cultural, Rural, Scenic",Natural Attractions,"Cultural Tours, Homestays, Photography",Easy,Road accessible,27,87.5,1
35,Khoping Pokhari,Tehrathum,"Mar–May, Sep–Nov","Rhododendron ridge, alpine pond, scenic viewpoint, pilgrimage/holy pond (local significance), nature tourism",Natural Attractions,"Hiking / ridge-trekking, photography (Himalaya views & reflections in ponds), rhododendron-watching, bird / nature watching, local cultural visits",Moderate,"Trek route, Seasonal roads/paths",27.22,87.71,1
36,Himalayan Hot Springs (Taplejung Sankhuwasabha),Taplejung/Sankhuwasabha,Mar–May,"Nature, Adventure, Wellness",Natural Attractions,"Hot Springs, Trekking, Photography",Moderate,Trek route,27,87.5,1
37,Jhyau pokhari,Ilam,Mar–Nov,"Alpine pond, Scenic viewpoint, Rural mountain, Nature tourism",Natural Attractions,"Nature walks, photography, bird watching, local culture visits",Moderate,"Road accessible, trekking paths",27.03418,87.9036,1
38,Nundhaki,Sankhuwasabha,Mar–Nov,"Mountain village, Rural community, Scenic landscapes, Nature tourism",Natural Attractions,"Hiking, Nature walks, Cultural visits, Photography",Moderate,"Trek route,Road accessible",27.45,87.65,1
39,Mawadin,Sankhuwasabha,"March–May, Sept–Nov","Village, Trekking Base, Nature",Natural Attractions,"Hiking, Cultural Exploration",Moderate,Road accessible,27.286,87.423,1
40,Dudh Koshi River (Solukhumbu),Solukhumbu,Mar–Jun,"River, Adventure, Nature",Natural Attractions,"Rafting, Fishing, Photography",Moderate,Road + Trek,27.874,86.591,1
41,Namobuddha Monastery (BhojpurKhotang),Bhojpur/Khotang,Sep–Nov,"Spiritual, Culture, History",Cultural & Religious Sites,"Meditation, Cultural Tours, Photography",Easy,Road accessible,27.7071,85.3884,1
42,Bantawa Village (Dhankuta),Dhankuta,Mar–May,"Cultural, Rural, Scenic",Natural Attractions,"Cultural Tours, Photography, Village Walks",Easy,Road accessible,26.9833,87.2,1
43,Sherpa Villages (Solukhumbu),Solukhumbu,Mar–May,"Cultural, Trekking, Heritage",Trekking & Adventure,"Cultural Tours, Trekking, Photography",Moderate,Trek route,27.7,86.7,1
44,Limbu Villages (Panchthar–Taplejung),Panchthar–Taplejung,Mar–May,"Cultural, Rural, Scenic",Natural Attractions,"Cultural Tours, Photography, Village Walks",Easy,Road accessible,27,87.5,1
45,Tempu–Helambu Trek (Sindhupalchok/Solukhumbu border),Sindhupalchok/Solukhumbu border,Mar–May,"Trekking, Nature, Culture",Trekking & Adventure,"Trekking, Cultural Tours, Photography",Moderate,Trek route,27.5,86.5,1
46,"Dantakali Temple (Sunsari, Dharan)",Sunsari,Sep–Nov,"Spiritual, Culture, History",Cultural & Religious Sites,"Temple Visits, Photography, Cultural Tours",Easy,Road accessible,26.8033,87.2767,1
47,Hile (Dhankuta),Dhankuta,Mar–May,"Nature, Scenic, Village",Natural Attractions,"Photography, Village Walks, Nature Walks",Easy,Road accessible,26.9833,87.2,1
48,Ethnic Villages (Sankhuwasabha/Bhojpur),Sankhuwasabha/Bhojpur,Oct–Mar,Village; Cultural; Homestay,Cultural & Religious Sites,Cultural Tour; Homestay Experience; Local Food,Easy,Road + Walking,27.2,87.2,1
49,Gokyo Lakes,Solukhumbu,"Apr-May, Oct-Nov","Lakes, Trekking, High Altitude",Trekking & Adventure,"Trekking, Photography, High Altitude Exploration, Camping",Moderate,Long Trek (multi-day),27.9526,86.6966,1
50,Namche Bazaar,Solukhumbu,"Mar-May, Sep-Nov","Sherpa Culture, Trekking Hub, Market",Trekking & Adventure,"Trekking Hub, Sherpa Culture Tour, Shopping, Photography",Moderate,Long Trek (multi-day),27.8053,86.712,1
51,Kanyam Tea Garden,Ilam,"Spring, Autumn","Tea Garden, Hill Station",Natural Attractions,"Sightseeing, Photography",Easy,Road,26.8833,88.0833,1
52,Sherpa Villages,Solukhumbu,Mar–May; Sep–Nov,Cultural Village; Sherpa,Cultural & Religious Sites,Trekking; Cultural Tours; Photography,Moderate,Flight to Lukla + Trekking,27.8,86.7,1
53,Sangu,Taplejung,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Cultural Exploration",Moderate,Road Accessible,27.286,87.423,1
54,Dudh Koshi River Rafting,Solukhumbu/Sankhuwasabha,Sep–Nov,"Adventure, River, Water Sports",Natural Attractions,"White-water Rafting, Adventure Sports",Moderate,Road to rafting start point,27.7,86.7,1
55,Antu Danda,Ilam,"Oct-Dec, Mar-May","Sunrise Viewpoint, Hills, Tea Gardens",Natural Attractions,"Sunrise Viewing, Photography, Tea Garden Tour, Homestay",Easy,Road / Vehicle Accessible (<=1 km walk),26.9228,88.0078,1
56,Maipokhari,Ilam,"Sep-Nov, Mar-May","Wetland, Pilgrimage, Nature",Natural Attractions,"Pilgrimage, Birdwatching, Nature Walks, Meditation",Easy-Moderate,Road + Short Hike (<=2 hrs),27.0016,87.9336,1
57,Kanchenjunga Conservation Area,Taplejung,"Apr-May, Oct-Nov","Mountain, Trekking, Conservation, Adventure",Trekking & Adventure,"Trekking, Wildlife Viewing, Camping, Photography",Moderate,Long Trek (multi-day),27.7025,88.1475,1
58,Sandakpur,Ilam,"Oct-Dec, Mar-May","Viewpoint, Trekking, Sunrise",Trekking & Adventure,"Trekking, Sunrise Viewing, Photography, Camping",Moderate,Long Trek (multi-day),27.1006,88.1112,1
59,"TMJ Ridge (Tinjure, Milke, Jaljale)",Tehrathum,Mar-May (Rhododendron Bloom),"Trekking, Rhododendron, Hills",Trekking & Adventure,"Trekking, Rhododendron Viewing, Camping, Photography",Moderate,Long Trek (multi-day),27.2,87.45,1
60,Halesi Mahadev Temple,Khotang,"All year, best Oct-Apr","Pilgrimage, Cave, Hindu, Buddhist",Natural Attractions,"Pilgrimage, Cave Exploration, Worship, Cultural Experience",Easy,Road / Vehicle Accessible (<=1 km walk),27.2,86.7167,1
61,Dharan (Budhasubba & Pindeshwor),Sunsari,"All year, best Oct-Mar","City, Pilgrimage, Culture",Cultural & Religious Sites,"Pilgrimage, City Tour, Cultural Events, Food Exploration",Easy,Road / Vehicle Accessible (<=1 km walk),26.812,87.283,1
62,Pathibhara Devi Temple,Taplejung,"Mar-May, Sep-Nov","Pilgrimage, Temple, Hiking",Cultural & Religious Sites,"Pilgrimage, Hiking, Worship, Cultural Experience",Easy-Moderate,Road / Vehicle Accessible (<=1 km walk),27.5023,87.7436,1
63,Barahachhetra,Sunsari,"All year, esp. Jan","Pilgrimage, Temple, River Confluence",Natural Attractions,"Pilgrimage, Religious Rituals, River Bathing, Cultural Events",Easy,Road / Vehicle Accessible (<=1 km walk),26.8667,87.1667,1
64,Ilaka Bazaar & Village Homestays,Ilam,Oct–Mar,Village; Cultural; Tea Garden,Cultural & Religious Sites,Cultural Tour; Homestay Experience; Tea Garden Visits; Photography,Easy,Road Accessible,26.92,88.02,1
65,Gorja,Taplejung,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Cultural Exploration",Moderate,Road / Vehicle Accessible (<=1 km walk),27.35263,87.60211,1
66,Chhankhola Waterfall,Sankhuwasabha,"March–May, Sept–Nov","Waterfall, Nature, Scenic Spot",Natural Attractions,"Hiking, Sightseeing",Moderate,"Road Accessible,Short hike from nearest roadhead",27.286,87.423,1
67,Mehele,Taplejung,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Cultural Exploration",Moderate,Road accessible,27.286,87.423,1
68,Okhre,Sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Sightseeing, Waterfalls",Moderate,"Road / Vehicle Accessible (<=1 km walk),short hike",27.57974,86.22138,1
69,Gairi Pangma,Sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Trekking & Adventure,"Hiking, Cultural Exploration",Moderate,Accessible via road and short hike,27.286,87.423,1
70,Bhedetar,Dhankuta,Oct–Mar,Hill Town; Nature; Viewpoint,Natural Attractions,Sightseeing; Photography; Picnic; Short Hike,Easy,Road Accessible,26.997,87.285,1
71,Nesum,Sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Cultural Exploration",Moderate,"Road accessible,short hike from nearest roadhead",27.286,87.423,1
72,Change Hiti,Sankhuwasabha,"March–May, Sept–Nov","Village, Nature, Trekking",Natural Attractions,"Hiking, Sightseeing, Cultural Exploration",Moderate,Road Accessible + Short Hike,26.983,87.2835,1
73,Banjhogara,Taplejung,"March–May, Sep–Nov","Offbeat, Nature, Rural",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy–Moderate,Road accessible,27.35658,87.68172,1
74,Dhankuta,Dhankuta,Oct–Feb,"Scenic, Culture",Natural Attractions,"Village Walks, Sightseeing",Easy,Road accessible,26.983,87.283,1
75,Panchami Danda,Taplejung,"March–May, Sep–Nov","Offbeat, Nature, Rural",Natural Attractions,"Hilltop walks, Photography, Cultural immersion",Easy–Moderate,Road / Vehicle Accessible (<=1 km walk),27.35658,87.68172,1
76,Yakthung civilization,"Limbuwan region (East Nepal, Sikkim, Darjeeling)","March–May, Sep–Nov","Indigenous, Kirat, Limbu, Yakthung, Mundhum",Village & Rural Tourism,"Limbu language, Mundhum scriptures, Sirijunga script, Yuma Sammang worship, Thibong Yakthung, Kipat land system",Moderate,"Accessible via regional roads from Phungling, Ilam, and Sikkim",27.35658,87.68172,1
77,Santhakra,Taplejung,"March–May, Sep–Nov","Rural, Nature, Limbu",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy–Moderate,Road access,27.38335,87.61093,1
78,Gurase Pokhari,Taplejung,"March–May, Sep–Nov","Offbeat, Nature, Limbu",Natural Attractions,"Trekking, Photography, Cultural immersion",Moderate,Road access,27.38335,87.61093,1
79,Lingtep,Taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road access,27.38335,87.61093,1
80,Thukima,Taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road access,27.4439,87.6114,1
81,Halesi Mahadev Temple,Khotang,"All year, best Oct-Apr","Pilgrimage, Cave, Hindu, Buddhist",Natural Attractions,"Pilgrimage, Cave Exploration, Worship, Cultural Experience",Easy,Road / Vehicle Accessible (<=1 km walk),27.2,86.7167,1
82,Kipa Chyoling Gumba,Taplejung,"March–May, Sep–Nov","Buddhist, Monastery, Cultural",Cultural & Religious Sites,"Pilgrimage, Photography, Cultural study",Easy–Moderate,Road Accessible,27.2735,87.9532,1
83,Nalbu,Taplejung,"March–May, Sep–Nov","Rural, Limbu, Nature",Natural Attractions,"Village walks, Cultural immersion, Photography",Easy,Road accessible,27.4719,87.609,1
84,Hile Tiny Viewpoint,Dhankuta,Oct–Mar,Viewpoint; Nature; Offbeat,Natural Attractions,Photography; Short Walk; Nature Observation,Easy,Road + Short Walk,26.99,87.29,1
85,Tapethok,Taplejung,"March–May, Sep–Nov","Limbu, Culture, Nature",Natural Attractions,"Trekking, Cultural immersion, Photography",Moderate,Road Accessible,27.49235,87.8037,1
86,Yamfudin,Taplejung,"March–May, Sep–Nov","Limbu, Sherpa, Rai, Trekking, Nature",Natural Attractions,"Kanchenjunga Circuit Trek, Cultural immersion, Photography",Moderate,Road Accessible,27.462,87.9454,1
87,Lelep,Taplejung,"March–May, Sep–Nov","Limbu, Sherpa, Rai, Trekking, Nature",Natural Attractions,"Kanchenjunga Circuit Trek, Cultural immersion, Photography",Moderate,Road + Short Trek,27.52721,87.8012,1
88,Kumbhakarna,Taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking Trails,27.6825,87.9525,1
89,Ekamba,Sunsari,Year-round,"Urban, Agriculture",Village & Rural Tourism,"Urban exploration, Agriculture, Local culture",Easy,Road accessible,26.65,87.2833,1
90,Bhurkee,Sunsari,Year-round,"Urban, Agriculture",Village & Rural Tourism,"Urban exploration, Agriculture, Local culture",Easy,Road Accessible,26.65,87.2833,1
91,Bahuni,Taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking from Taplejung via Yamphudin and Ramche,27.682,87.9525,1
92,Keroun,Morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Agriculture, Local culture",Easy,Road accessible,26.5917,87.4917,1
93,Daulatpur,Taplejung,"March–May, Sep–Nov","Mountain, Trekking, Nature",Natural Attractions,"Trekking, Mountaineering, Photography",Very Difficult,Trekking from Taplejung via Yamphudin and Ramche,27.6825,87.9525,1
94,Dalelee Bazaar,Morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Agriculture, Local culture",Easy,Road accessible,26.5917,87.4917,1
95,Maharaaj Thaan,Morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road Accessible,26.625,87.3,1
96,Kanchenjunga Base Camp Viewpoint,Taplejung,Mar–May; Sep–Nov,Viewpoint; Mountain; Scenic,Natural Attractions,Photography; Trekking; Camping; Sunrise/Sunset,Hard,Trek Access,27.7,87.7,1
97,Dohamna Bazaar,Morang,Year-round,"Rural, Market, Agriculture",Village & Rural Tourism,"Local trade, Rural exploration, Agriculture",Easy,Road access,26.62,87.29,1
98,Hoklabari,Morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road access,26.6205,87.2925,1
99,Koshi Tappu Wetland (extension into Province 2),Sunsari,Oct–Mar,Wetland; Wildlife; Nature; Birdwatching,Natural Attractions,Birdwatching; Photography; Nature Walks; Safari,Easy,Road Accessible,26.6667,87,1
100,Jholunge Pul Chisang,Morang,Year-round,"Suspension Bridge, Rural, Scenic",Natural Attractions,"Trekking, Sightseeing, Photography",Easy,"Road Accessible,walking",26.615,87.295,1
101,Limbu Villages,Tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Trekking; Photography,Moderate,Road + Trekking,27.2,87.45,1
102,Dipu chowk (Shiva Mandir),Morang,Year-round,"Religious, Temple, Cultural",Cultural & Religious Sites,"Pilgrimage, Worship, Photography",Easy,Road accessible,26.6155,87.298,1
103,Borabandh,Morang,Year-round,"Rural, Agriculture",Village & Rural Tourism,"Rural exploration, Local culture, Agriculture",Easy,Road accessible,26.617,87.293,1
104,Chulachuli,Ilam,"March–May, Sep–Nov","Tea gardens, Hills, Nature",Natural Attractions,"Trekking, Tea garden visits, Photography",Moderate,Road + Short Hike (<=2 hrs),26.915,87.923,1
105,Mahamai,Ilam,Mar–May; Sep–Nov,"Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.92,87.93,1
106,Danabari,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Tea garden visits, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.925,87.935,1
107,Laxmipura,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.93,87.94,1
108,Maghe,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.935,87.945,1
109,Bhawanitole,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.94,87.95,1
110,Panchkanya,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Tea garden visits, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.945,87.955,1
111,Premejung,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Tea garden visits, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.95,87.96,1
112,Shree Antu,Ilam,"Mar-May, Sep-Nov","Hills, Sunrise View, Tea Gardens",Natural Attractions,"Trekking, Sunrise Photography, Tea garden visits",Moderate,Road access via Ilam Bazaar and local trails,26.911,87.921,1
113,Samalbung,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Tea garden visits, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.955,87.965,1
114,"Jhandi Danda, Rambhyang",Ilam,"March–May, Sep–Nov","Hills, Nature, Trekking, Scenic View",Natural Attractions,"Trekking, Hiking, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.96,87.97,1
115,Dhunge dhara mandir,Ilam,Year-round,"Religious, Temple, Cultural",Cultural & Religious Sites,"Pilgrimage, Worship, Photography",Easy,Road access via Ilam Bazaar and local roads,26.965,87.975,1
116,Thalthale Pokhari (Targaun),Ilam,"March–May, Sep–Nov","Hills, Nature, Pond, Scenic",Natural Attractions,"Trekking, Nature Walks, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.97,87.98,1
117,Fajeegoun,Ilam,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.975,87.985,1
118,Sankhuwasabha,Sankhuwasabha,Oct–Nov,"Mountains, Trekking",Trekking & Adventure,"Trekking, Photography",Hard,Trek route,27.616,87.25,1
119,Pashupatinagar,Ilam,Year-round,"Religious, Temple, Rural",Cultural & Religious Sites,"Pilgrimage, Cultural Exploration, Local Trade",Easy,Road access via Ilam Bazaar and nearby roads,26.98,87.99,1
120,Mankhim mandir,Ilam,Year-round,"Religious, Temple, Cultural",Cultural & Religious Sites,"Pilgrimage, Worship, Trekking, Photography",Moderate,Road + Short Hike,26.985,87.995,1
121,Pothukatla,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.99,88,1
122,Sherpa Villages (Solukhumbu),Solukhumbu,Mar–May,"Cultural, Trekking, Heritage",Cultural & Religious Sites,"Cultural Tours, Trekking, Photography",Moderate,Trek route,27.7,86.7,1
123,Rungsung,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,26.995,88.005,1
124,Taplejung,Taplejung,Oct–Nov,"Scenic, Trekking",Natural Attractions,"Sightseeing, Trekking",Moderate,Road + Trek,27.691,87.677,1
125,Taplejung Micro Temple,Taplejung,Oct–Mar,Temple; Local; Offbeat,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road + Short Walk,27.3,87.6,1
126,Tin talaay waterfall,Ilam,Jun–Sep,"Waterfall, Nature, Hills",Natural Attractions,"Trekking, Sightseeing, Photography",Moderate,Road and trekking trails from Ilam Bazaar,27,88.01,1
127,Gorkhe,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,27.005,88.015,1
128,Thamserku Viewpoint,Solukhumbu,"Mar–May, Sep–Nov","Mountain, Trekking, Viewpoint",Trekking & Adventure,"Trekking, Sunrise/Sunset Photography, Mountain Viewing",Hard,Trekking from Namche Bazaar,27.75,86.7,1
129,Jamuna,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,27.01,88.02,1
130,Jogmai,Ilam,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Ilam Bazaar and local trails,27.015,88.025,1
131,Mabu,Morang,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Biratnagar and local trails,26.6000°,87.3000°,1
132,Maimajhuwa,Morang,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Biratnagar and local trails,26.6050°,87.3050°,1
133,Chhintapu,Morang,"March–May, Sep–Nov","Hills, Scenic, Nature",Natural Attractions,"Trekking, Sightseeing, Photography",Moderate,Road and local trails from Biratnagar,26.6100°,87.3100°,1
134,Bantedara,Morang,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road via main Morang roads,26.6150°,87.3150°,1
135,Sidin,Morang,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Biratnagar,26.6200°,87.3200°,1
