Name,District,Transportation
Nesum,Sankhuwasabha,"From Kathmandu, fly or drive to Taplejung and continue toward the rural village of Nesum."
Change Hiti,Sankhuwasabha,"From Kathmandu, travel by road toward Ilam and visit the natural spring area known as Change Hiti."
Banjhogara,Taplejung,"From Kathmandu, drive toward Dhankuta District and continue locally to Banjhogara village."
Dhankuta,Dhankuta,"From Kathmandu, drive toward Dharan and continue uphill to reach Dhankuta town."
Panchami Danda,Taplejung,"From Kathmandu, travel toward Dhankuta District and continue locally to Panchami Danda viewpoint."
Yakthung civilization,"Limbuwan region (East Nepal, Sikkim, Darjeeling)","From Kathmandu, travel to Panchthar or Taplejung to explore sites related to the ancient Yakthung (Limbu) civilization."
Santhakra,Taplejung,"From Kathmandu, drive to Tehrathum District and continue to the local village of Santhakra."
Gurase Pokhari,Taplejung,"From Kathmandu, drive toward Dhankuta and continue uphill to Gurase Pokhari along the Tinjure ridge area."
Lingtep,Taplejung,"From Kathmandu, travel toward Taplejung District and continue to Lingtep village region."
Thukima,Taplejung,"From Kathmandu, fly or drive to Taplejung and continue locally to Thukima village."
Halesi Mahadev Temple,Khotang,"From Kathmandu, travel again toward Khotang District and reach Halesi Mahadev Temple."
Kipa Chyoling Gumba,Taplejung,"From Kathmandu, travel toward Bhojpur District and visit the Buddhist monastery of Kipa Chyoling Gumba."
Nalbu,Taplejung,"From Kathmandu, drive toward Sankhuwasabha and continue by local transport to Nalbu village."
Hile Tiny Viewpoint,Dhankuta,"From Kathmandu, drive toward Dharan and continue to Hile where you can reach the small viewpoint nearby."
Tapethok,Taplejung,"From Kathmandu, fly or drive to Taplejung and travel toward Tapethok village area."
Yamfudin,Taplejung,"From Kathmandu, travel toward Taplejung and continue trekking to the remote settlement of Yamfudin."
Lelep,Taplejung,"From Kathmandu, travel toward Taplejung and continue to Lelep village near the Kanchenjunga region."
Kumbhakarna,Taplejung,"From Kathmandu, fly or drive to Taplejung and trek toward the Kumbhakarna (Jannu) Mountain viewpoint."
Ekamba,Sunsari,"From Kathmandu, travel toward Sunsari District and continue to the local area of Ekamba near Inaruwa."
Bhurkee,Sunsari,"From Kathmandu, travel toward Ilam District and continue locally to Bhurkee village."
Bahuni,Taplejung,"From Kathmandu, drive toward Morang District and continue to Bahuni area near Biratnagar."
Keroun,Morang,"From Kathmandu, drive toward Morang District and continue toward Keroun village."
Daulatpur,Taplejung,"From Kathmandu, travel toward Sunsari or Morang District and reach Daulatpur village."
Dalelee Bazaar,Morang,"From Kathmandu, drive toward Tehrathum District and continue to Dalelee Bazaar."
Maharaaj Thaan,Morang,"From Kathmandu, drive toward Sunsari District and visit Maharaaj Thaan religious site."
Kanchenjunga Base Camp Viewpoint,Taplejung,"From Kathmandu, fly or drive to Taplejung and trek toward the Kanchenjunga Base Camp Viewpoint."
Dohamna Bazaar,Morang,"From Kathmandu, travel toward Tehrathum District and continue to Dohamna Bazaar."
Hoklabari,Morang,"From Kathmandu, drive toward Morang District and continue to Hoklabari village."
Koshi Tappu Wetland (extension into Province 2),Sunsari,"From Kathmandu, drive or fly to Biratnagar and continue toward the Koshi Tappu Wetland area extending into Province 2."
Jholunge Pul Chisang,Morang,"From Kathmandu, travel toward Taplejung and continue to the hanging bridge area of Jholunge Pul near Chisang."
Limbu Villages,Tehrathum,"From Kathmandu, travel toward Taplejung or Panchthar and visit the traditional Limbu Villages."
Dipu chowk (Shiva Mandir),Morang,"From Kathmandu, drive toward Itahari in Sunsari and continue to Dipu Chowk where Shiva Mandir is located."
Borabandh,Morang,"From Kathmandu, travel toward Morang District and continue locally to Borabandh area."
Chulachuli,Ilam,"From Kathmandu, travel toward Ilam District and continue to the Chulachuli community region."
Mahamai,Ilam,"From Kathmandu, travel toward Ilam District and continue to Mahamai village area."
Danabari,Ilam,"From Kathmandu, travel toward Ilam District and continue to Danabari village."
Laxmipura,Ilam,"From Kathmandu, drive toward Morang District and continue to the local village of Laxmipura."
Maghe,Ilam,"From Kathmandu, travel toward Ilam or Panchthar District and continue to Maghe village region."
Bhawanitole,Ilam,"From Kathmandu, travel toward Morang or Sunsari District and continue to Bhawanitole settlement."
Panchkanya,Ilam,"From Kathmandu, travel by road toward Dhankuta District and continue locally to reach Panchkanya village."
Premejung,Ilam,"From Kathmandu, drive or fly to Taplejung and continue by local route to Premejung village area."
Shree Antu,Ilam,"From Kathmandu, drive or fly to Bhadrapur and continue uphill toward Ilam to reach Shree Antu, famous for sunrise views."
Samalbung,Ilam,"From Kathmandu, travel toward Ilam District and continue locally to Samalbung village."
"Jhandi Danda, Rambhyang",Ilam,"From Kathmandu, travel to Ilam District and continue toward Rambhyang to reach Jhandi Danda viewpoint."
Dhunge dhara mandir,Ilam,"From Kathmandu, travel toward Dhankuta or nearby eastern hill areas to visit the local Dhunge Dhara Mandir temple."
Thalthale Pokhari (Targaun),Ilam,"From Kathmandu, drive toward Dhankuta District and continue to Targaun village to visit Thalthale Pokhari."
Fajeegoun,Ilam,"From Kathmandu, travel by road toward Sankhuwasabha District and continue locally to Fajeegoun village."
Sankhuwasabha,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar or drive via Dharan and continue uphill to reach Sankhuwasabha District."
Pashupatinagar,Ilam,"From Kathmandu, drive or fly to Bhadrapur and continue uphill toward Ilam to reach Pashupatinagar near the Nepal–India border."
Mankhim mandir,Ilam,"From Kathmandu, travel toward Ilam or border region near Sikkim and continue to Mankhim Mandir viewpoint area."
Pothukatla,Ilam,"From Kathmandu, drive toward Panchthar District and continue locally to Pothukatla village."
Sherpa Villages (Solukhumbu),Solukhumbu,"From Kathmandu, fly to Lukla and trek through Namche, Khumjung, and Phortse to explore Sherpa Villages."
Rungsung,Ilam,"From Kathmandu, travel toward Panchthar District and continue locally to Rungsung village."
Taplejung,Taplejung,"From Kathmandu, drive via Dharan and Dhankuta or take a direct flight to Taplejung town."
Taplejung Micro Temple,Taplejung,"From Kathmandu, travel to Taplejung and visit the local micro temples within the town area."
Tin talaay waterfall,Ilam,"From Kathmandu, drive toward Dhankuta or Ilam and continue locally to reach Tin Talaay Waterfall."
Gorkhe,Ilam,"From Kathmandu, fly or drive to Taplejung and continue locally to Gorkhe village."
Thamserku Viewpoint,Solukhumbu,"From Kathmandu, fly to Lukla and trek via Namche Bazaar toward the Thamserku Viewpoint area."
Jamuna,Ilam,"From Kathmandu, travel toward Ilam District and continue to Jamuna village viewpoint area."
Jogmai,Ilam,"From Kathmandu, travel toward Ilam District and continue locally to Jogmai settlement."
Mabu,Morang,"From Kathmandu, travel toward Ilam District and continue toward Mabu village area."
Maimajhuwa,Morang,"From Kathmandu, travel toward Ilam District and continue uphill to Maimajhuwa village."
Chhintapu,Morang,"From Kathmandu, drive or fly to Ilam and continue trekking uphill to Chhintapu peak region."
Bantedara,Morang,"From Kathmandu, travel toward Panchthar District and continue locally to Bantedara village."
Sidin,Morang,"From Kathmandu, travel toward Taplejung District and continue locally to Sidin settlement."
Lakhanpur,Morang,"From Kathmandu, drive toward Jhapa or Ilam District and continue to Lakhanpur market area."
Charchabari,Morang,"From Kathmandu, travel toward Tehrathum District and continue locally to Charchabari village."
Chaudhari Gaun,Morang,"From Kathmandu, drive toward Dhankuta or Bhojpur region and continue to Chaudhari Gaun."
Tumden Chowk,Morang,"From Kathmandu, travel toward Tehrathum or Panchthar District and continue locally to Tumden Chowk."
Sanba,Terhathum,"From Kathmandu, fly or drive to Taplejung and continue to Sanba village region."
Tiljung,Terhathum,"From Kathmandu, fly or drive to Taplejung and continue locally to Tiljung village."
Papung,Terhathum,"From Kathmandu, travel toward Taplejung and continue locally to Papung village region."
Phungphunge Waterfall,Terhathum,"From Kathmandu, drive toward Tehrathum District and continue locally to visit Phungphunge Waterfall."
Dalaicha,Terhathum,"From Kathmandu, travel toward Sankhuwasabha and continue locally to Dalaicha settlement."
Dunge,Terhathum,"From Kathmandu, travel toward Sankhuwasabha District and continue to Dunge village."
Tartong,Terhathum,"From Kathmandu, travel toward Taplejung or Sankhuwasabha and continue locally to Tartong village."
Papung Gumba,Terhathum,"From Kathmandu, travel toward Taplejung and continue locally to Papung Gumba monastery."
Tokpegola,Terhathum,"From Kathmandu, fly or drive to Taplejung and continue trekking to Tokpegola near the Kanchenjunga area."
Keemathnka,Terhathum,"From Kathmandu, fly to Tumlingtar and continue northward trekking toward the remote Keemathnka region."
Chepuwa,Terhathum,"From Kathmandu, fly to Tumlingtar and trek through Num and Hatiya to reach Chepuwa village in Sankhuwasabha."
Guthigumba,Terhathum,"From Kathmandu, travel toward Sankhuwasabha or Dhankuta District and continue locally to Guthigumba monastery."
Yaphu,Terhathum,"From Kathmandu, fly to Tumlingtar and continue trekking northward to Yaphu village in Sankhuwasabha."
Seduwa,Terhathum,"From Kathmandu, fly to Tumlingtar and trek through Num to reach Seduwa village, the entry to Makalu-Barun National Park."
Siva Mandir Managaun,Terhathum,"From Kathmandu, travel toward Bhojpur or Dhankuta District and continue locally to Siva Mandir in Managaun."
Keemathnka,Sankhuwasabha,"From Kathmandu, travel again via Tumlingtar and trek to the highland of Keemathnka."
Hans Pokhari (हाँसपोखरी),Sankhuwasabha,"From Kathmandu, drive toward Dhankuta and continue locally to visit Hans Pokhari."
Kholakharka,Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha or Solukhumbu and continue trekking to Kholakharka settlement."
Hatiya,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek through Num and Seduwa to reach Hatiya in northern Sankhuwasabha."
Dangok,Sankhuwasabha,"From Kathmandu, travel toward Ilam or Panchthar District and continue locally to Dangok village."
Bhotkhola,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and continue trekking northward along the Arun Valley to Bhotkhola region."
Guthigumba,Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha region and visit the Guthigumba monastery again."
Chyamtang,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek along the Arun River to Chyamtang village."
Chepuwa,Sankhuwasabha,"From Kathmandu, travel via Tumlingtar and trek northward again to Chepuwa in Sankhuwasabha."
Thudam,Sankhuwasabha,"From Kathmandu, fly to Tumlingtar and trek northward through the Arun Valley to the remote Thudam settlement."
Brihaspati Tal (बृहस्पती ताल),Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha District and continue trekking to Brihaspati Tal lake."
Rajarshi Tal (राजर्षी ताल),Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha and trek to the alpine lake known as Rajarshi Tal."
Rukma,Sankhuwasabha,"From Kathmandu, travel toward Taplejung and continue locally to Rukma village."
Sibrung,Sankhuwasabha,"From Kathmandu, travel toward Sankhuwasabha or Tehrathum and continue to Sibrung village area."
Limkhim Fall,Sankhuwasabha,"From Kathmandu, travel toward Taplejung and continue locally to Limkhim village to see Limkhim Fall."
Baide,Sankhuwasabha,"From Kathmandu, travel toward Panchthar District and continue to Baide village region."
Num,Sankhuwasabha,"Travel from Kathmandu to Chainpur (by flight to Tumlingtar, then drive), then continue by local transport or hike to Num."
Sabha Pokhari,Sankhuwasabha,"Take a flight or drive from Kathmandu to Bhojpur or Tumlingtar, then continue by local jeep and trek to Sabha Pokhari."
Nebare,Sankhuwasabha,"Travel from Kathmandu to Chainpur (by flight to Tumlingtar, then drive), then continue by local transport or hike to Nebare."
Mangkhim,Sankhuwasabha,"Fly or drive to Ilam from Kathmandu, then continue by road via Chisapani to reach Mangkhim."
Syaksila,Sankhuwasabha,"From Kathmandu, take a flight to Tumlingtar, then drive to Chainpur and trek to Syaksila village."
Sempung,Sankhuwasabha,"Travel from Kathmandu to Khandbari by air (via Tumlingtar) or road, then continue by jeep and foot to reach Sempung."
Chainpur,Sankhuwasabha,"Take a flight to Tumlingtar from Kathmandu, then drive about 4–5 hours to Chainpur in Sankhuwasabha."
Siddhakali,Sankhuwasabha,"Fly or drive to Bhojpur from Kathmandu, then continue by road to Siddhakali Temple area."
Mawadin,Sankhuwasabha,"From Kathmandu, reach Diktel (Khotang) by road or flight to Lamidanda, then take local transport to Mawadin."
Ambung,Sankhuwasabha,"Take a flight from Kathmandu to Taplejung (Suketar), then drive towards Phungling and continue trekking to Ambung."
Dhungesaghu,Sankhuwasabha,"From Kathmandu, travel to Taplejung by flight or bus, then drive or hike to Dhungesaghu village."
Olangchung Gola,Taplejung,"Fly from Kathmandu to Suketar, drive to Tapethok, and then trek several days through Lelep to Olangchung Gola."
Yangma,Taplejung,"Take the same route as Olangchung Gola—fly to Suketar, trek via Lelep and Olangchung Gola to Yangma Valley."
Merak,Taplejung,"From Kathmandu, fly to Bhadrapur and drive through Ilam to reach Merak village near the Bhutan border."
Bajrangi Lake,Taplejung,"Travel from Kathmandu to Chainpur (via Tumlingtar), then hike to Bajrangi Lake area in Sankhuwasabha."
Hanuman Sagar,Taplejung,"Fly or drive to Diktel, Khotang, and continue by local jeep to Hanuman Sagar."
Chhija,Taplejung,"From Kathmandu, reach Bhojpur by road or air, then take local transport to Chhija village."
Nup,Taplejung,"Fly from Kathmandu to Suketar, drive to Phungling, and continue by trekking trails towards Nup."
Tapethok,Taplejung,"Travel by flight from Kathmandu to Suketar, then drive to Tapethok village in Taplejung District."
Ghunsa,Taplejung,"From Kathmandu, fly to Suketar, drive to Tapethok, and trek through Lelep to reach Ghunsa."
Phungling,Taplejung,"Take a flight from Kathmandu to Suketar, then a short drive or trek to Phungling Bazaar."
Dokhu,Taplejung,Fly or drive to Taplejung and continue a short drive from Phungling to reach Dokhu.
Sansari Danda,Taplejung,"From Kathmandu, reach Bhojpur or Diktel by road, then hike to Sansari Danda viewpoint."
Ghumaaune Dada,Taplejung,"Travel from Kathmandu to Dhankuta by road, then continue uphill trekking to Ghumaaune Dada."
Duhabi,Sunsari,Take a direct drive or bus from Kathmandu to Duhabi in Sunsari District via the East-West Highway.
Sisabanibadahara,Sunsari,"From Kathmandu, travel by road along the East-West Highway to Itahari, then continue to Sisabanibadahara."
Dangraha,Sunsari,"Drive from Kathmandu to Biratnagar, then take a local route toward Dangraha in Morang District."
Banigama,Sunsari,"From Kathmandu, drive via Itahari to reach Banigama on the Mahendra Highway."
Dulari,Sunsari,"Take a bus or car from Kathmandu to Biratnagar, then continue on the local road to Dulari."
Binaya Tole Phimraha,Sunsari,"Travel from Kathmandu to Inaruwa by bus, then continue locally to Binaya Tole Phimraha."
Khoksi,Sunsari,"Drive or take a bus from Kathmandu to Biratnagar, then follow local roads to Khoksi area."
Lati Jhora,Sunsari,"Take a flight or drive to Bhadrapur, then head towards Ilam and continue by local road to Lati Jhora waterfall."
Sonapur,Sunsari,"Travel from Kathmandu to Itahari by highway bus, then drive to Sonapur."
Sai Man Basti,Sunsari,"Take a road trip from Kathmandu to Inaruwa, then drive locally to Sai Man Basti."
Khanar,Sunsari,"Drive or fly to Biratnagar from Kathmandu, then continue a short distance north to Khanar."
Gaisar,Sunsari,"Travel by bus from Kathmandu to Biratnagar, then continue by local jeep to Gaisar."
Bhatti Toal,Sunsari,"Drive from Kathmandu to Sunsari District, then use local roads to reach Bhatti Toal area."
Bajraha,Sunsari,"Take a long-distance bus from Kathmandu to the Koshi region, then continue locally to Bajraha."
Ubdhi,Sunsari,"Travel by bus from Kathmandu to Inaruwa, then reach Ubdhi via local transport."
Lauhani,Sunsari,"From Kathmandu, take the East-West Highway bus to Biratnagar, then continue to Lauhani village."
Jhumka,Sunsari,"Travel from Kathmandu to Itahari, then a short drive along the highway to Jhumka town."
Diktel,Khotang,Fly to Lamidanda or drive from Kathmandu through Gaighat and Udayapur to Diktel Bazaar.
Nerpa,Khotang,"Travel to Diktel first (via Lamidanda or road), then continue locally to Nerpa."
Dorpachiuridada,Khotang,"From Kathmandu, fly to Lamidanda and take a local jeep or trek to Dorpachiuridada."
Lamidanda,Khotang,Fly from Kathmandu directly to Lamidanda Airport in Khotang District.
Sapteshwor,Khotang,"From Kathmandu, drive or fly to Diktel, then continue by local transport to Sapteshwor Temple."
Pipal Dada,Khotang,"Travel from Kathmandu to Diktel by road or air, then continue locally to Pipal Dada hill."
Rakha Dipsung,Khotang,"Take a road trip from Kathmandu to Khotang, then continue by local trail or jeep to Rakha Dipsung."
Sungdel,Khotang,"From Kathmandu, travel to Diktel, then take local transport to Sungdel village."
Sitalpati,Khotang,Drive from Kathmandu to Diktel and continue locally to Sitalpati village.
Chiyabari,Sunsari,Take a bus from Kathmandu to Dhankuta and then continue by local vehicle to Chiyabari.
Bagapati,Sunsari,"From Kathmandu, drive towards Udayapur District, then continue locally to Bagapati village."
Inaruwa,Sunsari,Take a direct bus from Kathmandu along the East-West Highway to Inaruwa in Sunsari.
Halesi Tole,Khotang,"Fly or drive to Diktel, then continue to Halesi Mahadev area to reach Halesi Tole."
Badahara,Sunsari,"Travel from Kathmandu to Biratnagar or Inaruwa, then proceed locally to Badahara."
Barchhawa,Sunsari,Take a road trip from Kathmandu via the East-West Highway to reach Barchhawa village.
Madhesa,Sunsari,Drive from Kathmandu to Itahari and continue to Madhesa in Sunsari District.
Chandbela,Sunsari,"Take a bus from Kathmandu to Biratnagar, then head by local route to Chandbela."
Gaighat,Udayapur,Drive directly from Kathmandu to Gaighat in Udayapur District via the Mid-Hill Highway.
Valaya Danda,Udayapur,"From Kathmandu, take a bus to Gaighat, then drive or hike to Valaya Danda."
Jalpachilaune,Udayapur,Travel by road from Kathmandu to Udayapur and continue locally to Jalpachilaune.
Beldovan Waterfalls,Udayapur,"From Kathmandu, drive to Udayapur District and hike from Gaighat to Beldovan Waterfalls."
Murkuchi Bazar,Udayapur,"Travel from Kathmandu to Inaruwa or Itahari, then continue locally to Murkuchi Bazar."
Triyuga Bridge,Udayapur,"Drive from Kathmandu to Gaighat, Udayapur, then cross or visit the Triyuga Bridge area."
Rauta,Udayapur,"From Kathmandu, drive to Udayapur District and continue towards Rauta Bhagwati Temple hill area."
Pipra,Saptari,"Travel by road from Kathmandu to Sunsari District, then continue locally to Pipra."
Saptakoshi,Saptari,Take a road trip from Kathmandu to Koshi Barrage area via Itahari and Laukahi to reach Saptakoshi.
Odraha,Saptari,"From Kathmandu, drive to Inaruwa and continue locally to Odraha village."
Sakhubani,Saptari,"Take a bus from Kathmandu to Udayapur or Sunsari region, then travel locally to Sakhubani."
Laxminarayan Temple,Saptari,"From Kathmandu, drive to Biratnagar, then visit the Laxminarayan Temple in the city area."
Fatepur,Saptari,Travel from Kathmandu to Sunsari District along the highway and reach Fatepur by local road.
Sirwani,Saptari,"From Kathmandu, drive to Dhankuta, then continue to Sirwani settlement area."
Sundarpur,Saptari,"Take a bus or car from Kathmandu to Inaruwa, then continue to Sundarpur village."
Sirwani,Saptari,Travel again via Dhankuta route to Sirwani for continuity of circuit.
