ID,Location,Total Reviews,Review
28,Himalayan Viewpoint,125,Stunning wide-angle views of snow-capped peaks and valleys.
29,Phakumba,136,A remote village offering serene landscapes and authentic Limbu heritage.
30,Biratnagar,652,A vibrant industrial city with a growing touch of modern Nepalese culture.
31,Taplejung,954,A gateway to Kanchenjunga with untouched natural beauty and local warmth.
32,Ilam,888,"Known as the “Queen of Hills,” famed for its tea gardens and rolling greenery."
33,Dhankuta,758,A historical hill town surrounded by orchards and scenic mountain views.
34,Sankhuwasabha,2000,"A land of rivers, caves, and Himalayan peaks rich in ethnic diversity."
35,Ilaka Bazaar & Homestays (Bhojpur),300,Experience local lifestyle and traditional food in peaceful homestays.
36,Khoping Pokhari,358,A serene pond offering reflection views and a calm natural setting.
37,Himalayan Hot Springs (Taplejung/Sankhuwasabha),659,Relaxing mineral springs tucked within forested hills.
38,Jhyau pokhari,669,"A quiet lake surrounded by lush greenery, ideal for picnics and meditation."
39,Jhyau Pokhari,125,A quaint rural area offering scenic trails and cultural simplicity.
40,Nundhaki,879,A peaceful highland village with authentic local charm and stunning views.
41,Mawadin,569,A glacial river known for its milky flow and suspension bridges.
42,Dudh Koshi River (Solukhumbu),523,A serene Buddhist site symbolizing compassion and peace.
43,Namobuddha Monastery (Bhojpur/Khotang),845,Known for its unique Rai culture and traditional dances.
44,Bantawa Village (Dhankuta),956,Famous for Sherpa hospitality and Everest-region traditions.
45,Sherpa Villages (Solukhumbu),756,"Rich in culture, heritage, and traditional craftsmanship."
46,Limbu Villages (Panchthar–Taplejung),369,A blend of natural beauty and Buddhist culture.
47,Tempu–Helambu Trek (Sindhupalchok/Solukhumbu border),125,A revered temple offering spiritual solace and panoramic views.
48,"Dantakali Temple (Sunsari, Dharan)",458,"A cozy hillside town perfect for tea, views, and quiet escapes."
49,Hile (Dhankuta),600,"A mix of Rai, Limbu, and Sherpa cultures preserving ancient traditions."
50,Ethnic Villages (Sankhuwasabha/Bhojpur),250,Discover diverse Himalayan cultures preserved through generations.
51,Gokyo Lakes,600,Crystal-clear turquoise lakes set amidst Everest’s majestic peaks.
52,Namche Bazaar,5000,The vibrant Sherpa capital and gateway to Everest Base Camp.
53,Kanyam Tea Garden,890,Rolling green hills with stunning views and refreshing mountain air.
54,Sherpa Villages,900,Heartwarming mountain communities rich in Buddhist culture.
55,Sangu,500,A peaceful rural escape surrounded by hills and traditional life.
56,Dudh Koshi River Rafting,1287,Thrilling whitewater adventure through the scenic Solukhumbu valley.
57,Antu Danda,543,Famous for sunrise views over Kanchenjunga and charming tea estates.
58,Maipokhari,1987,A tranquil wetland and pilgrimage site nestled in Ilam’s greenery.
59,Kanchenjunga Conservation Area,1256,A pristine region protecting rare wildlife and towering peaks.
60,Sandakpur,1543,Offers breathtaking sunrise views of Everest and Kanchenjunga ranges.
61,"TMJ Ridge (Tinjure, Milke, Jaljale)",978,A colorful ridge famed for rhododendron blooms and panoramic trails.
62,Halesi Mahadev Temple,876,A sacred cave temple revered by both Hindus and Buddhists.
63,Dharan (Budhasubba & Pindeshwor),569,"A spiritual hub blending temples, hills, and youthful city vibes."
64,Pathibhara Devi Temple,764,A powerful pilgrimage site perched high above the clouds.
65,Barahachhetra,432,One of Nepal’s holiest confluences dedicated to Lord Vishnu.
66,Ilaka Bazaar & Village Homestays,351,Experience authentic local life and hospitality in Bhojpur hills.
67,Gorja,423,A quiet mountain village known for its simplicity and scenic backdrop.
68,Chhankhola Waterfall,942,A hidden cascade offering refreshing natural beauty and calm.
69,Mehele,587,A small hillside settlement rich in traditional Limbu heritage.
70,Okhre,623,A tranquil rural spot surrounded by lush terraced farms.
71,Gairi Pangma,458,A picturesque hamlet offering views of Makalu and surrounding valleys.
72,Bhedetar,356,A breezy hilltop town popular for its foggy charm and Dharan views.
73,Nesum,417,A peaceful mountain village untouched by modern life.
74,Change Hiti,382,An ancient stone spout reflecting traditional Newari craftsmanship.
75,Banjhogara,1432,A hidden gem of rural beauty and cultural authenticity.
76,Dhankuta,1289,A historical hill town rich in tradition and scenic mountain vistas.
77,Panchami Danda,5289,Offers wide panoramas of rolling hills and Himalayan ranges.
78,Yakthung civilization,1892,The living legacy of the Limbu people’s ancient culture.
79,Santhakra,734,A serene upland village surrounded by green fields and ridges.
80,Gurase Pokhari,568,A highland lake famous for rhododendron forests and calm reflection views.
81,Lingtep,447,A peaceful hillside village known for tea and traditional Limbu homes.
82,Thukima,903,A scenic settlement offering close encounters with nature and culture.
83,Halesi Mahadev Temple,654,Sacred cave shrine symbolizing divine power and faith.
84,Kipa Chyoling Gumba,1098,A serene monastery promoting peace amid lush surroundings.
85,Nalbu,2650,A small rural community set among terraced fields and rolling hills.
86,Hile Tiny Viewpoint,1623,Offers wide views of green hills and tea-clad landscapes.
87,Tapethok,725,A charming stopover village on the Kanchenjunga trekking route.
88,Yamfudin,542,A remote hamlet welcoming trekkers with warmth and simplicity.
89,Lelep,367,The gateway village to Kanchenjunga Conservation Area with scenic views.
90,Kumbhakarna,436,A majestic mountain peak known for its spiritual and natural grandeur.
91,Ekamba,258,A peaceful countryside area with traditional village lifestyle.
92,Bhurkee,974,A small hillside village surrounded by pristine natural beauty.
93,Bahuni,348,A lively village community known for its greenery and simplicity.
94,Keroun,1478,A flatland area blending rural charm with growing modern touch.
95,Daulatpur,932,A quiet settlement offering serene rural scenery.
96,Dalelee Bazaar,654,A local trade hub alive with market energy and mountain views.
97,Maharaaj Thaan,743,A spiritual site of devotion surrounded by peaceful greenery.
98,Kanchenjunga Base Camp Viewpoint,1689,Panoramic viewpoint offering majestic close-up mountain vistas.
99,Dohamna Bazaar,593,A small local market connecting nearby rural communities.
100,Hoklabari,430,A peaceful rural village surrounded by farmlands and warm local hospitality.
101,Koshi Tappu Wetland (extension into Province 2),245,A biodiverse paradise home to rare birds and aquatic life.
102,Jholunge Pul Chisang,312,A scenic suspension bridge offering thrilling river views.
103,Limbu Villages,510,"Rich in Limbu traditions, dances, and authentic highland culture."
104,Dipu chowk (Shiva Mandir),4500,A serene spiritual site popular among local devotees.
105,Borabandh,3900,A tranquil spot perfect for nature walks and countryside relaxation.
106,Chulachuli,5200,"A green, hilly area known for tea gardens and peaceful scenery."
107,Mahamai,2100,A small settlement known for its simplicity and traditional rural charm.
108,Danabari,3200,A lush tea-growing region with refreshing views and calm atmosphere.
109,Laxmipura,2800,A quiet community area surrounded by fields and greenery.
110,Maghe,4500,A peaceful village offering insight into local life and rural harmony.
111,Bhawanitole,4100,A friendly locality blending traditional homes with scenic backdrops.
112,Panchkanya,4800,A culturally significant area named after the five goddesses of Hindu mythology.
113,Premejung,2300,A hidden hillside village with pristine landscapes and warm locals.
114,Shree Antu,5200,Famous for stunning sunrise views and endless tea gardens.
115,Samalbung,3600,A serene hillside hamlet offering calmness and local hospitality.
116,"Jhandi Danda, Rambhyang",2750,A scenic ridge ideal for sunrise views and peaceful walks.
117,Dhunge dhara mandir,1890,A small stone-temple site with historical and religious value.
118,Thalthale Pokhari (Targaun),1400,A tranquil pond surrounded by greenery and calm air.
119,Fajeegoun,2300,A small village preserving authentic Limbu heritage and traditions.
120,Sankhuwasabha,1200,A gateway to the Himalayas rich in natural and cultural diversity.
121,Pashupatinagar,1350,A charming border town known for tea markets and hilly beauty.
122,Mankhim mandir,980,A hilltop temple offering panoramic views and peaceful prayer atmosphere.
123,Pothukatla,1700,A rural village surrounded by lush hills and scenic trails.
124,Sherpa Villages (Solukhumbu),900,Heart of Sherpa culture with breathtaking Himalayan scenery.
125,Rungsung,870,A traditional highland settlement known for simplicity and scenic landscapes.
126,Taplejung,890,A remote yet vibrant Himalayan town known for its natural wonders.
127,Taplejung Micro Temple,760,A small local temple that adds charm to the mountain setting.
128,Tin talaay waterfall,1150,A triple-tiered waterfall cascading beautifully through forested hills.
129,Gorkhe,1300,A quiet hill village offering peaceful views and rural life experience.
130,Thamserku Viewpoint,950,Offers stunning close-up views of Thamserku peak and Everest range.
131,Jamuna,1190,A hidden gem for sunrise views and tranquil natural surroundings.
132,Jogmai,800,"Known for its green hills and calm, refreshing atmosphere."
133,Mabu,720,A remote yet picturesque mountain village with rich local culture.
134,Maimajhuwa,3900,A peaceful community near Ilam’s scenic tea hills and viewpoints.
135,Chhintapu,1500,A famous high peak for trekking and breathtaking Himalayan panoramas.
136,Bantedara,1350,A rural settlement surrounded by greenery and agricultural charm.
137,Sidin,540,A cultural village along the Tamor River known for warm hospitality.
138,Lakhanpur,870,A lively marketplace connecting hilly communities and local trade.
139,Charchabari,1130,A quiet countryside area ideal for exploring nature and culture.
140,Chaudhari Gaun,690,A harmonious rural settlement reflecting eastern Nepali life.
141,Tumden Chowk,830,"A local hub bustling with shops, people, and mountain energy."
142,Sanba,990,A traditional Limbu village nestled amid hills and serene forests.
143,Tiljung,610,A peaceful hamlet surrounded by terraced fields and rolling hills.
144,Papung,710,A quaint mountain village known for cultural richness and simplicity.
145,Phungphunge Waterfall,450,A majestic waterfall surrounded by lush forest and fresh mountain air.
146,Dalaicha,520,"A small, scenic rural area known for its peaceful environment."
147,Dunge,730,A serene hilltop village perfect for quiet nature retreats.
148,Tartong,890,A hidden gem of green valleys and pure Himalayan tranquility.
149,Papung Gumba,1600,A calm Buddhist monastery offering spiritual peace and mountain views.
150,Tokpegola,530,A picturesque border village surrounded by snowy peaks and Sherpa culture.
151,Keemathnka,490,Keemathnka – A peaceful highland village offering stunning mountain scenery and local culture.
152,Chepuwa,670,Chepuwa – A remote Himalayan settlement surrounded by forests and rivers.
153,Guthigumba,980,Guthigumba – A serene Buddhist monastery area ideal for reflection and peace.
154,Yaphu,1280,Yaphu – A tranquil village nestled deep in the hills of Sankhuwasabha.
155,Seduwa,850,"Seduwa – Gateway to Makalu-Barun National Park, rich in nature and biodiversity."
156,Siva Mandir Managaun,880,Siva Mandir Managaun – A sacred temple attracting devotees seeking spiritual calm.
157,Keemathnka,640,Keemathnka – A scenic rural village with pristine air and Himalayan backdrops.
158,Hans Pokhari (हाँसपोखरी),520,Hans Pokhari (हाँसपोखरी) – A lovely pond frequented by migratory birds and locals alike.
159,Kholakharka,570,Kholakharka – A peaceful grazing meadow offering wide mountain views.
160,Hatiya,1250,Hatiya – A traditional village with rich Rai and Sherpa cultural roots.
161,Dangok,1350,Dangok – A small hillside settlement surrounded by greenery and quiet trails.
162,Bhotkhola,640,A remote northern valley rich in Sherpa and Tibetan culture.
163,Guthigumba,2500,A historic monastery area reflecting Buddhist art and devotion.
164,Chyamtang,3100,A scenic mountain village with warm hospitality and rich culture.
165,Chepuwa,3200,Known for its natural beauty and pristine Himalayan wilderness.
166,Thudam,2100,A hidden gem near Tibet with breathtaking alpine scenery.
167,Brihaspati Tal (बृहस्पती ताल),1350,A sacred lake believed to have spiritual cleansing powers.
168,Rajarshi Tal (राजर्षी ताल),6200,A serene high-altitude lake surrounded by dense forest.
169,Rukma,2100,A quiet rural settlement amid tranquil mountain surroundings.
170,Sibrung,1900,A culturally rich village reflecting Limbu traditions and natural charm.
171,Limkhim Fall,3200,A beautiful hidden waterfall surrounded by lush greenery.
172,Baide,1400,A small hillside village known for scenic views and cultural warmth.
173,Num,4800,A picturesque stopover for trekkers heading to Makalu Base Camp.
174,Sabha Pokhari,2500,A holy alpine lake surrounded by legends and natural beauty.
175,Nebare,3700,A peaceful upland hamlet offering simplicity and scenic charm.
176,Mangkhim,5400,A hilltop site known for temples and stunning sunrise views.
177,Syaksila,3900,A highland settlement offering sweeping Himalayan vistas.
178,Sempung,4100,A remote yet charming rural village rich in ethnic culture.
179,Chainpur,1950,A historic hill town known for craftsmanship and natural beauty.
180,Siddhakali,2900,A revered temple offering peace and panoramic landscapes.
181,Mawadin,1500,A scenic village set among hills and vibrant rural life.
182,Ambung,2200,A quiet mountain village perfect for nature lovers and trekkers.
183,Dhungesaghu,1900,A small settlement named after its historic stone bridge and river views.
184,Olangchung Gola,1350,A fascinating old trade village blending Tibetan and Sherpa heritage.
185,Yangma,720,A secluded highland valley untouched by modernity and full of charm.
186,Merak,980,A traditional Sherpa village surrounded by Himalayan beauty.
187,Bajrangi Lake,890,A calm natural lake offering serenity and reflection views.
188,Hanuman Sagar,640,A religious lake dedicated to Lord Hanuman amid peaceful surroundings.
189,Chhija,870,A hill village offering scenic vistas and cultural authenticity.
190,Nup,690,A remote settlement embraced by forests and mountain serenity.
191,Tapethok,510,A riverside village on the Kanchenjunga trekking trail.
192,Ghunsa,770,A famous Sherpa village en route to Kanchenjunga Base Camp.
193,Phungling,950,Administrative hub of Taplejung blending urban life with natural charm.
194,Dokhu,540,A hillside town surrounded by forests and scenic rural views.
195,Sansari Danda,600,A holy ridge offering views and spiritual calm.
196,Ghumaaune Dada,430,A scenic hilltop viewpoint perfect for sunrises and photos.
197,Duhabi,520,A lively industrial town connecting plains and hills.
198,Sisabanibadahara,480,A peaceful Terai region village rich in agriculture.
199,Dangraha,3100,A flatland village with vibrant local life and cultural roots.
200,Banigama,2400,A small trading hub surrounded by green fields.
201,Dulari,690,"A simple, friendly village reflecting everyday rural Nepal."
202,Binaya Tole Phimraha,880,A local neighborhood known for community warmth.
203,Khoksi,720,A quiet farming village with a relaxed countryside atmosphere.
204,Lati Jhora,5600,A natural spring area with refreshing water and greenery.
205,Sonapur,5100,A growing market town blending modern life with traditional values.
206,Sai Man Basti,2500,"A small, friendly settlement in the eastern plains."
207,Khanar,1300,A developing suburban town near Itahari with local charm.
208,Gaisar,1100,A modest rural community surrounded by farmland.
209,Bhatti Toal,2400,A traditional neighborhood known for its welcoming locals.
210,Bajraha,840,A peaceful village offering authentic Terai culture and lifestyle.
211,Ubdhi,1300,A quiet countryside area ideal for peaceful retreats.
212,Lauhani,2700,A small farming village surrounded by fertile plains.
213,Jhumka,248,A busy town near Koshi Tappu known for its growing trade.
214,Diktel,"1,340",A beautiful hill town offering panoramic views and rich Rai culture.
215,Nerpa,"1,210",A serene mountain village with unspoiled natural surroundings.
216,Dorpachiuridada,312,Peaceful hill area offering panoramic mountain views.
217,Lamidanda,780,Scenic countryside known for its natural serenity.
218,Sapteshwor,196,Holy pilgrimage site surrounded by beautiful hills.
219,Pipal Dada,174,Quiet and green hilltop with relaxing surroundings.
220,Rakha Dipsung,430,Traditional village preserving local Kirat culture.
221,Sungdel,386,Picturesque rural area rich in ethnic traditions.
222,Sitalpati,590,Bustling small town with local market life.
223,Chiyabari,221,Lush tea garden area perfect for nature walks.
224,Bagapati,265,Charming countryside with scenic landscapes.
225,Inaruwa,144,Vibrant town serving as a commercial hub of Sunsari.
226,Halesi Tole,328,Gateway to the sacred Halesi Mahadev region.
227,Badahara,190,Peaceful rural settlement with natural beauty.
228,Barchhawa,210,Small village surrounded by farmland.
229,Madhesa,155,Agricultural village known for friendly locals.
230,Chandbela,"1,560",Calm area reflecting simple Terai lifestyle.
231,Gaighat,900,Busy town and entry point to Udayapur district.
232,Valaya Danda,312,Hilltop viewpoint with stunning morning scenes.
233,Jalpachilaune,740,Rural area rich in greenery and streams.
234,Beldovan Waterfalls,580,Hidden gem waterfall with refreshing ambiance.
235,Murkuchi Bazar,455,Local market center connecting nearby villages.
236,Triyuga Bridge,"1,450",Modern bridge offering great views of Triyuga River.
237,Rauta,"3,200",Popular for the Rauta Lake and religious significance.
238,Pipra,"2,750",Farming community with warm hospitality.
239,Saptakoshi,620,Famous for the Saptakoshi River and biodiversity.
240,Odraha,470,Quiet village with scenic riverbanks.
241,Sakhubani,310,Peaceful rural hamlet amid paddy fields.
242,Laxminarayan Temple,180,Sacred site dedicated to Lord Vishnu.
243,Fatepur,540,Lively town with local shops and eateries.
244,Sirwani,260,Small settlement surrounded by greenery.
245,Sundarpur,680,Developing town known for its natural charm.
246,Sirwani,420,Calm and nature-friendly village area.
247,Bakdhauwa,390,Traditional Terai village with cultural roots.
248,Jandaul,350,Agricultural area with peaceful rural scenery.
249,Mohanpur,280,Bustling small town with strong local community.
250,Mahuli Waterfall,150,Stunning natural fall ideal for short hikes.
251,Harna River,720,Tranquil riverside location for picnics and rest.
252,Jandaul,190,Friendly village surrounded by farmland.
253,Krishnasavaran (Marauti) Temple,510,Historic temple with spiritual value.
254,Terahauta,275,Serene countryside with local farming charm.
255,Lohajara,340,Calm and traditional rural village.
256,Bengari,190,Quiet area surrounded by natural greenery.
257,Theliya,210,Peaceful settlement reflecting Terai life.
258,Dhodhanpur,180,Agricultural area with scenic surroundings.
259,Kamalpur,165,Small but lively community village.
260,Nargho,260,Known for cultural diversity and simplicity.
261,Fakira,230,Simple and traditional farming village.
262,Birpur Barahi,190,Famous for Barahi temple and natural beauty.
263,Inarwa,135,Developing town with markets and schools.
264,Gobargada,170,Village rich in local culture and agriculture.
265,Barsain,120,Culturally rich town famous for local festivals.
266,Koiladi,240,Peaceful settlement near Koshi floodplains.
267,Deehibar Temple at Kusha,280,Spiritual site surrounded by greenery.
268,Dalwa Park,48,Small community park for local recreation.
269,Sakarpura,112,Calm and charming agricultural zone.
270,Bishahariya,74,Home to Bishahari temple and local legends.
271,Deurimaruwa,91,Traditional rural village with scenic charm.
272,Farseth,66,Village with beautiful paddy fields and community spirit.
273,Deurimaruwa,83,Peaceful and green settlement.
274,Rajbiraj,59,Historical city with planned layout and cultural heritage.
275,Didhawa,44,Serene agricultural village.
276,Pakari,51,Rural village known for simplicity and greenery.
277,Maleth,39,Historic village with cultural importance.
278,Basbiti,68,Calm village with traditional Terai lifestyle.
279,Rayapur,77,Lively community with temples and local events.
280,Hariharpur,42,Culturally rich area with Hindu temples.
281,Prasabani,58,Peaceful village known for farming.
282,Bishahariya,53,Popular pilgrimage site with snake goddess temple.
283,Deurimaruwa,46,Quiet and culturally active settlement.
284,Farseth,61,Friendly farming village in Saptari district.
285,Lahan,85,Major commercial hub with good road links.
286,Govindpur Taregana,37,Known for local fairs and temples.
287,Chure Mai Mandir,49,Sacred temple located on the Chure hills.
288,Hardiya,92,Small agricultural community.
289,Kushaha,41,Riverside area near Koshi Barrage.
290,Pansera,131,Quiet and green farming village.
291,Khojpur,57,Culturally diverse rural settlement.
292,Banarjhula,63,Simple Terai village surrounded by farmlands.
293,Malhanama,55,Peaceful countryside area.
294,Haripur,38,Growing town with trade and cultural mix.
295,Tikuliya,47,Small local village with welcoming locals.
296,Sakhuwanankarkatti,88,Rural area rich in agriculture.
297,Itarhawa,34,Village surrounded by natural greenery.
298,Nahara Rigoul,102,Calm settlement with strong community ties.
299,Bhagwanpur,28,Culturally vibrant village with temples.
300,Geruwaha,36,Scenic area with natural and rural charm.
301,Sothiyan,33,Sothiyan – Peaceful Terai village with traditional Madheshi lifestyle.
302,Mauwahi,25,Mauwahi – Calm farming village known for its greenery and simplicity.
303,Mauwahi,31,Kachanari – Scenic settlement surrounded by paddy fields.
304,Kachanari,27,Navarajpur – Typical Terai village reflecting rural Nepalese life.
305,Navarajpur,29,"Majhaura – Small, friendly community with cultural charm."
306,Majhaura,45,Khoksi – Riverside village ideal for short nature walks.
307,Kachanari,22,Janakinagar – Agricultural area with cultural and religious value.
308,Khoksi,33,Bariyarpatti – Vibrant local town famous for its small markets.
309,Janakinagar,21,Tenuwapatti – Serene village with traditional Mithila homes.
310,Bariyarpatti,26,Gadha – Peaceful farming settlement in the lowlands.
311,Tenuwapatti,24,Aurahi – Rural town showcasing authentic Madhesh culture.
312,Gadha,30,Aurahi Minor Shrine – Small yet revered local temple.
313,Aurahi,35,Baba Haridwar Dham – Spiritual pilgrimage site inspired by Haridwar.
314,Aurahi Minor Shrine,20,"Baba Taal – Small lake with a tranquil, devotional atmosphere."
315,Baba Haridwar Dham,39,Barhathwa Heritage Street – Historic street with cultural architecture.
316,Baba Taal,23,Bharat Lake – Beautiful artificial lake and recreation spot.
317,Barhathwa Heritage Street,32,Birgunj Heritage Sites – Blend of trade history and cultural heritage.
318,Bharat Lake,28,Chhath Ghat (Sunsari) – Sacred riverside area for Chhath Puja rituals.
319,Birgunj Heritage Sites,119,Chhinnamasta Riverbank Areas – Holy riverside landscapes for pilgrims.
320,Chhath Ghat (Sunsari),54,Chhinnamasta Temple – Renowned Hindu temple dedicated to Goddess Chhinnamasta.
321,Chhinnamasta Riverbank Areas,141,Chhireshwor Temple – Popular Shiva temple surrounded by local markets.
322,Chhinnamasta Temple,66,Chitwan–Parsa Elephant Corridor – Vital wildlife route connecting national parks.
323,Chhireshwor Temple,48,Chure Hills (Eastern Belt) – Biodiverse foothills offering scenic trails.
324,Chitwan–Parsa Elephant Corridor,127,Famous religious site linked to Ramayana.
325,Chure Hills (Eastern Belt),59,Cultural street filled with local life and traditions.
326,Dhanushadham (Dhanusha),36,Natural area surrounding the famous Gadhimai temple.
327,Dhobi Tole (Janakpur),59,Major temple known for large-scale fairs and rituals.
328,Gadhi Mai Forest Area,28,Site of Nepal’s significant cultural fair.
329,Gadhi Mai Temple (Bara),36,Peaceful Terai village with rich agriculture.
330,Gadhimai Mela Ground,33,District hub known for trade and historic significance.
331,Gamhariya Village,25,Historic temples and local cultural landmarks.
332,Gaur,29,Important Hindu site with religious gatherings.
333,Gaur (Rautahat) Heritage Sites,45,Rural settlement with simple lifestyle and warm locals.
334,Gaurighat Temple,33,Spiritual destination known for annual festivities.
335,Hariharpur Village,21,Renowned pilgrimage town of Mahadev devotees.
336,Jagdamba Temple,30,Sacred temple dedicated to Lord Shiva.
337,Jaleshwar Dham,24,Smaller shrines surrounding the main Janaki Temple.
338,Jaleshwor Mahadev Temple,20,Heart of Mithila culture and major pilgrimage city.
339,Janaki Temple Minor Complex,39,Serene riverfront used for rituals and ceremonies.
340,Janakpur Dham,23,Historic village with strong Mithila cultural roots.
341,Janakpur Ghats,32,Small riverside worship spot.
342,Kachorwa,97,Traditional community known for handicrafts.
343,Kachorwa Tiny Ghat,88,One of the tallest Shiva statues in the world.
344,Kachorwa Village,42,Peaceful site for spiritual activities along the river.
345,Kailashnath Mahadev Statue,54,Iconic dam and birdwatching location.
346,Kalyanpur Ghat,76,Excellent spot to watch sunrise and river flow.
347,Koshi Barrage,141,Holy temple complex with growing town nearby.
348,Koshi Barrage Viewpoint,66,Cross-border trading point with India.
349,Lahan / Shambhunath Temple,48,Immersive cultural stays with local families.
350,Laukaha Border Market,250,Colorful local celebrations year-round.
351,Local Homestays & Village Experiences,350,"Showcases Madhesi art, history, and lifestyle."
352,Local Seasonal Festivals (Remote Villages),330,Small religious sites along rivers.
353,Madhesh Museum & Cultural Center,700,Hidden cultural treasures across the plains.
354,Minor Ghats & River Confluences,750,Local shrines preserving old traditions.
355,Minor Heritage Sites,1000,Centers showcasing traditional Mithila paintings.
356,Minor Village Temples (Sarlahi/Bara/Rautahat),980,Heritage park celebrating Mithila art and customs.
357,Mithila Art Sites,900,Hands-on art site preserving ancient styles.
358,Mithila Cultural Park,500,"Wildlife haven with elephants, tigers, and rich flora."
359,Mithila Painting Workshop,600,Ancient village with cultural and archaeological value.
360,Parsa National Park,369,Major temple of Goddess Rajdevi in Gaur.
361,Pipara (Historical Site),700,Central temple symbolizing Ram–Sita heritage.
362,Rajdevi Temple,500,Busy Indo-Nepal trade and travel crossing.
363,Ram Janaki Temple,400,Cross-border marketplace with lively trade.
364,Raxaul / Bhitthamore Border,450,Sacred temple set amid peaceful surroundings.
365,Raxaul Border / Bhitthamore Market,650,Natural garden preserving regional biodiversity.
366,Sakhuwa Mahadev Temple,900,"District rich in culture, farming, and festivals."
367,Salhesh Botanical Garden,875,Local temple or heritage location.
368,Sarlahi,123,Hindu shrine dedicated to Lord Shiva.
369,Sarlahi Minor Cultural Site,258,Revered Shiva temple near Janakpur.
370,Shivala Temple,159,Historical city ruins of medieval Mithila kingdom.
371,Shivala Temple (Dhanusha),357,Sanctuary with diverse bird species and wetlands.
372,Simraungadh,654,Important ecological water bodies.
373,Sirsia Bird Sanctuary,321,Ethnic villages rich in culture and tradition.
374,Small Wetlands & Ponds (Saptari/Dhanusha),987,Peaceful riverside site for Chhath Puja and festivals.
375,Tharu Villages,654,Border area with trade and cultural exchange.
376,Tilathi Ghat,125,Hub for Madheshi arts and community events.
377,Tilathi–Koilabas Border Village,136,Famous garden and spiritual site celebrating Lord Salhesh.
378,Tulsipur Cultural Center,652,Town with temples and cultural landmarks.
379,Chhinnamasta Riverbank Areas,250,Chhinnamasta Riverbank Areas – Sacred riverside zones used for rituals and Chhath celebrations.
380,Tulsipur Cultural Center,350,"Tulsipur Cultural Center – Hub of Madheshi art, music, and traditional performances."
381,Small Wetlands & Ponds (Saptari/Dhanusha),330,Small Wetlands & Ponds (Saptari/Dhanusha) – Peaceful natural habitats rich in birdlife.
382,Birgunj Heritage Sites,700,Birgunj Heritage Sites – Blend of trade history and cultural monuments in Parsa.
383,Dhobi Tole / Cultural Street,750,Dhobi Tole / Cultural Street – Lively street showcasing Janakpur’s daily culture.
384,Madhesh Museum & Cultural Center,1000,Madhesh Museum & Cultural Center – Preserves the history and lifestyle of the Madheshi people.
385,Tharu Villages,980,Tharu Villages – Ethnic villages famous for traditional houses and warm hospitality.
386,Sakhuwa Mahadev Temple,900,Sakhuwa Mahadev Temple – Revered Shiva temple amid tranquil surroundings.
387,Salhesh Fulbari,500,Salhesh Fulbari – Sacred garden associated with the legend of Lord Salhesh.
388,Bharat Lake,600,Bharat Lake – Beautiful artificial lake and popular recreation area.
389,Bariyarpur Historical Sites,369,Bariyarpur Historical Sites – Ancient town with rich cultural and spiritual heritage.
