destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description,destination_image_path,hotel1_image_path,hotel2_image_path,hotel3_image_path,restaurant1_image_path,restaurant2_image_path,restaurant3_image_path
228,bakdhauwa,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.55318,86.75136,2,"Bakdhauwa is a rural settlement in Udayapur, surrounded by fertile plains. It reflects the Terai lifestyle, with farming as the main occupation and strong community bonds.","Drive from Kathmandu to Itahari, then continue along the highway to Bakdhauwa.",390,Traditional Terai village with cultural roots.,NO,NO,NO,NO,NO,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,"New Tharu Foodland, Mahuli","Mahendra Hwy, Jandaul 56400",3.7,Low (~$10–20),Mahuli Hotel (propriter:Bhagwan lal shah),"JRWC+74P, Bakdhauwa 56400",4.1,Medium (~$35–60),Poudel Hotel,"Mahendra Hwy, Kanchanrup 56400",3.8,High (~$90+),Bakdhauwa Religious Festival (proposed),Temple Premises,February,Religious,Devotional songs and rituals during Shivaratri season.,Bakdhauwa\download (1).jpeg; Bakdhauwa\download (2).jpeg; Bakdhauwa\download (5).jpeg; Bakdhauwa\download.jpeg,,hotel_images\bakdhauwa\Elephant Garden Hotel and Resort Pvt Ltd\amenities.jpg; hotel_images\bakdhauwa\Elephant Garden Hotel and Resort Pvt Ltd\entrance.jpg; hotel_images\bakdhauwa\Elephant Garden Hotel and Resort Pvt Ltd\exterior.jpg; hotel_images\bakdhauwa\Elephant Garden Hotel and Resort Pvt Ltd\rooms.jpg,,"restaurant_images\bakdhauwa\New Tharu Foodland, Mahuli\entrance.png",,restaurant_images\bakdhauwa\Poudel Hotel\entrance.png
229,jandaul,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54018,86.75276,2,"Jandaul is a village in Udayapur district, known for its agricultural fields and traditional practices. It is a peaceful settlement with cultural diversity.","From Kathmandu, drive to Udayapur, then continue locally to Jandaul.From Kathmandu, travel by road to Saptari District through Lahan and then continue locally to Jandaul village.",350190,Agricultural area with peaceful rural scenery. Friendly village surrounded by farmland.,NO,NO,NO,NO,NO,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Mid-range comfortable rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Jandaul Eco Tourism Day (proposed),Village Area,Spring,Eco / Tourism,Local eco-tourism and homestay awareness event.,Jandaul\download (1).jpeg; Jandaul\download (2).jpeg; Jandaul\download (3).jpeg; Jandaul\download (4).jpeg; Jandaul\download.jpeg,,hotel_images\jandaul\Elephant Garden Hotel and Resort Pvt Ltd\amenities.jpg; hotel_images\jandaul\Elephant Garden Hotel and Resort Pvt Ltd\entrance.jpg; hotel_images\jandaul\Elephant Garden Hotel and Resort Pvt Ltd\exterior.jpg; hotel_images\jandaul\Elephant Garden Hotel and Resort Pvt Ltd\rooms.jpg,,,,
230,mohanpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54218,86.75416,2,"Mohanpur is a rural settlement in Udayapur, surrounded by fertile land and rivers. It reflects traditional farming lifestyles and community traditions",Take a long-distance bus from Kathmandu to Sunsari District and reach Mohanpur by local transport.,280,Bustling small town with strong local community.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Mohanpur Winter Fair (proposed),Market Area,Winter,Trade / Cultural,Regional trade and folk art fair.,Mohanpur\download (1).jpeg; Mohanpur\download (2).jpeg; Mohanpur\download (3).jpeg; Mohanpur\download (5).jpeg; Mohanpur\download.jpeg,,,,,,
231,mahuli waterfall,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54268,86.75796,2,"Mahuli Waterfall is a natural attraction in Udayapur, cascading amidst forests and hills. It is a popular destination for locals and visitors seeking natural beauty and relaxation.","Travel from Kathmandu to Saptari District by road via the East-West Highway, then continue locally to reach Mahuli Waterfall near Kanchanrup.",150,Stunning natural fall ideal for short hikes.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Mahuli Adventure Trek Day (proposed),Waterfall Trail,Summer,Adventure / Eco,Adventure hike and photography event promoting eco-tourism.,Mahuli Waterfall\download (1).jpeg; Mahuli Waterfall\download (2).jpeg; Mahuli Waterfall\download (3).jpeg; Mahuli Waterfall\download (4).jpeg; Mahuli Waterfall\download.jpeg,,,,,,
232,harna river,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54468,86.75936,2,"Harna River flows through Udayapur district, supporting agriculture and local livelihoods. It is an important water source and adds to the scenic beauty of the region.","Drive from Kathmandu towards Saptari via the East-West Highway, then continue to the Harna River area near Rajbiraj.",720,Tranquil riverside location for picnics and rest.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Harna River Clean-up Festival (proposed),Riverbank,Monsoon,Eco / Environmental,Public awareness program for clean water conservation.,Harna River\download (1).jpeg; Harna River\download (2).jpeg; Harna River\download (3).jpeg; Harna River\download (5).jpeg; Harna River\download.jpeg,,,,,,
233,krishnasavaran (marauti) temple,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Photography, Pilgrimage",Easy,Mostly accessible by local roads,26.54718,86.74816,2,"Krishnasavaran Temple, also called Marauti Temple, is a Hindu shrine dedicated to Lord Krishna. It is a spiritual center for local communities, especially during Janmashtami and other festivals.","Take a bus or private vehicle from Kathmandu to Lahan, then continue locally to Krishnasavaran to visit Marauti Temple.",510,Historic temple with spiritual value.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Marauti Krishna Janmashtami Mela (real/proposed),Temple Premises,August,Religious,"Celebration of Lord Krishna’s birth with bhajans, rituals, and fairs.",Krishnasavaran (Marauti) Temple\download (1).jpeg; Krishnasavaran (Marauti) Temple\download (2).jpeg; Krishnasavaran (Marauti) Temple\download (3).jpeg; Krishnasavaran (Marauti) Temple\download (4).jpeg; Krishnasavaran (Marauti) Temple\download.jpeg,,,,,,
234,terahauta,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54918,86.75196,2,"Terahauta is a rural settlement in Udayapur, surrounded by fertile plains and forests. It reflects traditional farming practices and cultural diversity","Travel from Kathmandu to Rajbiraj by road or air, then continue locally to Terahauta village.",275,Serene countryside with local farming charm.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Terahauta Rural Heritage Day (proposed),Village Ground,Autumn,Cultural,"Folk songs, dances, and exhibition of local handicrafts.",Raha\download (1).jpeg; Raha\download (2).jpeg; Raha\download (3).jpeg; Raha\download (4).jpeg; Raha\download.jpeg,,,,,,
235,lohajara,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55118,86.75336,2,"Lohajara is a village in Udayapur district, known for its agricultural lifestyle and community traditions. It is surrounded by fields and rivers, offering a peaceful rural environment.","Drive from Kathmandu to Saptari via Lahan, then continue on local roads to Lohajara settlement.",340,Calm and traditional rural village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Lohajara Eco-Forest Day (proposed),Forest Edge,Spring,Eco / Environmental,Awareness event promoting reforestation and biodiversity.,Lohajara\download (1).jpeg; Lohajara\download (2).jpeg; Lohajara\download (3).jpeg; Lohajara\download (4).jpeg; Lohajara\download.jpeg,,,,,,
236,bengari,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55168,86.75476,2,"Bengari is a rural settlement in Saptari district, located in the fertile Terai plains of eastern Nepal. It is primarily an agricultural community, with rice, wheat, and maize cultivation forming the backbone of local livelihoods.","From Kathmandu, take the East-West Highway to Saptari District, then proceed locally to Bengari village.",190,Quiet area surrounded by natural greenery.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bengari Cultural Fair (proposed),School Ground,Winter,Cultural,Tharu and Maithil traditional performances with local food stalls.,Bengari\download (1).jpeg; Bengari\download (2).jpeg; Bengari\download (3).jpeg; Bengari\download (4).jpeg; Bengari\download.jpeg,,,,,,
237,theliya,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55368,86.75616,2,"Theliya is a village in Saptari, surrounded by farmlands and traditional homes. It reflects the Terai lifestyle, where farming and small-scale trade sustain the community",Drive from Kathmandu to Rajbiraj and continue locally to Theliya near Kanchanpur area.,210,Peaceful settlement reflecting Terai life.,NO,NO,NO,NO,NO,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,3.7,Medium (~$35–60),NO,NO,NO,NO,NO,Parijat Hotel,"56400, Kanchanrup",4.1,Low (~$10–20),Annapurna Cafe And Biryani House,"JWJ6+79F, Kanchanrup 56400",3.7,Medium (~$35–60),Mama Kitchen,"JRVW+WR5, Kanchanrup 56404",4.2,High (~$90+),Theliya Rural Agro Expo (proposed),Market Area,Spring,Agro / Trade,Farmers’ market showcasing agricultural tools and products.,Theliya\download (1).jpeg; Theliya\download (5).jpeg; Theliya\download.jpeg; Theliya\images (1).jpeg; Theliya\images.jpeg,,,,restaurant_images\theliya\Parijat Hotel\entrance.png,restaurant_images\theliya\Annapurna Cafe And Biryani House\enrtrance.png,restaurant_images\theliya\Mama Kitchen\entrance.png
238,dhodhanpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54068,86.75996,2,"Dhodhanpur is a settlement in Saptari district, known for its agricultural productivity. It is a peaceful village with strong community ties and cultural traditions.","Travel from Kathmandu to Lahan, then take local transportation to Dhodhanpur village.",180,Agricultural area with scenic surroundings.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dhodhanpur Community Festival (proposed),Village Ground,Autumn,Cultural,"Local gathering for music, sports, and cultural unity.",Dho\download (1).jpeg; Dho\download (2).jpeg; Dho\download (3).jpeg; Dho\download (5).jpeg; Dho\download.jpeg,,,,,,
239,kamalpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54118,86.74736,2,"Kamalpur is a rural settlement in the Terai, surrounded by fertile land and rivers. It is known for its farming communities and traditional practices.","Take a bus from Kathmandu to Saptari District, then continue to Kamalpur through regional roads.",165,Small but lively community village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Kamalpur Fish & Water Festival (proposed),Riverbank Area,Monsoon,Eco / Agro,Promoting fish farming and sustainable aquatic tourism.,Kamalpur\download (1).jpeg; Kamalpur\download (2).jpeg; Kamalpur\download (3).jpeg; Kamalpur\download (5).jpeg; Kamalpur\download.jpeg,,,,,,
240,nargho,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54318,86.74876,2,"Nargho is a village in Saptari district, reflecting the agricultural richness of the Terai. It is culturally diverse, with farming as the main occupation.","From Kathmandu, travel to Rajbiraj by road or flight, then drive locally to Nargho area.",260,Known for cultural diversity and simplicity.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Jay shankar misthan bhandar & Baisnab Hotel,Chhinnamasta 56400,4.3,Low (~$10–20),Narayan Mehta,"GP59+FJC, Boriya 56400",4.1,Medium (~$35–60),Nitesh hotel jhurachook,Nargho 09817,4.1,High (~$90+),Nargho Folk Heritage Mela (proposed),Village Center,Winter,Cultural,Traditional Maithili and Tharu folk showcases with crafts.,Nargho\download (1).jpeg; Nargho\download (2).jpeg; Nargho\download (3).jpeg; Nargho\download (4).jpeg; Nargho\download.jpeg,,,,restaurant_images\nargho\Jay shankar misthan bhandar & Baisnab Hotel\entrance.png,,restaurant_images\nargho\Nitesh hotel jhurachook\entrance.png
241,fakira,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54518,86.75016,2,"Fakira is a rural settlement in Saptari, surrounded by fields and forests. It reflects traditional farming lifestyles and community bonds.",Drive from Kathmandu to Saptari via Itahari and continue to Fakira village near Hanumannagar.,230,Simple and traditional farming village.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Fakira Rural Arts Day (proposed),Community Ground,Autumn,Cultural,"Promoting indigenous folk art, pottery, and songs.",Fakira\download (1).jpeg; Fakira\download (5).jpeg; Fakira\download.jpeg; Fakira\images (1).jpeg; Fakira\images.jpeg,hotel_images\fakira\Hotel Grand Ashram\entrance.jpg; hotel_images\fakira\Hotel Grand Ashram\exterior.jpg; hotel_images\fakira\Hotel Grand Ashram\room.jpg,hotel_images\fakira\Presidential Eco Hotel\entrance.jpg; hotel_images\fakira\Presidential Eco Hotel\sitting.jpg,hotel_images\fakira\Elephant Garden Hotel and Resort Pvt Ltd\entrance.jpg; hotel_images\fakira\Elephant Garden Hotel and Resort Pvt Ltd\exterior.jpg; hotel_images\fakira\Elephant Garden Hotel and Resort Pvt Ltd\room.jpg,,,
242,birpur barahi,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.75396,2,"Birpur Barahi is a culturally significant site in Saptari, known for its Barahi Temple dedicated to Goddess Barahi. It is a local pilgrimage destination, especially during festivals.",Travel by road from Kathmandu to Saptari District and continue locally to Birpur Barahi Temple.,190,Famous for Barahi temple and natural beauty.,Mithila Hotel and party palace,Kanchanrup 56400,Simple budget-friendly stay,4.2,Low (~$10–20),Shambhunath Hotel,"Rajbiraj Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Birpur Barahi Temple Mela (real),Temple Premises,March,Religious,Annual worship and cultural program around Barahi Temple.,Birpur Barahi\download (1).jpeg; Birpur Barahi\download (2).jpeg; Birpur Barahi\download (3).jpeg; Birpur Barahi\download (4).jpeg; Birpur Barahi\download.jpeg,hotel_images\birpur barahi\Mithila Hotel and party palace\entrance.jpg; hotel_images\birpur barahi\Mithila Hotel and party palace\exterior.jpg; hotel_images\birpur barahi\Mithila Hotel and party palace\room.jpg,hotel_images\birpur barahi\Shambhunath Hotel\entrance.png,,,,
243,inarwa,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54768,86.75536,2,"Inarwa is a settlement in Saptari district, serving as a local market hub. It is surrounded by fertile land and reflects the vibrant life of the Terai","From Kathmandu, take a long-distance bus to Saptari District and reach Inarwa town near the Indian border.",135,Developing town with markets and schools.,Hotel Ichchha,Siraha 44600,Affordable homestay,3.8,Low (~$10–20),Swagatam Hotel & Party palace,"Opposite of pashupati school, Lahan 56500",Comfortable mid-range stay,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Inarwa Religious Fair (proposed),Temple Complex,February,Religious / Cultural,Local devotees gather for pooja and cultural performances.,Inarwa\download (6).jpeg; Inarwa\images (1).jpeg; Inarwa\images (2).jpeg; Inarwa\images (3).jpeg; Inarwa\images.jpeg,hotel_images\inarwa\Hotel Ichchha\entrance.jpg; hotel_images\inarwa\Hotel Ichchha\exterior.jpg,hotel_images\inarwa\Swagatam Hotel & Party palace\building.jpg; hotel_images\inarwa\Swagatam Hotel & Party palace\exterior.jpg; hotel_images\inarwa\Swagatam Hotel & Party palace\room.jpg,hotel_images\inarwa\Elephant Garden Hotel and Resort Pvt Ltd\entrance.jpg; hotel_images\inarwa\Elephant Garden Hotel and Resort Pvt Ltd\exterior.jpg; hotel_images\inarwa\Elephant Garden Hotel and Resort Pvt Ltd\room.jpg,,,
244,gobargada,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54968,86.75676,2,"Gobargada is a rural settlement in Saptari, known for its farming communities. It is surrounded by agricultural fields and rivers, offering a peaceful environment",Drive from Kathmandu via Lahan and continue by local route to Gobargada village in Saptari.,170,Village rich in local culture and agriculture.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget-friendly stay,3.9,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Gobargada Folk Carnival (proposed),Village Bazaar,Winter,Cultural,"Fair highlighting Tharu dance, songs, and cuisine.",Gobargada\download (1).jpeg; Gobargada\download (2).jpeg; Gobargada\download (3).jpeg; Gobargada\download (4).jpeg; Gobargada\download (5).jpeg; Gobargada\download.jpeg,hotel_images\gobargada\Hotel Grand Ashram\entrance.jpg; hotel_images\gobargada\Hotel Grand Ashram\exterior.jpg; hotel_images\gobargada\Hotel Grand Ashram\room.jpg,hotel_images\gobargada\Presidential Eco Hotel\entrance.jpg; hotel_images\gobargada\Presidential Eco Hotel\sitting.jpg,,,,
245,barsain,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55018,86.75816,2,"Barsain is a culturally rich village in Saptari, famous for its Chhath festival celebrations. It is a spiritual hub where devotees gather to worship the Sun God at ponds and rivers.","Travel by road from Kathmandu to Rajbiraj, then continue a short distance to Barsain village.",120,Culturally rich town famous for local festivals.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Barsain Chhath Mela (real),Pond Premises,November,Religious,Thousands gather for Chhath Puja rituals at local pond.,Barsain\download (1).jpeg; Barsain\download (2).jpeg; Barsain\download (3).jpeg; Barsain\download (5).jpeg; Barsain\download.jpeg,,,,,,
246,koiladi,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.55218,86.74796,2,"Koiladi is a rural settlement in Saptari district, reflecting traditional farming practices. It is surrounded by fertile plains and forests, offering a glimpse into Terai village life","From Kathmandu, drive via Itahari to Rajbiraj and continue locally to Koiladi settlement.",240,Peaceful settlement near Koshi floodplains.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable stay,3.8,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Koiladi Eco-Cultural Fair (proposed),Village Area,Spring,Eco / Cultural,Cultural celebration with environmental awareness activities.,Koiladi\download (1).jpeg; Koiladi\download (2).jpeg; Koiladi\download (3).jpeg; Koiladi\download (4).jpeg; Koiladi\download.jpeg,hotel_images\koiladi\Hotel Grand Ashram\entrance.jpg; hotel_images\koiladi\Hotel Grand Ashram\exterior.jpg; hotel_images\koiladi\Hotel Grand Ashram\room.jpg,hotel_images\koiladi\Presidential Eco Hotel\entrance.jpg; hotel_images\koiladi\Presidential Eco Hotel\sitting.jpg,,,,
247,deehibar temple at kusha,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Photography, Pilgrimage",Easy,Accessible by road,26.55418,86.74936,2,"Deehibar Temple at Kusha is a Hindu shrine dedicated to Lord Shiva. It is a local pilgrimage site where devotees gather during festivals like Shivaratri, reflecting the spiritual traditions of the region.",Take a road trip from Kathmandu to Saptari and visit Deehibar Temple located near Kusha village.,280,Spiritual site surrounded by greenery.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly temple stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4.2,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Deehibar Religious Mela (real/proposed),Temple Area,February,Religious,Annual worship event with devotional songs and fairs.,Deehibar Temple at Kusha\download (1).jpeg; Deehibar Temple at Kusha\download (2).jpeg; Deehibar Temple at Kusha\download (3).jpeg; Deehibar Temple at Kusha\download (5).jpeg; Deehibar Temple at Kusha\download.jpeg,hotel_images\deehibar temple at kusha\Hotel Grand Ashram\entrance.jpg; hotel_images\deehibar temple at kusha\Hotel Grand Ashram\exterior.jpg; hotel_images\deehibar temple at kusha\Hotel Grand Ashram\room.jpg,hotel_images\deehibar temple at kusha\Presidential Eco Hotel\entrance.jpg; hotel_images\deehibar temple at kusha\Presidential Eco Hotel\sitting.jpg,,,,
248,dalwa park,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.53968,86.75076,2,"Dalwa Park is a community park in Saptari, serving as a recreational space for locals. It is surrounded by greenery and is often used for cultural events and gatherings.","Drive from Kathmandu to Saptari District, then proceed locally to Dalwa Park recreation area.",48,Small community park for local recreation.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dalwa Green Tourism Day (proposed),Park Premises,Spring,Eco / Tourism,Promoting local eco-tourism and picnic activities.,Dalwa Park\download (1).jpeg; Dalwa Park\download (2).jpeg; Dalwa Park\download (3).jpeg; Dalwa Park\download (4).jpeg; Dalwa Park\download.jpeg,hotel_images\dalwa park\Hotel Grand Ashram\entrance.jpg; hotel_images\dalwa park\Hotel Grand Ashram\exterior.jpg; hotel_images\dalwa park\Hotel Grand Ashram\room.jpg,hotel_images\dalwa park\Presidential Eco Hotel\entrance.jpg; hotel_images\dalwa park\Presidential Eco Hotel\sitting.jpg,,,,
249,sakarpura,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54168,86.75216,2,"Sakarpura is a rural settlement in Saptari, surrounded by fertile land. It reflects traditional farming lifestyles and community traditions.","From Kathmandu, travel to Rajbiraj by highway or flight, then continue locally to Sakarpura village.",112,Calm and charming agricultural zone.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable homestay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Sakarpura Community Festival (proposed),Open Ground,Autumn,Cultural,"Folk sports, songs, and crafts exhibition.",Sakarpura\download (1).jpeg; Sakarpura\download (2).jpeg; Sakarpura\download (3).jpeg; Sakarpura\download (5).jpeg; Sakarpura\download.jpeg,hotel_images\sakarpura\Hotel Grand Ashram\entrance.jpg; hotel_images\sakarpura\Hotel Grand Ashram\exterior.jpg; hotel_images\sakarpura\Hotel Grand Ashram\room.jpg,hotel_images\sakarpura\Presidential Eco Hotel\entrance.jpg; hotel_images\sakarpura\Presidential Eco Hotel\sitting.jpg,,,,
250,bishahariya,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54368,86.75596,2,"Bishahariya is a culturally significant site in Saptari, known for its Bishahariya Temple. It is a pilgrimage destination where devotees worship during festivals, adding to the spiritual heritage of the district.",Take a road trip from Kathmandu to Saptari and continue to Bishahariya village area.Travel again from Kathmandu to Saptari and continue to Bishahariya for route linkage.,7453,Home to Bishahari temple and local legends. Popular pilgrimage site with snake goddess temple.,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Budget-friendly stay,4,Low (~$10–20),Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury resort with scenic views,4.2,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Bishahariya Temple Mela (real),Temple Premises,August,Religious,Traditional worship of snake goddess with large local attendance.,Bishahariya\download (1).jpeg; Bishahariya\download (2).jpeg; Bishahariya\download (3).jpeg; Bishahariya\download (4).jpeg; Bishahariya\download.jpeg,hotel_images\bishahariya\Elephant Garden Hotel and Resort Pvt Ltd\entrance.jpg; hotel_images\bishahariya\Elephant Garden Hotel and Resort Pvt Ltd\exterior.jpg; hotel_images\bishahariya\Elephant Garden Hotel and Resort Pvt Ltd\room.jpg,hotel_images\bishahariya\Hotel Grand Ashram\entrance.jpg; hotel_images\bishahariya\Hotel Grand Ashram\exterior.jpg; hotel_images\bishahariya\Hotel Grand Ashram\room.jpg,hotel_images\bishahariya\Presidential Eco Hotel\entrance.jpg; hotel_images\bishahariya\Presidential Eco Hotel\sitting.jpg,,,
