destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,reataurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,reataurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,reataurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,event_name,event_venue,event_month_season,event_type,event_description
235,lohajara,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55118,86.75336,2,"Lohajara is a village in Udayapur district, known for its agricultural lifestyle and community traditions. It is surrounded by fields and rivers, offering a peaceful rural environment.","Drive from Kathmandu to Saptari via Lahan, then continue on local roads to Lohajara settlement.",340,Calm and traditional rural village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Lohajara Eco-Forest Day (proposed),Forest Edge,Spring,Eco / Environmental,Awareness event promoting reforestation and biodiversity.
236,bengari,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55168,86.75476,2,"Bengari is a rural settlement in Saptari district, located in the fertile Terai plains of eastern Nepal. It is primarily an agricultural community, with rice, wheat, and maize cultivation forming the backbone of local livelihoods.","From Kathmandu, take the East-West Highway to Saptari District, then proceed locally to Bengari village.",190,Quiet area surrounded by natural greenery.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Bengari Cultural Fair (proposed),School Ground,Winter,Cultural,Tharu and Maithil traditional performances with local food stalls.
237,theliya,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55368,86.75616,2,"Theliya is a village in Saptari, surrounded by farmlands and traditional homes. It reflects the Terai lifestyle, where farming and small-scale trade sustain the community",Drive from Kathmandu to Rajbiraj and continue locally to Theliya near Kanchanpur area.,210,Peaceful settlement reflecting Terai life.,NO,NO,NO,NO,NO,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,3.7,Medium (~$35–60),NO,NO,NO,NO,NO,Parijat Hotel,"56400, Kanchanrup",4.1,Low (~$10–20),Annapurna Cafe And Biryani House,"JWJ6+79F, Kanchanrup 56400",3.7,Medium (~$35–60),Mama Kitchen,"JRVW+WR5, Kanchanrup 56404",4.2,High (~$90+),NO,NO,NO,NO,NO,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,3.7,Medium (~$35–60),NO,NO,NO,NO,NO,Parijat Hotel,"56400, Kanchanrup",4.1,Low (~$10–20),Annapurna Cafe And Biryani House,"JWJ6+79F, Kanchanrup 56400",3.7,Medium (~$35–60),Mama Kitchen,"JRVW+WR5, Kanchanrup 56404",4.2,High (~$90+),Theliya Rural Agro Expo (proposed),Market Area,Spring,Agro / Trade,Farmers’ market showcasing agricultural tools and products.
238,dhodhanpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54068,86.75996,2,"Dhodhanpur is a settlement in Saptari district, known for its agricultural productivity. It is a peaceful village with strong community ties and cultural traditions.","Travel from Kathmandu to Lahan, then take local transportation to Dhodhanpur village.",180,Agricultural area with scenic surroundings.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dhodhanpur Community Festival (proposed),Village Ground,Autumn,Cultural,"Local gathering for music, sports, and cultural unity."
239,kamalpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54118,86.74736,2,"Kamalpur is a rural settlement in the Terai, surrounded by fertile land and rivers. It is known for its farming communities and traditional practices.","Take a bus from Kathmandu to Saptari District, then continue to Kamalpur through regional roads.",165,Small but lively community village.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Kamalpur Fish & Water Festival (proposed),Riverbank Area,Monsoon,Eco / Agro,Promoting fish farming and sustainable aquatic tourism.
240,nargho,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54318,86.74876,2,"Nargho is a village in Saptari district, reflecting the agricultural richness of the Terai. It is culturally diverse, with farming as the main occupation.","From Kathmandu, travel to Rajbiraj by road or flight, then drive locally to Nargho area.",260,Known for cultural diversity and simplicity.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Jay shankar misthan bhandar & Baisnab Hotel,Chhinnamasta 56400,4.3,Low (~$10–20),Narayan Mehta,"GP59+FJC, Boriya 56400",4.1,Medium (~$35–60),Nitesh hotel jhurachook,Nargho 09817,4.1,High (~$90+),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Jay shankar misthan bhandar & Baisnab Hotel,Chhinnamasta 56400,4.3,Low (~$10–20),Narayan Mehta,"GP59+FJC, Boriya 56400",4.1,Medium (~$35–60),Nitesh hotel jhurachook,Nargho 09817,4.1,High (~$90+),Nargho Folk Heritage Mela (proposed),Village Center,Winter,Cultural,Traditional Maithili and Tharu folk showcases with crafts.
241,fakira,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54518,86.75016,2,"Fakira is a rural settlement in Saptari, surrounded by fields and forests. It reflects traditional farming lifestyles and community bonds.",Drive from Kathmandu to Saptari via Itahari and continue to Fakira village near Hanumannagar.,230,Simple and traditional farming village.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Fakira Rural Arts Day (proposed),Community Ground,Autumn,Cultural,"Promoting indigenous folk art, pottery, and songs."
242,birpur barahi,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.75396,2,"Birpur Barahi is a culturally significant site in Saptari, known for its Barahi Temple dedicated to Goddess Barahi. It is a local pilgrimage destination, especially during festivals.",Travel by road from Kathmandu to Saptari District and continue locally to Birpur Barahi Temple.,190,Famous for Barahi temple and natural beauty.,Mithila Hotel and party palace,Kanchanrup 56400,Simple budget-friendly stay,4.2,Low (~$10–20),Shambhunath Hotel,"Rajbiraj Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Mithila Hotel and party palace,Kanchanrup 56400,Simple budget-friendly stay,4.2,Low (~$10–20),Shambhunath Hotel,"Rajbiraj Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Birpur Barahi Temple Mela (real),Temple Premises,March,Religious,Annual worship and cultural program around Barahi Temple.
243,inarwa,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54768,86.75536,2,"Inarwa is a settlement in Saptari district, serving as a local market hub. It is surrounded by fertile land and reflects the vibrant life of the Terai","From Kathmandu, take a long-distance bus to Saptari District and reach Inarwa town near the Indian border.",135,Developing town with markets and schools.,Hotel Ichchha,Siraha 44600,Affordable homestay,3.8,Low (~$10–20),Swagatam Hotel & Party palace,"Opposite of pashupati school, Lahan 56500",Comfortable mid-range stay,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Hotel Ichchha,Siraha 44600,Affordable homestay,3.8,Low (~$10–20),Swagatam Hotel & Party palace,"Opposite of pashupati school, Lahan 56500",Comfortable mid-range stay,4,Medium (~$35–60),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Luxury hillside resort,4.1,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Inarwa Religious Fair (proposed),Temple Complex,February,Religious / Cultural,Local devotees gather for pooja and cultural performances.
244,gobargada,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54968,86.75676,2,"Gobargada is a rural settlement in Saptari, known for its farming communities. It is surrounded by agricultural fields and rivers, offering a peaceful environment",Drive from Kathmandu via Lahan and continue by local route to Gobargada village in Saptari.,170,Village rich in local culture and agriculture.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget-friendly stay,3.9,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget-friendly stay,3.9,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Gobargada Folk Carnival (proposed),Village Bazaar,Winter,Cultural,"Fair highlighting Tharu dance, songs, and cuisine."
245,barsain,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55018,86.75816,2,"Barsain is a culturally rich village in Saptari, famous for its Chhath festival celebrations. It is a spiritual hub where devotees gather to worship the Sun God at ponds and rivers.","Travel by road from Kathmandu to Rajbiraj, then continue a short distance to Barsain village.",120,Culturally rich town famous for local festivals.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Barsain Chhath Mela (real),Pond Premises,November,Religious,Thousands gather for Chhath Puja rituals at local pond.
246,koiladi,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.55218,86.74796,2,"Koiladi is a rural settlement in Saptari district, reflecting traditional farming practices. It is surrounded by fertile plains and forests, offering a glimpse into Terai village life","From Kathmandu, drive via Itahari to Rajbiraj and continue locally to Koiladi settlement.",240,Peaceful settlement near Koshi floodplains.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable stay,3.8,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable stay,3.8,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Koiladi Eco-Cultural Fair (proposed),Village Area,Spring,Eco / Cultural,Cultural celebration with environmental awareness activities.
247,deehibar temple at kusha,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Photography, Pilgrimage",Easy,Accessible by road,26.55418,86.74936,2,"Deehibar Temple at Kusha is a Hindu shrine dedicated to Lord Shiva. It is a local pilgrimage site where devotees gather during festivals like Shivaratri, reflecting the spiritual traditions of the region.",Take a road trip from Kathmandu to Saptari and visit Deehibar Temple located near Kusha village.,280,Spiritual site surrounded by greenery.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly temple stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4.2,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly temple stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4.2,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Deehibar Religious Mela (real/proposed),Temple Area,February,Religious,Annual worship event with devotional songs and fairs.
248,dalwa park,saptari,Spring/Autumn,"Natural, Cultural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.53968,86.75076,2,"Dalwa Park is a community park in Saptari, serving as a recreational space for locals. It is surrounded by greenery and is often used for cultural events and gatherings.","Drive from Kathmandu to Saptari District, then proceed locally to Dalwa Park recreation area.",48,Small community park for local recreation.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Dalwa Green Tourism Day (proposed),Park Premises,Spring,Eco / Tourism,Promoting local eco-tourism and picnic activities.
249,sakarpura,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54168,86.75216,2,"Sakarpura is a rural settlement in Saptari, surrounded by fertile land. It reflects traditional farming lifestyles and community traditions.","From Kathmandu, travel to Rajbiraj by highway or flight, then continue locally to Sakarpura village.",112,Calm and charming agricultural zone.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable homestay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable homestay,4.1,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Sakarpura Community Festival (proposed),Open Ground,Autumn,Cultural,"Folk sports, songs, and crafts exhibition."
250,bishahariya,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54368,86.75596,2,"Bishahariya is a culturally significant site in Saptari, known for its Bishahariya Temple. It is a pilgrimage destination where devotees worship during festivals, adding to the spiritual heritage of the district.",Take a road trip from Kathmandu to Saptari and continue to Bishahariya village area.Travel again from Kathmandu to Saptari and continue to Bishahariya for route linkage.,7453,Home to Bishahari temple and local legends. Popular pilgrimage site with snake goddess temple.,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Budget-friendly stay,4,Low (~$10–20),Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury resort with scenic views,4.2,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Budget-friendly stay,4,Low (~$10–20),Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Comfortable mid-range rooms,4,Medium (~$35–60),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Luxury resort with scenic views,4.2,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Bishahariya Temple Mela (real),Temple Premises,August,Religious,Traditional worship of snake goddess with large local attendance.
251,deurimaruwa,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54418,86.75736,2,"Deurimaruwa is a rural settlement in Saptari, surrounded by fields and forests. It reflects the agricultural lifestyle of the Terai, with farming as the main occupation","From Kathmandu, drive to Saptari District via Lahan and continue to Deurimaruwa settlement.Again, reach Saptari via Lahan and continue locally to Deurimaruwa for route continuity.Reach Deurimaruwa again from Kathmandu for continuity in the travel circuit.",918346,Traditional rural village with scenic charm. Peaceful and green settlement. Quiet and culturally active settlement.,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Deurimaruwa Agro-Food Fair (proposed),Village Area,Spring,Agro / Cultural,Food and farm product exhibition with traditional cooking.
252,farseth,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54618,86.75876,2,"Farseth is a village in Saptari district, known for its farming communities and cultural diversity. It is surrounded by fertile plains, offering a peaceful rural environment","Travel from Kathmandu to Saptari by road, then head locally to Farseth near Kanchanpur.Drive once more via Lahan to Saptari and continue locally to Farseth.",6661,Village with beautiful paddy fields and community spirit. Friendly farming village in Saptari district.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Farseth Cultural Night (proposed),School Ground,Winter,Cultural,Youth-led cultural programs and folk shows.
253,rajbiraj,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.54868,86.74996,2,"Rajbiraj is the headquarters of Saptari district and one of the oldest planned towns in Nepal. Designed in a grid pattern, it is a bustling urban center with administrative offices, markets, temples, and cultural diversity",Take a direct flight from Kathmandu to Rajbiraj Airport or travel by road along the East-West Highway.,59,Historical city with planned layout and cultural heritage.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable budget stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,Khan's Kitchen,Rajbiraj 54600,4.3,Low (~$10–20),Laziz Pizza,"Behind Shiv Shankar, Cinema Hall Road, Rajbiraj",3.6,Medium (~$35–60),Royal Biryani,"GQQ2+V25, Rajbiraj 56400",3.8,High (~$90+),Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Affordable budget stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,Khan's Kitchen,Rajbiraj 54600,4.3,Low (~$10–20),Laziz Pizza,"Behind Shiv Shankar, Cinema Hall Road, Rajbiraj",3.6,Medium (~$35–60),Royal Biryani,"GQQ2+V25, Rajbiraj 56400",3.8,High (~$90+),Rajbiraj Mahotsav (real),Rajbiraj Bazaar,Winter,Trade / Cultural,"Major district festival with concerts, stalls, and local trade promotion."
254,didhawa,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55068,86.75136,2,"Didhawa is a rural settlement in Saptari, surrounded by fertile land and rivers. It reflects traditional farming practices and community bonds, offering a glimpse into Terai village life.","Drive from Kathmandu towards Rajbiraj, then continue by local transport to Didhawa.",44,Serene agricultural village.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,3.8,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,3.8,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Didhawa Village Cultural Fair (proposed),Village Ground,Autumn,Cultural,"Folk dances, local food, and traditional songs."
255,pakari,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55268,86.75276,2,"Pakari is a rural settlement in Siraha district, located in the fertile Terai plains. It is primarily an agricultural community, with rice and wheat cultivation forming the backbone of local livelihoods.","From Kathmandu, travel to Saptari by highway, then proceed to Pakari village.",51,Rural village known for simplicity and greenery.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Simple budget stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range stay,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Pakari Eco Awareness Day (proposed),Riverside / Village,Spring,Eco / Tourism,River clean-up and community nature activities.
256,maleth,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55318,86.75416,2,"Maleth is a culturally significant village in Saptari district. It is known for its strong community traditions and agricultural productivity, reflecting the Terai lifestyle","Take a bus from Kathmandu to Rajbiraj, then continue locally to Maleth area.",39,Historic village with cultural importance.,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Affordable stay,4.1,Low (~$10–20),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Affordable stay,4.1,Low (~$10–20),Elephant Garden Hotel and Resort Pvt Ltd,Kanchanrup-11,Comfortable mid-range rooms,4,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Maleth Agro & Handicraft Festival (proposed),Market Area,Winter,Trade / Cultural,"Promoting local handicrafts, food, and agricultural produce."
257,basbiti,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54018,86.75796,2,"Basbiti is a rural settlement surrounded by fertile fields. It represents the simple charm of Terai villages, where farming and local trade sustain the community.",Drive from Kathmandu to Saptari and continue by local roads to Basbiti.,68,Calm village with traditional Terai lifestyle.,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Hotel Grand Ashram,"Rajdevi Mandir, Infront Of Bhumisudhar Office, Road, Rajbiraj 56400",Budget-friendly stay,4,Low (~$10–20),Presidential Eco Hotel,"Near Micro Counter, Main Road, Rajbiraj 56400",Comfortable mid-range rooms,4.1,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Basbiti Folk Night (proposed),Community Ground,Autumn,Cultural,"Evening of folk music, dance, and storytelling."
