destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,events,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1.1,hotel_location_1.1,hotel_review_short_1.1,hotel_rating_approx_1.1,hotel_price_1.1,hotel_name_2.1,hotel_location_2.1,hotel_review_short_2.1,hotel_rating_approx_2.1,hotel_price_2.1,hotel_name_3.1,hotel_location_3.1,hotel_review_short_3.1,hotel_rating_approx_3.1,hotel_price_3.1,restaurant_name_1.1,reataurant_location_name_1,restaurant_rating_1.1,restaurant_price_range_1.1,restaurant_name_2.1,reataurant_location_name_2,restaurant_rating_2.1,restaurant_price_range_2.1,restaurant_name_3.1,reataurant_location_name_3,restaurant_rating_3.1,restaurant_price_range_3.1,kmeans_cluster
277,sothiyan,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55218,86.75076,2,"Sothiyan is a village in Siraha district, known for its farming communities. It is surrounded by agricultural fields and rivers, offering a peaceful environment",['Drive from Kathmandu to Lahan and continue locally to Sothiyan.'],"[{'event_name': 'Sothiyan Rural Festival (proposed)', 'venue': 'Village Square', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Local games, dances, and cultural exhibitions.'}]",33,['Sothiyan – Peaceful Terai village with traditional Madheshi lifestyle.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
278,mauwahi,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.55418,86.75216,2,"Mauwahi is a rural settlement in Siraha, reflecting the agricultural richness of the Terai. It is culturally diverse, with farming as the main occupation.","['From Kathmandu, travel to Siraha District by road, then continue to Mauwahi village.'
 'Again, follow the same route from Kathmandu to Siraha and reach Mauwahi for continuity.']","[{'event_name': 'Mauwahi Village Mela (proposed)', 'venue': 'Village Ground', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Folk dances, food stalls, and handicrafts.'}, {'event_name': 'Mauwahi Eco Trek Day (proposed)', 'venue': 'Riverside / Hill Trail', 'month___season': 'Spring', 'type': 'Eco / Adventure', 'description___source': 'Trekking, nature awareness, and local eco-tourism promotion.'}]",2531,"['Mauwahi – Calm farming village known for its greenery and simplicity.', 'Kachanari – Scenic settlement surrounded by paddy fields.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
279,kachanari,siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66211,86.2181,2,"Kachanari is a settlement in Siraha district, surrounded by fertile land. It reflects traditional farming lifestyles and community traditions.","['Drive from Kathmandu to Siraha via the East-West Highway, then continue to Kachanari village.'
 'Travel again from Kathmandu via Lahan to reach Kachanari for route continuity.']","[{'event_name': 'Kachanari Cultural Fair (proposed)', 'venue': 'Community Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk performances and handicraft exhibitions.'}, {'event_name': 'Kachanari Religious Day (proposed)', 'venue': 'Temple Premises', 'month___season': 'February', 'type': 'Religious', 'description___source': 'Temple rituals and local devotional activities.'}]",2722,"['Navarajpur – Typical Terai village reflecting rural Nepalese life.', 'Janakinagar – Agricultural area with cultural and religious value.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
280,navarajpur,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54218,86.75676,2,"Navarajpur is a rural municipality in Siraha district, comprising several villages. It is known for its agricultural productivity and cultural diversity, with strong community traditions.","['From Kathmandu, travel by road to Siraha and continue locally to Navarajpur.']","[{'event_name': 'Navarajpur Agro & Trade Mela (proposed)', 'venue': 'Market Area', 'month___season': 'Winter', 'type': 'Trade / Cultural', 'description___source': 'Promotion of local products and agricultural tools.'}]",29,"['Majhaura – Small, friendly community with cultural charm.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
281,majhaura,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54268,86.75816,2,"Majhaura is a village in Siraha, surrounded by fields and forests. It reflects traditional farming practices and community bonds, offering a glimpse into Terai life",['Drive from Kathmandu to Siraha District and proceed to Majhaura settlement.'],"[{'event_name': 'Majhaura Folk Festival (proposed)', 'venue': 'Village Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk music, dance, and traditional storytelling.'}]",45,['Khoksi – Riverside village ideal for short nature walks.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
282,janakinagar,siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66611,86.2095,2,"Janakinagar is a settlement named after Goddess Janaki (Sita), reflecting Hindu cultural heritage. It is home to temples and shrines, making it spiritually significant",['Drive from Kathmandu to Siraha District and continue locally to Janakinagar village.'],"[{'event_name': 'Janakinagar Community Mela (proposed)', 'venue': 'Village Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk dances, music, and local cuisine.'}]",21,['Tenuwapatti – Serene village with traditional Mithila homes.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Mithila Thali by Chef Santosh Shah,Ramanand Chowk,3.7,Low (~$10–20),Folsom Cafe and Restaurant,Shiva Chowk,3.7,Medium (~$35–60),Hotel Mithila Rasoi and Grill House,Janakpur,4.4,High (~$90+),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Mithila Thali by Chef Santosh Shah,Ramanand Chowk,3.7,Low (~$10–20),Folsom Cafe and Restaurant,Shiva Chowk,3.7,Medium (~$35–60),Hotel Mithila Rasoi and Grill House,Janakpur,4.4,High (~$90+),3
283,bariyarpatti,siraha,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Accessible by road,26.66811,86.2109,2,"Bariyarpatti is a culturally rich village in Siraha district, known for its diverse communities and agricultural lifestyle. It is surrounded by fertile plains and rivers.","['From Kathmandu, travel by road via the East–West Highway to Siraha District, then continue locally to Bariyarpatti village.']","[{'event_name': 'Bariyarpatti Village Festival (proposed)', 'venue': 'Village Ground', 'month___season': 'Winter', 'type': 'Cultural', 'description___source': 'Local cultural exhibition and traditional performances.'}]",26,['Gadha – Peaceful farming settlement in the lowlands.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
284,tenuwapatti,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54518,86.74796,2,"Tenuwapatti is a rural settlement in Siraha, reflecting traditional farming practices. It is surrounded by fields and forests, offering a peaceful environment",['Drive from Kathmandu to Siraha District and continue locally toward Tenuwapatti settlement.'],"[{'event_name': 'Tenuwapatti Eco Awareness Day (proposed)', 'venue': 'Riverside Area', 'month___season': 'Spring', 'type': 'Eco / Tourism', 'description___source': 'River cleaning and eco-tourism awareness event.'}]",24,['Aurahi – Rural town showcasing authentic Madhesh culture.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
285,gadha,saptari,Spring/Autumn,"Cultural, Rural",Cultural & Religious Sites,"Sightseeing, Local Walks",Easy,Mostly accessible by local roads,26.54568,86.74936,2,"Gadha is a village in Siraha district, known for its farming communities and cultural traditions. It is surrounded by fertile land and rivers.","['From Kathmandu, take a bus toward Dhanusha District via Janakpur, then continue locally to Gadha village.']","[{'event_name': 'Gadha Rural Fair (proposed)', 'venue': 'Village Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk dances, food stalls, and traditional storytelling.'}]",30,['Aurahi Minor Shrine – Small yet revered local temple.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
286,aurahi,aurahi,Oct–Feb,"Village, Culture",Village & Rural Tourism,"Village Walks, Homestay",Easy,Road accessible,26.75,86.95,2,"Aurahi is a rural municipality in Siraha district, comprising several villages. It is known for its agricultural productivity and cultural diversity, with strong community traditions.","['Travel from Kathmandu by road or flight to Janakpur, then continue locally to Aurahi village area.']","[{'event_name': 'Aurahi Religious Mela (real/proposed)', 'venue': 'Temple Premises', 'month___season': 'February', 'type': 'Religious', 'description___source': 'Devotional rituals with cultural programs.'}]",35,['Baba Haridwar Dham – Spiritual pilgrimage site inspired by Haridwar.'],Roof Top Hotel,"VQVH+J4, Gaushala 45700",Budget-friendly stay,4.2,Low (~$10–20),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Roof Top Hotel,"VQVH+J4, Gaushala 45700",Budget-friendly stay,4.2,Low (~$10–20),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,0
287,aurahi minor shrine,aurahi,Oct–Mar,Temple; Local; Offbeat,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road Accessible,26.72,85.92,2,"Aurahi Minor Shrine is a local religious site in Aurahi, dedicated to Hindu deities. It serves as a spiritual center for nearby communities, especially during festivals.","['From Kathmandu, reach Janakpur city and continue by local route to visit the small shrine located in Aurahi area.']","[{'event_name': 'Aurahi Minor Shrine Fair (proposed)', 'venue': 'Shrine Premises', 'month___season': 'Winter', 'type': 'Religious', 'description___source': 'Community gathering for prayers and folk music.'}]",20,"['Baba Taal – Small lake with a tranquil, devotional atmosphere.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,2
288,baba haridwar dham,saptari,Oct–Mar,Temple; Pilgrimage; Hindu; Cultural,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Cultural Tour,Easy,Road Accessible,26.619,86.71,2,"Baba Haridwar Dham is a Hindu pilgrimage site in Siraha, modeled after the holy city of Haridwar in India. It is a spiritual hub where devotees gather for worship and rituals.",['Travel from Kathmandu to Sarlahi District by road and continue locally to visit Baba Haridwar Dham temple.'],"[{'event_name': 'Baba Haridwar Dham Religious Fair (real/proposed)', 'venue': 'Temple Premises', 'month___season': 'February', 'type': 'Religious', 'description___source': 'Pilgrimage event with devotional songs and rituals.'}]",39,['Barhathwa Heritage Street – Historic street with cultural architecture.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,2
289,baba taal,saptari,Oct–Mar,Lake; Pilgrimage; Nature,Natural Attractions,Boating; Birdwatching; Photography,Easy,Road Accessible,26.6333,86.75,2,"Baba Taal is a sacred pond in Siraha district, associated with local legends and religious rituals. It is visited by devotees during festivals and serves as a peaceful natural site.","['From Kathmandu, drive toward Sarlahi or Rautahat District and continue locally to reach Baba Taal lake area.']","[{'event_name': 'Baba Taal Eco & Cultural Day (proposed)', 'venue': 'Taal / Lake Area', 'month___season': 'Spring', 'type': 'Eco / Cultural', 'description___source': 'Local fair promoting eco-tourism and cultural performances.'}]",23,['Bharat Lake – Beautiful artificial lake and recreation spot.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,2
290,barhathwa heritage street,sarlahi,Oct–Mar,Historical; Heritage; Local Culture,Cultural & Religious Sites,Sightseeing; Photography; Local Exploration; Cultural Tour,Easy,Road Accessible,26.923,85.536,2,"Barhathwa Heritage Street is a culturally significant area in Siraha, known for its traditional houses, temples, and community spaces. It reflects the historical and cultural richness of the Terai region.


",['Take a road trip from Kathmandu to Sarlahi District via Lalbandi and continue to Barhathwa town to explore its heritage streets.'],"[{'event_name': 'Barhathwa Heritage Street Festival (proposed)', 'venue': 'Street / Bazaar', 'month___season': 'Winter', 'type': 'Cultural / Trade', 'description___source': 'Celebration of local heritage, traditional crafts, and street performances.'}]",32,['Birgunj Heritage Sites – Blend of trade history and cultural heritage.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Royal Garden Restaurant & Bar,Barahathawa,4,Low (~$10–20),Hotel Annapurna,Barahathawa Bus Station,4,Medium (~$35–60),Green Valley Restaurants,Murtiya,4,High (~$90+),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Royal Garden Restaurant & Bar,Barahathawa,4,Low (~$10–20),Hotel Annapurna,Barahathawa Bus Station,4,Medium (~$35–60),Green Valley Restaurants,Murtiya,4,High (~$90+),3
291,bharat lake,sarlahi,All year,"Lake, Nature",Natural Attractions,"Boating, Picnicking",Easy,Road,27.0333,85.55,2,"Bharat Lake, located in Sarlahi district, is one of Nepal’s largest man-made lakes. It is a popular destination for boating, picnics, and local tourism, surrounded by greenery and offering a peaceful environment for visitors","['From Kathmandu, drive toward Sarlahi District and continue to reach Bharat Lake, a popular freshwater destination.'
 'From Kathmandu, proceed along the East–West Highway to Sarlahi District and visit Bharat Lake near Madhesh Province.']","[{'event_name': 'Bharat Lake Eco & Cultural Day (proposed)', 'venue': 'Lake Premises', 'month___season': 'Spring', 'type': 'Eco / Cultural', 'description___source': 'Environmental awareness and local cultural performances around the lake.'}, {'event_name': 'Bharat Lake Eco & Cultural Day', 'venue': 'Lake Premises', 'month___season': 'Spring', 'type': 'Eco / Cultural', 'description___source': 'Nature conservation awareness combined with cultural programs.'}]",28600,"['Chhath Ghat (Sunsari) – Sacred riverside area for Chhath Puja rituals.', 'Bharat Lake – Beautiful artificial lake and popular recreation area.']",Gautam Hotel Chapur,Chandrapur 00977,Affordable stay,4.1,Low (~$10–20),Hotel Aarohi,"49F3+F84, Mahendra Hwy, Chandrapur 44515",Comfortable mid-range stay,3.8,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,Gautam Hotel Chapur,Chandrapur 00977,Affordable stay,4.1,Low (~$10–20),Hotel Aarohi,"49F3+F84, Mahendra Hwy, Chandrapur 44515",Comfortable mid-range stay,3.8,Medium (~$35–60),NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,1
292,birgunj heritage sites,parsa,Oct–Mar,Historical; Heritage; Architecture; Cultural,Cultural & Religious Sites,Cultural Tour; Photography; Historical Exploration,Easy,Road Accessible,27,84.8667,2,"Birgunj, a major trade city in Parsa district, is rich in cultural and historical landmarks. Heritage sites include old temples, traditional marketplaces, and colonial-era structures that reflect the city’s importance as a gateway to India","['Travel from Kathmandu to Birgunj city by road or flight and explore the local heritage sites within the city area.'
 'From Kathmandu, travel south through Hetauda to reach Birgunj city, where heritage temples, old streets, and local bazaars can be explored.']","[{'event_name': 'Birgunj Heritage Walk & Festival (proposed)', 'venue': 'Heritage Sites', 'month___season': 'Winter', 'type': 'Cultural / Tourism', 'description___source': 'Guided heritage walk, traditional music, and local food stalls.'}, {'event_name': 'Birgunj Heritage Walk & Cultural Day', 'venue': 'Heritage Sites', 'month___season': 'Winter', 'type': 'Cultural / Tourism', 'description___source': 'Heritage walk with folk performances and artisan stalls.'}]",119700,"['Chhinnamasta Riverbank Areas – Holy riverside landscapes for pilgrims.', 'Birgunj Heritage Sites – Blend of trade history and cultural monuments in Parsa.']",Annapurna Hotel Nepal,"Ganesh Man Chowk, Birgunj 44300",Budget-friendly stay,3.7,Low (~$10–20),Diyalo Lords Plaza,"2V6F+MFW, Adarsh Nagar,Opposite Rastriya Banijya Bank Building, Birgunj 44300",Comfortable mid-range rooms,4.1,Medium (~$35–60),Hotel Everest,"2VCH+FMM, Link Rd, Birgunj 44300",Luxury hillside resort,4,High (~$90+),Infinity Lounge,"Ghantaghr, !st floor Pashupati Market",3.7,Low (~$10–20),Malt,"3rd floor, Adarshnagar Chowk, Rungta Mall",4.1,Medium (~$35–60),Magic Bells,Geeta Mandir Road,4,High (~$90+),Annapurna Hotel Nepal,"Ganesh Man Chowk, Birgunj 44300",Budget-friendly stay,3.7,Low (~$10–20),Diyalo Lords Plaza,"2V6F+MFW, Adarsh Nagar,Opposite Rastriya Banijya Bank Building, Birgunj 44300",Comfortable mid-range rooms,4.1,Medium (~$35–60),Hotel Everest,"2VCH+FMM, Link Rd, Birgunj 44300",Luxury hillside resort,4,High (~$90+),Infinity Lounge,"Ghantaghr, !st floor Pashupati Market",3.7,Low (~$10–20),Malt,"3rd floor, Adarshnagar Chowk, Rungta Mall",4.1,Medium (~$35–60),Magic Bells,Geeta Mandir Road,4,High (~$90+),3
293,chhath ghat (sunsari),sunsari,Oct–Nov,Religious; River; Festival; Cultural,Natural Attractions,Festival Celebration; Worship; Photography; Local Culture,Easy,Road Accessible,26.675,87.01,2,"Chhath Ghat in Sunsari is a sacred riverbank where devotees gather during the Chhath festival to worship the Sun God. It becomes vibrant with rituals, offerings, and cultural celebrations, reflecting Terai traditions",['Drive from Kathmandu toward Sunsari District via Itahari and continue locally to the riverbanks used for Chhath celebrations.'],"[{'event_name': 'Sunsari Chhath Puja Mela (real)', 'venue': 'River Ghat', 'month___season': 'October', 'type': 'Religious', 'description___source': 'Annual Chhath celebration with prayers, rituals, and folk music.'}]",54,['Chhinnamasta Temple – Renowned Hindu temple dedicated to Goddess Chhinnamasta.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Foodshala Restaurant,Itahari,4.2,Low (~$10–20),Bardali Restro,Itahari,3.9,Medium (~$35–60),The boat restaurant,"Labipur, Itahari-7",3.7,High (~$90+),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Foodshala Restaurant,Itahari,4.2,Low (~$10–20),Bardali Restro,Itahari,3.9,Medium (~$35–60),The boat restaurant,"Labipur, Itahari-7",3.7,High (~$90+),3
294,chhinnamasta riverbank areas,saptari,Oct–Mar,River; Nature; Scenic,Natural Attractions,Sightseeing; Photography; Birdwatching; Picnic,Easy,Road Accessible,26.615,86.72,2,"The riverbanks near Chhinnamasta in Saptari are culturally significant, serving as gathering places during festivals and rituals. They are also scenic spots where locals engage in daily activities like fishing and farming","['From Kathmandu, travel to Saptari District and continue to the riverbanks near Chhinnamasta for scenic views.'
 'From Kathmandu, travel southeast to Saptari District via Bardibas and Rajbiraj to explore the riverbanks near Chhinnamasta Temple.']","[{'event_name': 'Chhinnamasta Eco & Devotional Fair (proposed)', 'venue': 'Riverbank Area', 'month___season': 'Monsoon', 'type': 'Religious / Eco', 'description___source': 'Rituals and river cleaning awareness event.'}, {'event_name': 'Chhinnamasta Riverbank Mela', 'venue': 'Riverbank', 'month___season': 'Monsoon', 'type': 'Religious / Eco', 'description___source': 'Rituals along riverbank combined with environmental awareness.'}]",141250,"['Chhireshwor Temple – Popular Shiva temple surrounded by local markets.', 'Chhinnamasta Riverbank Areas – Sacred riverside zones used for rituals and Chhath celebrations.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,3
295,chhinnamasta temple,saptari,Oct–Apr,"Religious, Spiritual",Cultural & Religious Sites,"Pilgrimage, Festivals",Easy,Road Accessible,26.6098,86.7485,2,"Chhinnamasta Temple in Saptari is dedicated to Goddess Chhinnamasta, a fierce form of Shakti. It is one of the most important pilgrimage sites in eastern Terai, attracting devotees from Nepal and India.","['From Kathmandu, take the East–West Highway to Saptari District and visit the famous Chhinnamasta Temple.']","[{'event_name': 'Chhinnamasta Temple Mela (real)', 'venue': 'Temple Premises', 'month___season': 'November', 'type': 'Religious', 'description___source': 'Pilgrimage fair with devotional songs, rituals, and local stalls.'}]",66,['Chitwan–Parsa Elephant Corridor – Vital wildlife route connecting national parks.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,2
296,chhireshwor temple,saptari,Oct–Mar,Temple; Pilgrimage; Hindu,Cultural & Religious Sites,Worship; Pilgrimage; Photography; Local Festival,Easy,Road Accessible,26.612,86.725,2,"Chhireshwor Temple in Dhanusha district is a Hindu shrine dedicated to Lord Shiva. It is a local pilgrimage site, especially crowded during Maha Shivaratri, reflecting the spiritual traditions of the region.","['Drive from Kathmandu to Dhanusha District via Janakpur, then continue locally to Chhireshwor Temple.']","[{'event_name': 'Chhireshwor Religious Fair (proposed)', 'venue': 'Temple Premises', 'month___season': 'February', 'type': 'Religious', 'description___source': 'Worship and devotional music performances.'}]",48,['Chure Hills (Eastern Belt) – Biodiverse foothills offering scenic trails.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,2
297,chitwan–parsa elephant corridor,parsa,Nov–Feb,"Wildlife, Conservation",Wildlife & Conservation,"Eco-tourism, Wildlife Photography",Moderate,Road + Jungle Routes,27.36,84.69,2,"The Chitwan–Parsa Elephant Corridor is a vital wildlife passage connecting Chitwan National Park and Parsa Wildlife Reserve. It allows elephants and other species to migrate safely, supporting biodiversity and conservation efforts","['From Kathmandu, drive or fly to Bharatpur, then continue toward Parsa National Park to visit the elephant corridor area.']","[{'event_name': 'Elephant Corridor Eco Festival (proposed)', 'venue': 'Corridor Area', 'month___season': 'Spring', 'type': 'Eco / Conservation', 'description___source': 'Awareness and eco-tourism promotion along the elephant corridor.'}]",127,['Famous religious site linked to Ramayana.'],Jungle Safari Resort,"Sauraha, Ratnanagar 44200, Main Road Sauraha, Chitwan Nepal 44200",Budget-friendly stay,4.1,Low (~$10–20),Gairibari Resort,Ratnanagar 44200,Comfortable mid-range rooms,4.2,Medium (~$35–60),Travellers Jungle Camp,"Ra.Na.Pa-6, Ratnanagar 44200",Luxury wildlife resort,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,Jungle Safari Resort,"Sauraha, Ratnanagar 44200, Main Road Sauraha, Chitwan Nepal 44200",Budget-friendly stay,4.1,Low (~$10–20),Gairibari Resort,Ratnanagar 44200,Comfortable mid-range rooms,4.2,Medium (~$35–60),Travellers Jungle Camp,"Ra.Na.Pa-6, Ratnanagar 44200",Luxury wildlife resort,4,High (~$90+),No,No,No,No,No,No,No,No,No,No,No,No,3
298,chure hills (eastern belt),sarlahi / rautahat,Oct–Mar,"Nature, Hiking",Natural Attractions,"Short Hikes, Photography",Moderate,Road + Trekking,27.1,85,2,"The Chure Hills stretch across Nepal’s midlands, forming a natural barrier between the Terai and hill regions. The eastern belt is rich in forests, rivers, and biodiversity, playing a crucial role in water conservation and ecology.","['Travel from Kathmandu through Hetauda and continue along the Chure range region in the eastern belt.'
 'From Kathmandu, travel through Hetauda and Lalbandi towards the eastern section of the Chure range for hill views.']","[{'event_name': 'Chure Hills Trekking & Eco Day (proposed)', 'venue': 'Hill Area', 'month___season': 'Spring', 'type': 'Adventure / Eco', 'description___source': 'Trekking, photography, and conservation awareness program.'}, {'event_name': 'Chure Hills Eco & Trek Day', 'venue': 'Hill Area', 'month___season': 'Spring', 'type': 'Adventure / Eco', 'description___source': 'Trekking, photography, and conservation awareness program.'}]",59123,"['Cultural street filled with local life and traditions.', 'Chure Hills (Eastern Belt) – Foothill zone rich in forests and scenic drives.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,1
