destination,clean_text,spring,summer,autumn,winter,cluster
triveni dham,pilgrimage site religious tourism river confluence hindu temple natural attraction holy bathing temple visit religious fair boating sightseeing sacred hindu pilgrimage site confluence three river triveni dham revered spiritual significance pilgrim gather ritual fair making vibrant center devotion culture,1,0,1,0,1
thamserku viewpoint,mountain trekking viewpoint natural attraction trekking photography mountain viewing viewpoint offer breathtaking vista thamserku peak striking mountain everest region favorite stop trekker providing chance admire grandeur himalaya,1,0,1,0,1
taplejung micro temple,temple local offbeat cultural religious site worship photography short walk small culturally important shrine taplejung temple reflects local tradition spiritual devotion despite size hold deep meaning community,1,0,1,0,1
hile tiny viewpoint,viewpoint nature offbeat natural attraction photography short walk nature observation modest lookout near hile viewpoint reward visitor sweeping view surrounding hill valley perfect quiet moment reflection,1,0,1,0,1
sankhuwasabha micro waterfall,waterfall nature offbeat natural attraction photography short trek nature walk hidden rural landscape sankhuwasabha small waterfall add charm serenity region offering peaceful stop traveler,1,0,1,0,1
kanchenjunga base camp viewpoint,viewpoint mountain scenic natural attraction photography trekking camping vantage point trekker admire kanchenjunga world mountain viewpoint offer panorama snow peak rugged terrain,1,0,1,0,1
ilaka bazaar homestays,village cultural offbeat cultural religious site homestay photography tea garden visit ilaka bazaar homestays provide authentic hospitality allowing visitor experience local life cuisine tradition firsthand staying family offer cultural immersion genuine warmth,1,0,1,0,1
thulung dudhkoshi trek,trekking sherpa village nature natural attraction trekking village exploration camping photography trek follows dudhkoshi river thulung village blending himalayan scenery rich cultural tradition traveler encounter terraced field suspension bridge warm hospitality making scenic cultural journey,1,0,1,0,1
himalayan hot springs,hot spring nature relaxation natural attraction relaxation photography nature walk nestled remote valley natural hot spring provide soothing retreat trekker surrounded mountain believed healing property offer relaxation long day hiking,1,0,1,0,1
makalu viewpoint,mountain trekking viewpoint trekking adventure trekking photography camping vantage spot admire mount makalu peak world viewpoint offer sweeping panorama rugged ridge glacier valley making highlight adventurer region,1,0,1,0,1
sabhapokhari,rural mountain municipality natural pond pokhari scenic view religious spiritual significance local community culture mountain landscape natural attraction visiting pond sightseeing nature walk local culture community interaction observing mountain valley landscape possibly pilgrimage local religious site sacred lake sankhuwasabha sabhapokhari surrounded alpine meadow revered local spiritual significance pilgrim visit festival trekker enjoy serene beauty,1,0,1,0,1
"rhododendron trail (tinjure, milke, jaljale)",trekking rhododendron nature natural attraction trekking rhododendron viewing photography famous nepal national flower trail burst color spring rhododendron bloom stretching across ridge forest paradise nature lover photographer,1,0,0,0,1
local mountain viewpoints (tehrathum/panchthar),viewpoint mountain nature natural attraction photography sightseeing short hike viewpoint offer stunning vista snow peak rolling hill terraced landscape showcase grandeur eastern nepal himalayan backdrop remaining accessible local community,1,0,1,0,1
bantawa village,cultural village limbu cultural religious site cultural tour local experience photography traditional bantawa rai settlement known cultural heritage folk song warm hospitality visitor experience authentic village life learn rai custom tradition,1,0,1,0,1
seasonal waterfalls (ilam taplejung),waterfall nature scenic natural attraction sightseeing photography picnic monsoon countless waterfall cascade hill ilam taplejung turning landscape dramatic display natural beauty seasonal flow add charm lush terrain,1,0,0,0,1
himalayan viewpoint,mountain trekking trekking adventure trekking photography local culture exploration scattered across eastern nepal himalayan viewpoint provide breathtaking panorama everest makalu kanchenjunga peak perfect spot sunrise sunset photography,1,0,1,0,1
phakumba,rural community mountain hamlet indigenous culture rai ethnic majority moderate elevation scenic landscape agriculture locale natural attraction nature walk cultural immersion visiting rai community exploring scenery possibly trekking route nearby hill bird natural observation local agriculture life observation remote village taplejung district phakumba known cultural richness proximity trekking route offer glimpse traditional lifestyle amidst stunning mountain scenery,1,0,1,0,1
biratnagar,city cultural cultural religious site sightseeing one nepal largest city biratnagar bustling industrial hub gateway eastern nepal blend modern commerce cultural vibrancy serving starting point many journey hill,0,0,1,1,5
taplejung,scenic trekking trekking adventure sightseeing trekking mountainous district far eastern nepal taplejung home kanchenjunga rich cultural diversity village monastery trekking route make destination adventure heritage,0,0,1,0,3
ilam,tea garden scenic natural attraction tea tour walking famous tea garden ilam hill district rolling green landscape misty morning cultural charm peaceful retreat visitor enjoy tea tasting village walk panoramic view,0,0,1,0,3
dhankuta,scenic culture natural attraction village walk sightseeing hill town eastern nepal dhankuta known cool climate lively bazaar cultural diversity serf gateway scenic trekking route offer panoramic view surrounding hill valley,0,0,1,1,5
sankhuwasabha,mountain trekking trekking adventure trekking photography home national park sankhuwasabha district dramatic landscape ranging subtropical forest snow peak rich biodiversity culture sacred lake traditional village dotting terrain,0,0,1,0,3
ilaka bazaar & homestays (bhojpur),cultural rural scenic natural attraction cultural tour homestays photography ilaka bazaar bustling market town bhojpur homestays provide authentic hospitality staying local family allows visitor experience traditional cuisine custom everyday life rural nepal,1,0,0,0,1
khoping pokhari,rhododendron ridge alpine pond scenic viewpoint pond local significance nature tourism natural attraction hiking photography himalaya view reflection pond bird nature watching local cultural visit serene lake surrounded hill forest khoping pokhari peaceful retreat pilgrim trekker alike calm water natural setting make hidden gem,1,0,1,0,1
himalayan hot springs (taplejung sankhuwasabha),nature adventure wellness natural attraction hot spring trekking photography natural hot spring tucked remote valley popular among trekker relaxation healing surrounded himalayan scenery provide soothing break rugged trail,1,0,0,0,1
jhyau pokhari,alpine pond scenic viewpoint rural mountain nature tourism natural attraction nature walk photography bird watching local culture visit small picturesque pond jhyau pokhari valued tranquil setting local significance often visited villager traveler seeking quiet reflection,1,0,1,0,1
nundhaki,mountain village rural community scenic landscape nature tourism natural attraction hiking nature walk cultural visit photography traditional settlement sankhuwasabha nundhaki known cultural heritage scenic surroundings offer glimpse rural life harmony people nature,1,0,1,0,1
mawadin,village trekking base nature natural attraction hiking cultural exploration village area cultural richness mawadin reflects tradition eastern nepal community landscape hospitality make welcoming stop traveler,1,0,1,0,1
dudh koshi river (solukhumbu),river adventure nature natural attraction rafting fishing photography flowing everest region dudh koshi milk river famed milky white water fed himalayan glacier trekker cross suspension bridge en route everest base camp making iconic nepal trekking culture,1,1,0,0,1
namobuddha monastery (bhojpurkhotang),spiritual culture history cultural religious site meditation cultural tour photography,0,0,1,0,3
bantawa village (dhankuta),cultural rural scenic natural attraction cultural tour photography village walk traditional bantawa rai settlement village showcase rai culture folk song dance warm hospitality visitor immerse authentic rural life custom,1,0,0,0,1
sherpa villages (solukhumbu),cultural trekking heritage trekking adventure cultural tour trekking photography scattered across everest region sherpa village renowned hospitality monastery mountaineering heritage form cultural heart khumbu blending buddhist tradition himalayan resilience,1,0,0,0,1
limbu villages (panchthar–taplejung),cultural rural scenic natural attraction cultural tour photography village walk village highlight rich tradition limbu people including unique architecture festival local delicacy like tongba millet beer cultural treasure eastern nepal,1,0,0,0,1
tempu–helambu trek (sindhupalchok/solukhumbu border),trekking nature culture trekking adventure trekking cultural tour photography trek traverse diverse landscape lush valley high ridge connecting sindhupalchok solukhumbu offer cultural encounter sherpa tamang community alongside stunning himalayan view,1,0,0,0,1
"dantakali temple (sunsari, dharan)",spiritual culture history cultural religious site temple visit photography cultural tour located bijayapur hill dharan dantakali temple revered shakti peeth devotee believe sati devi tooth fell one important temple eastern nepal drawing thousand pilgrim dashain navaratri festival,0,0,1,0,3
hile (dhankuta),nature scenic village natural attraction photography village walk nature walk hile picturesque hill town situated meter north dhankuta bazaar historically served trade hub tibet india today known cool climate scenic view traditional drink tongba,1,0,0,0,1
ethnic villages (sankhuwasabha/bhojpur),village cultural homestay cultural religious site cultural tour homestay experience local food village sankhuwasabha bhojpur home rai limbu kirati community village preserve rich tradition including festival like ubhauli udhauli showcase unique dance music ritual reflect heritage,1,0,1,0,1
gokyo lakes,lake trekking high altitude trekking adventure trekking photography high altitude exploration camping situated sagarmatha national park gokyo lake form world highest freshwater lake system altitude meter turquoise glacial lake including thonak cho offer breathtaking view everest cho oyu makalu recognized ramsar site,1,0,1,0,1
namche bazaar,sherpa culture trekking hub market trekking adventure trekking hub sherpa culture tour shopping photography namche bazaar meter bustling sherpa capital solukhumbu serf gateway everest trek famous layout yak cheese tibetan artifact vibrant sherpa culture,1,0,1,0,1
kanyam tea garden,tea garden hill station natural attraction sightseeing photography known queen eastern nepal kanyam tea garden lush expanse rolling tea estate popular picnic honeymoon destination view tower overlooking scenic tea hill tea produced exported worldwide,0,0,0,0,4
sherpa villages,cultural village sherpa cultural religious site trekking cultural tour photography sherpa village solukhumbu characterized stone house monastery prayer flag yak pasture sherpa people renowned mountaineering skill buddhist tradition making village culturally rich spiritually significant,1,0,1,0,1
sangu,village nature trekking natural attraction hiking cultural exploration sangu rural settlement taplejung district representing himalayan lifestyle eastern nepal home diverse community offer insight traditional farming local culture remote hill,1,0,1,0,1
dudh koshi river rafting,adventure river water sport natural attraction rafting adventure sport originating everest glacier dudh koshi river known river offer thrilling rafting experience rapid like roller coaster alongside scenic view sherpa village terraced field,0,0,1,0,3
antu danda,sunrise viewpoint hill tea garden natural attraction sunrise viewing photography tea garden tour homestay antu danda meter famous sunrise viewpoint ilam visitor enjoy panoramic view kanchenjunga darjeeling hill surrounded tea garden homestays highlight lepcha culture,1,0,1,1,1
maipokhari,wetland pilgrimage nature natural attraction pilgrimage birdwatching nature walk meditation maipokhari ramsar wetland site recognized emerald pond sacred hindu buddhist surrounded lush forest also feature botanical garden orchid rock garden,1,0,1,0,1
kanchenjunga conservation area,mountain trekking conservation adventure trekking adventure trekking wildlife viewing camping photography established kanchenjunga conservation area span sq km taplejung includes mt kanchenjunga world peak rich biodiversity area envisioned part peace park tibet india,1,0,1,0,1
sandakpur,viewpoint trekking sunrise trekking adventure trekking sunrise viewing photography camping sandakpur meter highest peak ilam district offer panoramic view everest kanchenjunga makalu lhotse located along singalila ridge border india darjeeling region,1,0,1,1,1
"tmj ridge (tinjure, milke, jaljale)",trekking rhododendron hill trekking adventure trekking rhododendron viewing camping photography tmj ridge known nepal rhododendron capital hosting country rhododendron specie spanning sq km across terhathum sankhuwasabha taplejung paradise nature lover,1,0,0,0,1
halesi mahadev temple,pilgrimage cave hindu buddhist natural attraction pilgrimage cave exploration worship cultural experience halesi mahadev temple located cave revered hindu buddhist kiratis known pashupatinath east linked lord shiva padmasambhava cave entrance shaped like,1,0,1,0,1
dharan (budhasubba & pindeshwor),city pilgrimage culture cultural religious site pilgrimage city tour cultural event food exploration budhasubba temple dharan believed tomb last limbu king famous fulfilling wish pindeshwor temple dedicated lord shiva especially crowded maha shivaratri making dharan spiritual hub,1,0,1,0,1
pathibhara devi temple,pilgrimage temple hiking cultural religious site pilgrimage hiking worship cultural experience pathibhara devi temple meter major shakti peeth pilgrim believe wish fulfilled animal sacrifice common sacred hindu limbus attracting visitor across nepal india,1,0,1,0,1
barahachhetra,pilgrimage temple river confluence natural attraction pilgrimage religious ritual river bathing cultural event barahachhetra located confluence koshi koka river sunsari district one nepal sacred hindu pilgrimage site believed place lord vishnu took form baraha boar rescue earth making major destination festival like maghe sankranti,0,0,0,1,5
ilaka bazaar & village homestays,village cultural tea garden cultural religious site cultural tour homestay experience tea garden visit photography ilaka bazaar lively market hub eastern hill surrounded traditional village area increasingly popular village homestays visitor experience authentic kirati rai lifestyle local cuisine cultural hospitality,1,0,1,0,1
gorja,village nature trekking natural attraction hiking cultural exploration gorja rural settlement known serene environment traditional farming practice reflects simple himalayan lifestyle offer scenic view terraced field surrounding hill,1,0,1,0,1
chhankhola waterfall,waterfall nature scenic spot natural attraction hiking sightseeing chhankhola waterfall hidden gem eastern hill cascading beautifully amidst lush greenery popular spot short hike picnic offering refreshing natural scenery cool water,1,0,1,0,1
mehele,village nature trekking trekking adventure hiking cultural exploration mehele traditional village eastern region home kirati community known cultural heritage festival agricultural practice sustain local population,1,0,1,0,1
okhre,village nature trekking trekking adventure hiking sightseeing waterfall okhre hillside settlement panoramic view valley mountain often visited peaceful environment traditional village culture,1,0,1,0,1
gairi pangma,village nature trekking trekking adventure hiking cultural exploration gairi pangma limbu village sankhuwasabha district rich yakthung limbu tradition known cultural dance ritual warm hospitality,1,0,1,0,1
nesum,village nature trekking natural attraction hiking cultural exploration nesum rural village settlement taplejung district reflecting traditional himalayan lifestyle surrounded terraced field forest making peaceful retreat,1,0,1,0,1
change hiti,village nature trekking natural attraction hiking sightseeing cultural exploration change hiti historic stone water spout representing traditional nepali architecture community water system hiti structure culturally significant provided drinking water century,1,0,1,0,1
banjhogara,offbeat nature rural natural attraction village walk cultural immersion photography banjhogara small settlement eastern hill known agricultural field traditional home reflects rural charm nepal hill community,1,0,1,0,1
panchami danda,offbeat nature rural natural attraction hilltop walk photography cultural immersion panchami danda hilltop viewpoint offering panoramic view surrounding valley mountain often visited festival local gathering,1,0,1,0,1
yakthung civilization,indigenous kirat limbu yakthung mundhum village rural tourism limbu language mundhum scripture sirijunga script yuma sammang worship thibong yakthung kipat land system yakthung civilization refers limbu people rich cultural heritage eastern nepal known mundhum oral scripture traditional dance ritual yakthung community preserved identity century,1,0,1,0,1
santhakra,rural nature limbu natural attraction village walk cultural immersion photography santhakra rural settlement eastern hill reflecting traditional farming kirati culture surrounded scenic landscape forest,1,0,1,0,1
gurase pokhari,offbeat nature limbu natural attraction trekking photography cultural immersion gurase pokhari beautiful pond located terhathum district surrounded rhododendron forest popular trekking stop offer tranquil natural scenery,1,0,1,0,1
lingtep,limbu culture nature natural attraction trekking cultural immersion photography lingtep village terhathum district known cultural diversity agricultural practice peaceful settlement scenic view hill valley,1,0,1,0,1
thukima,limbu culture nature natural attraction trekking cultural immersion photography thukima rural village taplejung district reflecting traditional himalayan lifestyle surrounded terraced field forest offering glimpse local culture,1,0,1,0,1
kipa chyoling gumba,buddhist monastery cultural cultural religious site pilgrimage photography cultural study kipa chyoling gumba buddhist monastery eastern nepal serving spiritual center local community reflects tibetan buddhist architecture practice,1,0,1,0,1
nalbu,rural limbu nature natural attraction village walk cultural immersion photography nalbu rural settlement taplejung district surrounded hill forest represents traditional himalayan village life agriculture,1,0,1,0,1
tapethok,limbu culture nature natural attraction trekking cultural immersion photography tapethok village taplejung district serving gateway kanchenjunga trekking route known cultural diversity scenic landscape,1,0,1,0,1
yamfudin,limbu sherpa rai trekking nature natural attraction kanchenjunga circuit trek cultural immersion photography yamfudin remote village taplejung often visited trekker heading towards kanchenjunga surrounded forest river offering peaceful retreat,1,0,1,0,1
lelep,limbu sherpa rai trekking nature natural attraction kanchenjunga circuit trek cultural immersion photography lelep village taplejung district serving entry point kanchenjunga conservation area known cultural richness natural beauty,1,0,1,0,1
kumbhakarna,mountain trekking nature natural attraction trekking mountaineering photography kumbhakarna also known jannu majestic peak kanchenjunga region standing meter revered local admired climber dramatic shape spiritual significance,1,0,1,0,1
ekamba,urban agriculture village rural tourism urban exploration agriculture local culture ekamba settlement sunsari district known agricultural field traditional village life reflects rural charm eastern nepal farming community sustaining rice maize cultivation,0,0,0,0,0
bhurkee,urban agriculture village rural tourism urban exploration agriculture local culture bhurkee small village eastern hill surrounded terraced field forest representative kirati lifestyle traditional practice community bond remain strong,0,0,0,0,0
bahuni,mountain trekking nature natural attraction trekking mountaineering photography bahuni lie morang district culturally diverse settlement known fertile land farming practice community engaged agriculture local trade,1,0,1,0,1
keroun,rural agriculture village rural tourism rural exploration agriculture local culture keroun rural settlement morang district famous agricultural productivity hub local farmer reflects traditional eastern terai lifestyle,0,0,0,0,0
daulatpur,mountain trekking nature natural attraction trekking mountaineering photography daulatpur village sunsari district known farming community cultural diversity surrounded fertile plain serf local trading center,1,0,1,0,1
dalelee bazaar,rural agriculture village rural tourism rural exploration agriculture local culture dalelee bazaar lively market hub eastern hill villager gather trade social interaction cultural meeting point offering local good traditional food,0,0,0,0,4
maharaaj thaan,rural agriculture village rural tourism rural exploration local culture agriculture maharaaj thaan sacred religious site sunsari district revered local place worship pilgrimage often visited festival ritual,0,0,0,0,0
dohamna bazaar,rural market agriculture village rural tourism local trade rural exploration agriculture dohamna bazaar traditional market town eastern hill serving hub trade cultural exchange known vibrant atmosphere local produce,0,0,0,0,4
hoklabari,rural agriculture village rural tourism rural exploration local culture agriculture hoklabari rural settlement sunsari district surrounded fertile plain primarily agricultural community rice wheat major crop,0,0,0,0,0
koshi tappu wetland (extension into province 2),wetland wildlife nature birdwatching natural attraction birdwatching photography nature walk safari koshi tappu wetland ramsar site nepal largest bird sanctuary extending province home rare specie like wild water buffalo arna bird specie making paradise birdwatchers,1,0,1,0,1
jholunge pul chisang,suspension bridge rural scenic natural attraction trekking sightseeing photography jholunge pul chisang suspension bridge crossing koshi river functional crossing scenic spot offering view river surrounding landscape,0,0,0,0,4
dipu chowk (shiva mandir),religious temple cultural cultural religious site pilgrimage worship photography dipu chowk bustling junction sunsari notable shiva mandir temple spiritual center devotee gather worship especially shivaratri,0,0,0,0,6
borabandh,rural agriculture village rural tourism rural exploration local culture agriculture borabandh rural settlement surrounded forest field reflects simple lifestyle eastern hill community agriculture main livelihood,0,0,0,0,0
chulachuli,tea garden hill nature natural attraction trekking tea garden visit photography chulachuli ilam district known tea garden scenic landscape culturally diverse area rai limbu community living harmoniously,1,0,1,0,1
mahamai,hill nature rural natural attraction trekking rural exploration photography mahamai settlement eastern nepal known agricultural practice traditional village culture surrounded fertile land forest,1,0,1,0,1
danabari,hill nature rural natural attraction trekking rural exploration tea garden visit photography danabari ilam district famous tea estate lush greenery scenic destination offering visitor chance experience tea culture panoramic view,1,0,1,0,1
laxmipura,hill nature rural natural attraction trekking rural exploration photography laxmipura rural settlement sunsari district reflecting agricultural lifestyle terai known fertile land strong community tradition,1,0,1,0,1
maghe,hill nature rural natural attraction trekking rural exploration photography maghe culturally significant time place nepal often associated maghe sankranti festival eastern nepal village celebrate occasion fair ritual traditional feast marking transition sun capricorn,1,0,1,0,1
bhawanitole,hill rural nature natural attraction trekking rural exploration photography bhawanitole settlement eastern nepal known agricultural lifestyle community tradition reflects rural charm region terraced field simple village culture,1,0,1,0,1
panchkanya,hill nature rural natural attraction trekking rural exploration tea garden visit photography panchkanya locality named five goddess kanyas hindu tradition often associated temple religious gathering serving spiritual hub nearby community,1,0,1,0,1
premejung,hill nature rural natural attraction trekking rural exploration tea garden visit photography premejung village taplejung district surrounded hill forest represents traditional himalayan lifestyle farming cultural practice rooted kirati heritage,1,0,1,0,1
shree antu,hill sunrise view tea garden natural attraction trekking sunrise photography tea garden visit shree antu ilam famous sunrise viewpoint meter offer panoramic view kanchenjunga darjeeling hill surrounded tea garden homestays highlight lepcha culture,1,0,1,0,1
samalbung,hill nature rural natural attraction trekking rural exploration tea garden visit photography samalbung rural settlement ilam district known tea garden cultural diversity peaceful village reflecting harmony rai limbu community,1,0,1,0,1
"jhandi danda, rambhyang",hill nature trekking scenic view natural attraction trekking hiking photography jhandi danda rambhyang scenic hilltop viewpoint offering wide view valley distant mountain popular short hike local gathering especially festival,1,0,1,0,1
dhunge dhara mandir,religious temple cultural cultural religious site pilgrimage worship photography dhunge dhara mandir temple built near traditional stone water spout dhunge dhara temple culturally significant combining religious worship ancient water system sustained community,0,0,0,0,6
thalthale pokhari (targaun),hill nature pond scenic natural attraction trekking nature walk photography thalthale pokhari targaun serene pond surrounded forest hill local pilgrimage picnic spot offering natural beauty peaceful surroundings,1,0,1,0,1
fajeegoun,hill nature rural natural attraction trekking rural exploration photography fajeegoun village eastern nepal reflecting traditional farming practice kirati culture surrounded terraced field forest making scenic rural settlement,1,0,1,0,1
pashupatinagar,religious temple rural cultural religious site pilgrimage cultural exploration local trade pashupatinagar ilam lie border serving trade hub darjeeling known tea garden cultural diversity bustling market atmosphere,0,0,0,0,4
mankhim mandir,religious temple cultural cultural religious site pilgrimage worship trekking photography mankhim mandir sacred temple rai community located aambung ilam dedicated deity kirati religion important pilgrimage site,0,0,0,0,6
pothukatla,hill rural nature natural attraction trekking rural exploration photography pothukatla rural settlement eastern nepal reflecting traditional village life surrounded hill agricultural field offering glimpse local culture,1,0,1,0,1
rungsung,hill rural nature natural attraction trekking rural exploration photography rungsung village taplejung district known traditional kirati culture scenic landscape surrounded hill forest offering peaceful rural environment,1,0,1,0,1
tin talaay waterfall,waterfall nature hill natural attraction trekking sightseeing photography tin talaay waterfall natural attraction eastern nepal cascading beautifully amidst forest hill popular spot short trek picnic offering refreshing scenery,0,1,1,0,3
gorkhe,hill rural nature natural attraction trekking rural exploration photography gorkhe rural settlement eastern nepal known agricultural lifestyle cultural diversity reflects simple charm himalayan village surrounded terraced field forest,1,0,1,0,1
jamuna,hill rural nature natural attraction trekking rural exploration photography jamuna rural settlement eastern nepal surrounded terraced field forest reflects traditional farming lifestyle known peaceful environment cultural diversity,1,0,1,0,1
jogmai,hill rural nature natural attraction trekking rural exploration photography jogmai ilam district scenic village famous tea garden cultural richness harmonious blend rai limbu ethnic community offering authentic eastern nepali experience,1,0,1,0,1
mabu,hill nature rural natural attraction trekking rural exploration photography mabu village ilam district located near singalila ridge known natural beauty tea cultivation cultural diversity making serene destination visitor,1,0,1,0,1
maimajhuwa,hill rural nature natural attraction trekking rural exploration photography maimajhuwa ilam picturesque settlement surrounded tea garden hill peaceful village reflecting traditional lifestyle offering scenic view eastern himalaya,1,0,1,0,1
chhintapu,hill scenic nature natural attraction trekking sightseeing photography chhintapu hill ilam district famous panoramic view everest kanchenjunga makalu lhotse well rich biodiversity including rhododendron rare wildlife,1,0,1,0,1
bantedara,hill rural nature natural attraction trekking rural exploration photography bantedara rural settlement eastern nepal known terraced field traditional farming practice reflects simple charm hill community,1,0,1,0,1
sidin,hill nature rural natural attraction trekking rural exploration photography sidin village taplejung district surrounded hill forest culturally rich kirati tradition agricultural practice sustaining community,1,0,1,0,1
lakhanpur,hill rural nature natural attraction trekking rural exploration photography lakhanpur jhapa district bustling town trade hub known market cultural diversity connection terai plain hill region,1,0,1,0,1
charchabari,hill nature rural natural attraction trekking rural exploration photography charchabari rural settlement eastern nepal surrounded agricultural field forest reflects traditional village life community bond,1,0,1,0,1
chaudhari gaun,hill rural cultural natural attraction trekking rural exploration cultural visit photography chaudhari gaun settlement named chaudhari community known cultural tradition farming lifestyle peaceful village strong ethnic identity,1,0,1,0,1
tumden chowk,hill rural market natural attraction trekking sightseeing photography local market visit tumden chowk busy junction marketplace eastern nepal serf hub trade transport social interaction reflecting vibrant life region,1,0,1,0,1
sanba,hill nature rural natural attraction trekking rural exploration photography sanba village taplejung district known kirati heritage scenic landscape surrounded hill forest offering glimpse traditional himalayan lifestyle,1,0,1,0,1
tiljung,hill nature rural natural attraction trekking rural exploration photography tiljung rural settlement taplejung reflecting traditional farming kirati culture peaceful village surrounded terraced field natural beauty,1,0,1,0,1
papung,hill scenic rural natural attraction trekking sightseeing photography papung culturally rich village taplejung district home limbu community known mundhum tradition dance ritual making important cultural site,1,0,1,0,1
phungphunge waterfall,waterfall nature natural attraction trekking sightseeing photography phungphunge waterfall sankhuwasabha spectacular natural attraction cascading amidst lush forest popular trekking destination offering refreshing scenery tranquil environment,0,1,1,0,3
dalaicha,hill rural nature natural attraction trekking rural exploration photography dalaicha rural settlement eastern nepal surrounded hill agricultural field reflects traditional farming lifestyle community culture region,1,0,1,0,1
dunge,hill rural nature natural attraction trekking rural exploration photography dunge small village eastern hill known peaceful environment terraced field represents simple charm rural nepal,1,0,1,0,1
tartong,hill nature scenic natural attraction trekking sightseeing photography tartong settlement taplejung district reflecting kirati tradition agricultural practice surrounded scenic landscape forest offering cultural natural beauty,1,0,1,0,1
papung gumba,religious monastery cultural cultural religious site pilgrimage cultural visit photography papung gumba buddhist monastery taplejung serving spiritual center local community reflects tibetan buddhist architecture practice making significant cultural religious site,0,0,0,0,6
tokpegola,hill rural nature natural attraction trekking rural exploration photography tokpegola remote village sankhuwasabha district lying close tibetan border known lifestyle traditional trade route unique cultural blend tibetan kirati influence,1,0,1,0,1
keemathnka,hill rural nature natural attraction trekking rural exploration photography keemathnka settlement himalayan belt sankhuwasabha reflecting traditional mountain life surrounded rugged terrain serf gateway remote trekking trail,1,0,1,0,1
chepuwa,hill nature rural natural attraction trekking rural exploration photography chepuwa village sankhuwasabha district located near arun river known fertile land traditional farming cultural diversity rai sherpa community living together,1,0,1,0,1
guthigumba,religious monastery cultural cultural religious site pilgrimage cultural visit photography guthigumba buddhist monastery sankhuwasabha serving spiritual center local community reflects tibetan buddhist architecture practice making significant cultural religious site,0,0,0,0,6
yaphu,hill rural scenic natural attraction trekking rural exploration photography yaphu rural settlement sankhuwasabha surrounded forest hill known kirati heritage traditional farming practice offering glimpse himalayan village life,1,0,1,0,1
seduwa,hill nature rural natural attraction trekking rural exploration photography seduwa gateway national park sankhuwasabha popular stop trekker heading towards makalu base camp known biodiversity cultural richness,1,0,1,0,1
siva mandir managaun,religious temple cultural cultural religious site pilgrimage worship photography siva mandir managaun hindu temple dedicated lord shiva local pilgrimage site devotee gather festival like shivaratri reflecting spiritual tradition region,0,0,0,0,6
hans pokhari,pond nature religious natural attraction sightseeing photography meditation han pokhari serene pond sankhuwasabha surrounded forest hill peaceful natural attraction often visited local picnic religious ritual,1,0,1,0,1
kholakharka,hill pastureland natural attraction trekking camping photography kholakharka pastureland sankhuwasabha used herder grazing yak cattle offer scenic view surrounding mountain reflects traditional himalayan livelihood,1,0,1,0,1
