destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,events,attraction_total_reviews,attraction_sample_reviews,hotel_name_1,hotel_location_1,hotel_review_short_1,hotel_rating_approx_1,hotel_price_1,hotel_name_2,hotel_location_2,hotel_review_short_2,hotel_rating_approx_2,hotel_price_2,hotel_name_3,hotel_location_3,hotel_review_short_3,hotel_rating_approx_3,hotel_price_3,restaurant_name_1,restaurant_location_name_1,restaurant_rating_1,restaurant_price_range_1,restaurant_name_2,restaurant_location_name_2,restaurant_rating_2,restaurant_price_range_2,restaurant_name_3,restaurant_location_name_3,restaurant_rating_3,restaurant_price_range_3,hotel_name_1.1,hotel_location_1.1,hotel_review_short_1.1,hotel_rating_approx_1.1,hotel_price_1.1,hotel_name_2.1,hotel_location_2.1,hotel_review_short_2.1,hotel_rating_approx_2.1,hotel_price_2.1,hotel_name_3.1,hotel_location_3.1,hotel_review_short_3.1,hotel_rating_approx_3.1,hotel_price_3.1,restaurant_name_1.1,reataurant_location_name_1,restaurant_rating_1.1,restaurant_price_range_1.1,restaurant_name_2.1,reataurant_location_name_2,restaurant_rating_2.1,restaurant_price_range_2.1,restaurant_name_3.1,reataurant_location_name_3,restaurant_rating_3.1,restaurant_price_range_3.1,clean_text,kmeans_cluster,gmm_cluster,dbscan_cluster
133,dalaicha,terhathum,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Myanglung,27.1400°,87.7000°,1,"Dalaicha is a rural settlement in eastern Nepal, surrounded by hills and agricultural fields. It reflects the traditional farming lifestyle and community culture of the region","['From Kathmandu, travel toward Sankhuwasabha and continue locally to Dalaicha settlement.']","[{'event_name': 'Dalaicha Cultural Day (proposed)', 'venue': 'Community Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Folk music, crafts, and local games organized by village youth.'}]",520,"['A small, scenic rural area known for its peaceful environment.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,dalaicha dalaicha rural settlement eastern nepal surrounded hill agricultural field reflects traditional farming lifestyle community culture region hill rural nature trekking rural exploration photography event name dalaicha cultural day proposed venue community ground month season autumn type cultural description source folk music craft local game organized village youth small scenic rural area known peaceful environment,0,0,-1
134,dunge,terhathum,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road and local trails,27.1450°,87.7050°,1,"Dunge is a small village in the eastern hills, known for its peaceful environment and terraced fields. It represents the simple charm of rural Nepal","['From Kathmandu, travel toward Sankhuwasabha District and continue to Dunge village.']","[{'event_name': 'Dunge Hill Trek Day (proposed)', 'venue': 'Dunge Hilltop', 'month___season': 'Autumn', 'type': 'Nature / Trekking', 'description___source': 'Trekking challenge and eco-tourism awareness event.'}]",730,['A serene hilltop village perfect for quiet nature retreats.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,dunge dunge small village eastern hill known peaceful environment terraced field represents simple charm rural nepal hill rural nature trekking rural exploration photography event name dunge hill trek day proposed venue dunge hilltop month season autumn type nature trekking description source trekking challenge eco tourism awareness event serene hilltop village perfect quiet nature retreat,3,3,-1
135,tartong,terhathum,"March–May, Sep–Nov","Hills, Nature, Scenic",Natural Attractions,"Trekking, Sightseeing, Photography",Moderate,Road access via Myanglung,27.1500°,87.7100°,1,"Tartong is a settlement in Taplejung district, reflecting Kirati traditions and agricultural practices. It is surrounded by scenic landscapes and forests, offering cultural and natural beauty.","['From Kathmandu, travel toward Taplejung or Sankhuwasabha and continue locally to Tartong village.']","[{'event_name': 'Tartong Heritage Festival (proposed)', 'venue': 'Village Center', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Limbu and Rai performances, crafts, and local food stalls.'}]",890,['A hidden gem of green valleys and pure Himalayan tranquility.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,tartong tartong settlement taplejung district reflecting kirati tradition agricultural practice surrounded scenic landscape forest offering cultural natural beauty hill nature scenic trekking sightseeing photography event name tartong heritage festival proposed venue village center month season spring type cultural description source limbu rai performance craft local food stall hidden gem green valley pure himalayan tranquility,0,0,-1
136,papung gumba,terhathum,Year-round,"Religious, Monastery, Cultural",Cultural & Religious Sites,"Pilgrimage, Cultural visit, Photography",Moderate,Road and local trails,27.1550°,87.7150°,1,"Papung Gumba is a Buddhist monastery in Taplejung, serving as a spiritual center for local communities. It reflects Tibetan Buddhist architecture and practices, making it a significant cultural and religious site","['From Kathmandu, travel toward Taplejung and continue locally to Papung Gumba monastery.']","[{'event_name': 'Papung Gumba Lhosar Celebration (proposed)', 'venue': 'Monastery Grounds', 'month___season': 'February', 'type': 'Religious / Cultural', 'description___source': 'Buddhist new year festival with prayer, song, and dance.'}]",1600,['A calm Buddhist monastery offering spiritual peace and mountain views.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,papung gumba papung gumba buddhist monastery taplejung serving spiritual center local community reflects tibetan buddhist architecture practice making significant cultural religious site religious monastery cultural pilgrimage cultural visit photography event name papung gumba lhosar celebration proposed venue monastery ground month season february type religious cultural description source buddhist new year festival prayer song dance calm buddhist monastery offering spiritual peace mountain view,1,1,3
137,tokpegola,terhathum,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road via Myanglung,27.1600°,87.7200°,1,"Tokpegola is a remote village in Sankhuwasabha district, lying close to the Tibetan border. It is known for its high-altitude lifestyle, traditional trade routes, and unique cultural blend of Tibetan and Kirati influences","['From Kathmandu, fly or drive to Taplejung and continue trekking to Tokpegola near the Kanchenjunga area.']","[{'event_name': 'Tokpegola Trekker’s Meetup (proposed)', 'venue': 'Trail Point', 'month___season': 'Autumn', 'type': 'Adventure / Tourism', 'description___source': 'Trekking awareness and homestay coordination event.'}]",530,['A picturesque border village surrounded by snowy peaks and Sherpa culture.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,tokpegola tokpegola remote village sankhuwasabha district lying close tibetan border known high altitude lifestyle traditional trade route unique cultural blend tibetan kirati influence hill rural nature trekking rural exploration photography event name tokpegola trekker meetup proposed venue trail point month season autumn type adventure tourism description source trekking awareness homestay coordination event picturesque border village surrounded snowy peak sherpa culture,2,2,-1
138,keemathnka,terhathum,"March–May, Sep–Nov","Hills, Rural, Nature",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road and local trails,27.1650°,87.7250°,1,"Keemathnka is a settlement in the Himalayan belt of Sankhuwasabha, reflecting traditional mountain life. It is surrounded by rugged terrain and serves as a gateway to remote trekking trails.","['From Kathmandu, fly to Tumlingtar and continue northward trekking toward the remote Keemathnka region.'
 'From Kathmandu, travel again via Tumlingtar and trek to the highland of Keemathnka.']","[{'event_name': 'Keemathnka Border Cultural Fair (proposed)', 'venue': 'Border Village', 'month___season': 'Autumn', 'type': 'Cross-border / Cultural', 'description___source': 'Nepal-Tibet border cultural exchange with crafts and music.'}]",490640,"['Keemathnka – A peaceful highland village offering stunning mountain scenery and local culture.', 'Keemathnka – A scenic rural village with pristine air and Himalayan backdrops.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,keemathnka keemathnka settlement himalayan belt sankhuwasabha reflecting traditional mountain life surrounded rugged terrain serf gateway remote trekking trail hill rural nature trekking rural exploration photography event name keemathnka border cultural fair proposed venue border village month season autumn type cross border cultural description source nepal tibet border cultural exchange craft music keemathnka peaceful highland village offering stunning mountain scenery local culture keemathnka scenic rural village pristine air himalayan backdrop,0,1,-1
139,chepuwa,terhathum,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Myanglung,27.1700°,87.7300°,1,"Chepuwa is a village in Sankhuwasabha district, located near the Arun River. It is known for its fertile land, traditional farming, and cultural diversity, with Rai and Sherpa communities living together.","['From Kathmandu, fly to Tumlingtar and trek through Num and Hatiya to reach Chepuwa village in Sankhuwasabha.'
 'From Kathmandu, travel via Tumlingtar and trek northward again to Chepuwa in Sankhuwasabha.']","[{'event_name': 'Chepuwa Heritage Day (proposed)', 'venue': 'Chepuwa Center', 'month___season': 'Spring', 'type': 'Cultural', 'description___source': 'Showcasing local Rai traditions, food, and crafts.'}]",6703200,"['Chepuwa – A remote Himalayan settlement surrounded by forests and rivers.', 'Known for its natural beauty and pristine Himalayan wilderness.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,chepuwa chepuwa village sankhuwasabha district located near arun river known fertile land traditional farming cultural diversity rai sherpa community living together hill nature rural trekking rural exploration photography event name chepuwa heritage day proposed venue chepuwa center month season spring type cultural description source showcasing local rai tradition food craft chepuwa remote himalayan settlement surrounded forest river known natural beauty pristine himalayan wilderness,0,0,-1
140,guthigumba,terhathum,Year-round,"Religious, Monastery, Cultural",Cultural & Religious Sites,"Pilgrimage, Cultural visit, Photography",Moderate,Road via Myanglung and short trails,27.1750°,87.7350°,1,"Guthigumba is a Buddhist monastery in Sankhuwasabha, serving as a spiritual center for local communities. It reflects Tibetan Buddhist architecture and practices, making it a significant cultural and religious site","['From Kathmandu, travel toward Sankhuwasabha or Dhankuta District and continue locally to Guthigumba monastery.'
 'From Kathmandu, travel toward Sankhuwasabha region and visit the Guthigumba monastery again.']","[{'event_name': 'Guthigumba Monastery Festival (proposed)', 'venue': 'Gumba Premises', 'month___season': 'Lhosar (Feb)', 'type': 'Religious / Cultural', 'description___source': 'Monastic prayer ceremony and Sherpa-Tamang dances.'}]",9802500,"['Guthigumba – A serene Buddhist monastery area ideal for reflection and peace.', 'A historic monastery area reflecting Buddhist art and devotion.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,guthigumba guthigumba buddhist monastery sankhuwasabha serving spiritual center local community reflects tibetan buddhist architecture practice making significant cultural religious site religious monastery cultural pilgrimage cultural visit photography event name guthigumba monastery festival proposed venue gumba premise month season lhosar feb type religious cultural description source monastic prayer ceremony sherpa tamang dance guthigumba serene buddhist monastery area ideal reflection peace historic monastery area reflecting buddhist art devotion,1,1,3
141,yaphu,terhathum,"March–May, Sep–Nov","Hills, Rural, Scenic",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road access via Myanglung,27.1800°,87.7400°,1,"Yaphu is a rural settlement in Sankhuwasabha, surrounded by forests and hills. It is known for its Kirati heritage and traditional farming practices, offering a glimpse into Himalayan village life.","['From Kathmandu, fly to Tumlingtar and continue trekking northward to Yaphu village in Sankhuwasabha.']","[{'event_name': 'Yaphu Eco Tourism Event (proposed)', 'venue': 'Village Trail', 'month___season': 'Autumn', 'type': 'Eco / Trekking', 'description___source': 'Promoting eco-friendly trekking and local products.'}]",1280,['Yaphu – A tranquil village nestled deep in the hills of Sankhuwasabha.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,yaphu yaphu rural settlement sankhuwasabha surrounded forest hill known kirati heritage traditional farming practice offering glimpse himalayan village life hill rural scenic trekking rural exploration photography event name yaphu eco tourism event proposed venue village trail month season autumn type eco trekking description source promoting eco friendly trekking local product yaphu tranquil village nestled deep hill sankhuwasabha,3,3,-1
142,seduwa,terhathum,"March–May, Sep–Nov","Hills, Nature, Rural",Natural Attractions,"Trekking, Rural exploration, Photography",Moderate,Road via Myanglung,27.1850°,87.7450°,1,"Seduwa is the gateway to Makalu-Barun National Park in Sankhuwasabha. It is a popular stop for trekkers heading towards Makalu Base Camp, known for its biodiversity and cultural richness.","['From Kathmandu, fly to Tumlingtar and trek through Num to reach Seduwa village, the entry to Makalu-Barun National Park.']","[{'event_name': 'Seduwa Gateway Festival (real/proposed)', 'venue': 'Makalu-Barun Entry Point', 'month___season': 'Autumn', 'type': 'Tourism / Cultural', 'description___source': 'Welcoming trekkers with local music, food, and conservation sessions.'}]",850,"['Seduwa – Gateway to Makalu-Barun National Park, rich in nature and biodiversity.']",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,seduwa seduwa gateway makalu barun national park sankhuwasabha popular stop trekker heading towards makalu base camp known biodiversity cultural richness hill nature rural trekking rural exploration photography event name seduwa gateway festival real proposed venue makalu barun entry point month season autumn type tourism cultural description source welcoming trekker local music food conservation session seduwa gateway makalu barun national park rich nature biodiversity,2,2,-1
143,siva mandir managaun,terhathum,Year-round,"Religious, Temple, Cultural",Cultural & Religious Sites,"Pilgrimage, Worship, Photography",Easy,Road access via Myanglung,27.1900°,87.7500°,1,"Siva Mandir in Managaun is a Hindu temple dedicated to Lord Shiva. It is a local pilgrimage site where devotees gather during festivals like Shivaratri, reflecting the spiritual traditions of the region.","['From Kathmandu, travel toward Bhojpur or Dhankuta District and continue locally to Siva Mandir in Managaun.']","[{'event_name': 'Managaun Shiva Mahotsav (proposed)', 'venue': 'Siva Mandir Premises', 'month___season': 'March (Shivaratri)', 'type': 'Religious', 'description___source': 'Annual temple fair with cultural performances and rituals.'}]",880,['Siva Mandir Managaun – A sacred temple attracting devotees seeking spiritual calm.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,siva mandir managaun siva mandir managaun hindu temple dedicated lord shiva local pilgrimage site devotee gather festival like shivaratri reflecting spiritual tradition region religious temple cultural pilgrimage worship photography event name managaun shiva mahotsav proposed venue siva mandir premise month season march shivaratri type religious description source annual temple fair cultural performance ritual siva mandir managaun sacred temple attracting devotee seeking spiritual calm,4,4,5
144,hans pokhari,sankhuwasabha,"Mar–May, Sep–Nov","Pond, Nature, Religious",Natural Attractions,"Sightseeing, Photography, Meditation",Easy,Road from Chainpur,27.6350°,87.3650°,1,"Hans Pokhari is a serene pond in Sankhuwasabha, surrounded by forests and hills. It is a peaceful natural attraction, often visited by locals for picnics and religious rituals.",NO,"[{'event_name': 'Hans Pokhari Wetland Festival (proposed)', 'venue': 'Lake Area', 'month___season': 'Winter', 'type': 'Eco / Cultural', 'description___source': 'Wetland preservation awareness and local community picnic.'}]",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Tayahang hotel,Mattim 56200,4,Low (~$10–20),Sushila Hotel,"5373+464, बिद्यालय मार्ग, Bhojpur 57000",3.9,Medium (~$35–60),NISHMA KHOMYUNGKHA STOR,"5XP7+9R, DANDA TOLL, Khawa 57000",3.8,High (~$90+),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Tayahang hotel,Mattim 56200,4,Low (~$10–20),Sushila Hotel,"5373+464, बिद्यालय मार्ग, Bhojpur 57000",3.9,Medium (~$35–60),NISHMA KHOMYUNGKHA STOR,"5XP7+9R, DANDA TOLL, Khawa 57000",3.8,High (~$90+),han pokhari han pokhari serene pond sankhuwasabha surrounded forest hill peaceful natural attraction often visited local picnic religious ritual pond nature religious sightseeing photography meditation event name han pokhari wetland festival proposed venue lake area month season winter type eco cultural description source wetland preservation awareness local community picnic,2,2,6
145,kholakharka,sankhuwasabha,"Mar–May, Sep–Nov","Hills, Pastureland",Natural Attractions,"Trekking, Camping, Photography",Moderate,Trail from Chainpur,27.6400°,87.3700°,1,"Kholakharka is a high-altitude pastureland in Sankhuwasabha, used by herders for grazing yaks and cattle. It offers scenic views of surrounding mountains and reflects traditional Himalayan livelihoods.","['From Kathmandu, travel toward Sankhuwasabha or Solukhumbu and continue trekking to Kholakharka settlement.']","[{'event_name': 'Kholakharka Rhododendron Festival (proposed)', 'venue': 'Trail Area', 'month___season': 'Spring', 'type': 'Nature / Tourism', 'description___source': 'Rhododendron trekking and photography exhibition.'}]",570,['Kholakharka – A peaceful grazing meadow offering wide mountain views.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,kholakharka kholakharka high altitude pastureland sankhuwasabha used herder grazing yak cattle offer scenic view surrounding mountain reflects traditional himalayan livelihood hill pastureland trekking camping photography event name kholakharka rhododendron festival proposed venue trail area month season spring type nature tourism description source rhododendron trekking photography exhibition kholakharka peaceful grazing meadow offering wide mountain view,2,2,-1
146,hatiya,sankhuwasabha,"Mar–May, Sep–Nov","Hills, Rural, Cultural",Natural Attractions,"Trekking, Cultural exploration, Photography",Moderate,Road and trekking route,27.6450°,87.3750°,1,"Hatiya is a village in Sankhuwasabha district, close to the Tibetan border. It is historically significant as a trade route and is home to diverse ethnic communities, including Sherpas and Tibetans.","['From Kathmandu, fly to Tumlingtar and trek through Num and Seduwa to reach Hatiya in northern Sankhuwasabha.']","[{'event_name': 'Hatiya Border Cultural Fair (proposed)', 'venue': 'Hatiya Village', 'month___season': 'Autumn', 'type': 'Cultural / Trade', 'description___source': 'Border trade and cultural fair with Tibetan-Nepali art exchange.'}]",1250,['Hatiya – A traditional village with rich Rai and Sherpa cultural roots.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,hatiya hatiya village sankhuwasabha district close tibetan border historically significant trade route home diverse ethnic community including sherpa tibetan hill rural cultural trekking cultural exploration photography event name hatiya border cultural fair proposed venue hatiya village month season autumn type cultural trade description source border trade cultural fair tibetan nepali art exchange hatiya traditional village rich rai sherpa cultural root,1,1,-1
147,dangok,sankhuwasabha,"Mar–May, Sep–Nov","Rural, Nature",Natural Attractions,"Trekking, Rural exploration",Moderate,Local trails,27.6500°,87.3800°,1,"Dangok is a rural settlement in Sankhuwasabha, surrounded by terraced fields and forests. It reflects traditional farming lifestyles and Kirati culture.
","['From Kathmandu, travel toward Ilam or Panchthar District and continue locally to Dangok village.']","[{'event_name': 'Dangok Local Festival (proposed)', 'venue': 'Village Ground', 'month___season': 'Autumn', 'type': 'Cultural', 'description___source': 'Traditional Rai dances and regional food stalls.'}]",1350,['Dangok – A small hillside settlement surrounded by greenery and quiet trails.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,dangok dangok rural settlement sankhuwasabha surrounded terraced field forest reflects traditional farming lifestyle kirati culture rural nature trekking rural exploration event name dangok local festival proposed venue village ground month season autumn type cultural description source traditional rai dance regional food stall dangok small hillside settlement surrounded greenery quiet trail,0,0,-1
148,bhotkhola,sankhuwasabha,"Mar–May, Sep–Nov","Highland, Rural, River valley",Natural Attractions,"Trekking, Rural exploration, Scenic viewing",Moderate,Road via Chainpur–Kimathanka route,27.6550°,87.3850°,1,"Bhotkhola is a rural municipality in Sankhuwasabha, named after the Tibetan traders (“Bhot”) who historically passed through the region. It is rich in cultural diversity and natural beauty.","['From Kathmandu, fly to Tumlingtar and continue trekking northward along the Arun Valley to Bhotkhola region.']","[{'event_name': 'Bhotkhola Trekking Fair (proposed)', 'venue': 'Trekking Route', 'month___season': 'Spring', 'type': 'Adventure / Eco', 'description___source': 'Promotion of mountain trekking and homestay tourism.'}]",640,['A remote northern valley rich in Sherpa and Tibetan culture.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,bhotkhola bhotkhola rural municipality sankhuwasabha named tibetan trader bhot historically passed region rich cultural diversity natural beauty highland rural river valley trekking rural exploration scenic viewing event name bhotkhola trekking fair proposed venue trekking route month season spring type adventure eco description source promotion mountain trekking homestay tourism remote northern valley rich sherpa tibetan culture,2,2,-1
149,chyamtang,sankhuwasabha,"Mar–May, Sep–Nov","Hills, Rural, Scenic",Natural Attractions,"Trekking, Cultural experience, Photography",Moderate,Road via Chainpur–Num route,27.6650°,87.3950°,1,"Chyamtang is a village in Sankhuwasabha, known for its Sherpa and Tibetan heritage. It lies along trekking routes and offers insights into Buddhist traditions and high-altitude lifestyles.","['From Kathmandu, fly to Tumlingtar and trek along the Arun River to Chyamtang village.']","[{'event_name': 'Chyamtang Mountain Culture Festival (proposed)', 'venue': 'Village Center', 'month___season': 'Autumn', 'type': 'Cultural / Tourism', 'description___source': 'Music, food, and dance representing Sherpa culture.'}]",3100,['A scenic mountain village with warm hospitality and rich culture.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,chyamtang chyamtang village sankhuwasabha known sherpa tibetan heritage lie along trekking route offer insight buddhist tradition high altitude lifestyle hill rural scenic trekking cultural experience photography event name chyamtang mountain culture festival proposed venue village center month season autumn type cultural tourism description source music food dance representing sherpa culture scenic mountain village warm hospitality rich culture,0,0,-1
150,thudam,sankhuwasabha,"Mar–May, Sep–Nov","Remote, Highland, Nature",Natural Attractions,"Trekking, Exploration, Photography",Hard,Trekking route only,27.6750°,87.4050°,1,"Thudam is a remote locality at 3,617 m, close to the Tibet border. It is culturally Tibetan, with monasteries and yak pastures, and is one of the most isolated settlements in Nepal.","['From Kathmandu, fly to Tumlingtar and trek northward through the Arun Valley to the remote Thudam settlement.']","[{'event_name': 'Thudam Border Festival (proposed)', 'venue': 'Village Ground', 'month___season': 'Autumn', 'type': 'Cross-border / Cultural', 'description___source': 'Nepal-Tibet border festival highlighting traditional lifestyles.'}]",2100,['A hidden gem near Tibet with breathtaking alpine scenery.'],NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,thudam thudam remote locality close tibet border culturally tibetan monastery yak pasture one isolated settlement nepal remote highland nature trekking exploration photography event name thudam border festival proposed venue village ground month season autumn type cross border cultural description source nepal tibet border festival highlighting traditional lifestyle hidden gem near tibet breathtaking alpine scenery,1,1,-1
151,brihaspati tal,sankhuwasabha,"Mar–May, Sep–Nov","Lake, Nature, Religious",Natural Attractions,"Sightseeing, Pilgrimage, Photography",Moderate,Trekking trail from Sabha Pokhari,27.6800°,87.4100°,1,"Brihaspati Tal is a sacred lake in Sankhuwasabha, revered by Hindus and Buddhists. It is surrounded by forests and visited during pilgrimages.",NO,"[{'event_name': 'Brihaspati Lake Eco Trek (proposed)', 'venue': 'Lake Site', 'month___season': 'Spring', 'type': 'Eco / Trekking', 'description___source': 'Awareness trek and cleaning campaign around Brihaspati Tal.'}]",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,brihaspati tal brihaspati tal sacred lake sankhuwasabha revered hindu buddhist surrounded forest visited pilgrimage lake nature religious sightseeing pilgrimage photography event name brihaspati lake eco trek proposed venue lake site month season spring type eco trekking description source awareness trek cleaning campaign around brihaspati tal,2,2,7
152,rajarshi tal,sankhuwasabha,"Mar–May, Sep–Nov","Lake, Religious, Nature",Natural Attractions,"Pilgrimage, Photography",Easy,Road access and short trek,27.6850°,87.4150°,1,"Rajarshi Tal is another holy lake in Sankhuwasabha, associated with local legends and spiritual rituals. It is part of the district’s network of sacred high-altitude lakes.",NO,"[{'event_name': 'Rajarshi Lake Festival (proposed)', 'venue': 'Lake Shore', 'month___season': 'Spring', 'type': 'Eco / Cultural', 'description___source': 'Nature photography and wetland conservation event.'}]",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,No,No,No,No,No,No,No,No,No,No,No,No,rajarshi tal rajarshi tal another holy lake sankhuwasabha associated local legend spiritual ritual part district network sacred high altitude lake lake religious nature pilgrimage photography event name rajarshi lake festival proposed venue lake shore month season spring type eco cultural description source nature photography wetland conservation event,2,2,7
